,unnamed: 0,unnamed: 0,mth_day,tim burton,tim burton_norm,tim burton_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3865335297794648,-0.9159889169932474,
2,2,2,01-03,1.6317216827316765,-0.14963654747249666,
3,3,3,01-04,0.9727523789942588,-2.209290251291688,
4,4,4,01-05,1.3572580364530236,-1.0074914770047003,-1.1811730362694233
5,5,5,01-06,1.1532208666914845,-1.6452236293715372,-1.1797473430743284
6,6,6,01-07,1.30865378475743,-1.15940739548287,-1.5009228122871745
7,7,7,01-08,1.3892703628219498,-0.907434757822678,-1.2735891306494451
8,8,8,01-09,1.0151769453354509,-2.0766893627495735,-1.2934084374740251
9,9,9,01-10,1.4091536564335545,-0.8452881614653086,-1.1450284392657573
10,10,10,01-11,1.319211888808297,-1.1264073179521834,-0.8676857920034182
11,11,11,01-12,1.4380586447894816,-0.7549436401219308,-0.9450928100071874
12,12,12,01-13,1.8410548116609304,0.5046484880911657,-0.6288068236728246
13,13,13,01-14,1.240675920958985,-1.3718768658452931,-0.3052889262170215
14,14,14,01-15,1.6223355831497062,-0.17897344474339713,-0.2259432501687585
15,15,15,01-16,2.0301950380145395,1.0958192232695103,0.08623260072852966
16,16,16,01-17,1.4715278770828637,-0.6503332616626057,0.2759001089897773
17,17,17,01-18,2.03732725793926,1.1181114652617978,0.3692650638955546
18,18,18,01-19,2.2051501903027875,1.6426535376586515,0.4365017594887068
19,19,19,01-20,1.4199040287141411,-0.8116871364106288,0.22350173287658606
20,20,20,01-21,1.7514065577464542,0.22444672881551608,0.061102859728024185
21,21,21,01-22,1.6213093725095902,-0.182180936403214,-0.2409510695727876
22,22,22,01-23,1.1597787548842802,-1.6247265005539768,-0.8316551187354791
23,23,23,01-24,1.4574891993954715,-0.6942121105430721,-0.9583396994433944
24,24,24,01-25,1.071204706351326,-1.9015707573174976,-1.3026183022035376
25,25,25,01-26,1.176713875567824,-1.5717946206581197,-1.5971831629891804
26,26,26,01-27,1.0905118722023877,-1.8412248877453443,-1.4710177363036447
27,27,27,01-28,1.0558477101219086,-1.9495701011170687,-1.2786131840960273
28,28,28,01-29,1.4019723136107909,-0.867733940440765,-1.1448296252462742
