,unnamed: 0,unnamed: 0,mth_day,time travel,time travel_norm,time travel_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.458221412869464,-1.1878033322703525,
2,2,2,01-03,3.8783321741438685,-0.5496282729799118,
3,3,3,01-04,3.380400314000583,-1.3060185482625375,
4,4,4,01-05,3.8496375891205896,-0.5932171790174428,-1.2670368558573524
5,5,5,01-06,3.3377073481297943,-1.370871888232278,-1.5286446523371515
6,6,6,01-07,2.532072978287007,-2.5946819143815927,-1.7248712522377356
7,7,7,01-08,2.424922643814035,-2.757450111149147,-1.4813354281751885
8,8,8,01-09,3.10327612894354,-1.7269878723834156,-1.5548038298100753
9,9,9,01-10,4.342318386056824,0.15519639611274502,-1.3553738154461479
10,10,10,01-11,3.559452013631978,-1.0340275888267618,-1.0870310679502242
11,11,11,01-12,4.125416243383858,-0.17429180204871428,-0.6195575608812603
12,12,12,01-13,3.5919734644481704,-0.98462542940605,-0.4950802910282113
13,13,13,01-14,4.271350028319313,0.04739093126463555,-0.6820699630538267
14,14,14,01-15,3.5949365895463186,-0.9801242532651214,-0.6172670687213612
15,15,15,01-16,3.60374636897603,-0.9667416360409474,-0.5651564775892055
16,16,16,01-17,3.8154105586218106,-0.6452102228319688,-0.4477609873734809
17,17,17,01-18,4.331242714904041,0.1383717447442197,-0.6936130829405505
18,18,18,01-19,4.055662303866738,-0.2802524881117025,-0.8036999677409363
19,19,19,01-20,3.3002831444668392,-1.4277216421377823,-0.8073762499484453
20,20,20,01-21,3.1601152880253243,-1.6406455620674374,-0.8597182294136957
21,21,21,01-22,3.5892257853740315,-0.9887993292860012,-1.0560105672667726
22,22,22,01-23,3.6086701492030717,-0.9592620996234712,-1.1514112171250706
23,23,23,01-24,3.5559270178649487,-1.0393822823742414,-1.154760410600223
24,24,24,01-25,3.678848709653849,-0.8526563872614905,-1.1401244563923874
25,25,25,01-26,3.2870544963081416,-1.4478168029886966,-1.111474522062641
26,26,26,01-27,3.217924396432672,-1.5528298368204243,-1.106998850805582
27,27,27,01-28,3.7023873282439204,-0.8168997233075227,-1.0219217715884281
28,28,28,01-29,3.6263481605729377,-0.932408072081118,-1.1959969830588821
29,29,29,01-30,3.8919645611371134,-0.5289198070713176,-0.9788783011663648
30,30,30,01-31,2.9912862434130045,-1.8971076560842133,-0.9657897950412972
31,31,31,02-01,4.144630110480632,-0.14510471163359273,-0.5674253782905506
32,32,32,02-02,3.2696213926605777,-1.474298800070018,-0.5015285259488942
33,33,33,02-03,5.275847550006904,1.573286777196956,-0.5305650027580735
34,34,34,02-04,3.8866276221390574,-0.5370269580311788,-0.3164754737504302
35,35,35,02-05,3.7772762523467898,-0.7031386679263933,-0.4163503480929862
36,36,36,02-06,3.8368973061105813,-0.6125704820383534,-0.255586010444981
37,37,37,02-07,3.750144219362712,-0.7443539576889286,-0.5119253190705102
38,38,38,02-08,3.9046085544920577,-0.509712774181987,-0.5616891980671448
39,39,39,02-09,4.2633582602095625,0.03525092544378092,-0.3393993985534345
40,40,40,02-10,3.6900701968536977,-0.8356102320109863,-0.2933091634724632
41,41,41,02-11,4.6552767527211385,0.6306001291558683,-0.23113595005160514
42,42,42,02-12,4.018944568522047,-0.33602907155252576,0.3800125003387621
43,43,43,02-13,3.995716047727368,-0.3713146771637805,0.3040632207618
44,44,44,02-14,6.318523391878268,3.157177928160216,0.2511479071027785
45,45,45,02-15,3.963373710232356,-0.42044475201799103,-0.2967806075363389
46,46,46,02-16,3.481065231390939,-1.1531021139651154,-0.3856920817760334
47,47,47,02-17,2.4910680887385728,-2.656970958678836,-0.5056660059323679
48,48,48,02-18,3.6677619274730655,-0.869497916990693,-0.9495135555542826
49,49,49,02-19,3.521842907027364,-1.0911582221017877,-0.7987792084056472
50,50,50,02-20,4.565413840695579,0.4940926304287273,-0.5948569890141829
51,51,51,02-21,4.558744404297606,0.4839613308738217,-0.2197729228957805
52,52,52,02-22,4.286517443120118,0.07043120238367075,0.10532533937200504
53,53,53,02-23,3.972575555364775,-0.4064665619684213,0.3306070387098643
54,54,54,02-24,4.951835409775804,1.08109165661602,0.5298219709904021
55,55,55,02-25,4.411660816695436,0.2605319739253682,0.30394418771848075
56,56,56,02-26,5.352273204494531,1.6893822241119532,0.3891518331303281
57,57,57,02-27,3.6665720816357017,-0.8713053687577056,0.4998141540227553
58,58,58,02-28,4.623070696895076,0.5816770748547551,0.2940154957098676
59,59,59,02-29,4.409669715009943,0.25750736338614194,0.15826409168804792
60,60,60,03-01,4.138971637482282,-0.15370029326130605,-0.33066534489369004
61,61,61,03-02,3.875469768260364,-0.5539764502055498,-0.4367741678251344
62,62,62,03-03,3.421099165444492,-1.2441943953784746,-0.4943423155317001
63,63,63,03-04,3.2474633333631773,-1.5079583063463715,-0.6255010400334143
64,64,64,03-05,4.395687962273141,0.236268188615361,-0.6965456271704061
65,65,65,03-06,3.891618837313847,-0.5294449836241443,-0.7651969717050274
66,66,66,03-07,3.8583596472262003,-0.5799678160832556,-0.5353068745941527
67,67,67,03-08,3.6043106103294495,-0.9658845174132772,-0.438628126056621
68,68,68,03-09,4.32911932982458,0.1351461872867738,-0.5629397927034849
69,69,69,03-10,3.629325163178194,-0.9278858151211816,-0.3662912511520433
70,70,70,03-11,3.904681601400589,-0.5096018112658235,-0.4768050807999046
71,71,71,03-12,4.668341468121758,0.6504462656845066,-0.4529506646442255
72,72,72,03-13,3.4218519984659905,-1.2430507939704236,-0.3958519848264527
73,73,73,03-14,3.6985308101165866,-0.822758020479202,-0.4024850644903561
74,74,74,03-15,4.554647759650831,0.4777382661934106,-0.32644873128516433
75,75,75,03-16,3.603125817654152,-0.9676842931046018,-0.6964286304412002
76,76,76,03-17,4.205009995896583,-0.05338381203467309,-0.3916639370541217
77,77,77,03-18,3.206994445909811,-1.5694331292517083,-0.3884902634916872
78,78,78,03-19,4.625611927512066,0.585537366352047,-0.4178810864267264
79,79,79,03-20,3.7110661895264303,-0.8037159791045942,-0.1937894751032368
80,80,80,03-21,4.43855985413366,0.3013933285831748,-0.04579323130394631
81,81,81,03-22,4.488243116343258,0.3768653748363361,0.2037623741200804
82,82,82,03-23,4.789565726270019,0.83459365076107,0.13020697229586373
83,83,83,03-24,4.192689457164726,-0.07209949670754794,0.16222332043901558
84,84,84,03-25,4.335082718577693,0.14420495540674694,-0.04904945719676166
85,85,85,03-26,3.837524397466435,-0.6116178902456831,-0.1372302458704601
86,86,86,03-27,3.6040743991757935,-0.9662433372314888,-0.21123743183914576
87,87,87,03-28,4.13994653796546,-0.15221935720585458,-0.20267878581785675
88,88,88,03-29,4.497252059813201,0.3905505349489562,-0.1458160925557427
89,89,89,03-30,4.226494406854985,-0.020747620579813872,-0.2705610610836163
90,90,90,03-31,4.559679048440729,0.48538111497943104,-0.21482591843642693
91,91,91,04-01,3.3448065803364577,-1.3600877014129251,-0.3322228860726754
92,92,92,04-02,3.8242171283505977,-0.6318324813483528,-0.5262630089043899
93,93,93,04-03,3.676251863029644,-0.8566011630233453,-0.5124796043474932
94,94,94,04-04,3.7308321642010407,-0.7736902020413309,-0.5860515929443361
95,95,95,04-05,4.28093611369125,0.06195280676156694,-0.1955638927626192
