,unnamed: 0,unnamed: 0,mth_day,christianity,christianity_norm,christianity_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.5782756980579009,-0.4099978771389147,
2,2,2,01-03,0.6591108489440881,0.017984099492537795,
3,3,3,01-04,0.6601365059760552,0.023414444077473062,
4,4,4,01-05,0.3429155513786141,-1.65611296063636,-0.6340810457693387
5,5,5,01-06,0.5651167396934802,-0.479668026195049,-0.7690746307189129
6,6,6,01-07,0.4101564205083293,-1.3001059542157192,-0.8689158564733197
7,7,7,01-08,0.4252941137310963,-1.2199593868363612,-0.7696106663598777
8,8,8,01-09,0.5459657028044053,-0.5810632550339019,-0.3616572719674232
9,9,9,01-10,0.7726741893119238,0.6192455847581246,-0.2972279239134644
10,10,10,01-11,0.8052290504161268,0.7916074057183673,-0.2951374021048306
11,11,11,01-12,0.6381313480996467,-0.09309193787129606,-0.3104045314780694
12,12,12,01-13,0.4125255059613455,-1.2875628233639165,-0.4544273812465744
13,13,13,01-14,0.407992627586308,-1.311562163075794,-0.5192688940275684
14,14,14,01-15,0.3827516971531189,-1.4452003536449314,-0.5140708079506097
15,15,15,01-16,0.6991924949107523,0.2301965080721607,-0.36423163324817337
16,16,16,01-17,0.8111197854745172,0.8227959221801202,-0.05976831189112487
17,17,17,01-18,0.8079367084711199,0.8059431103433218,0.4325554935511533
18,18,18,01-19,0.757558799861947,0.5392171047783748,0.707012301152013
19,19,19,01-20,0.9659189600597732,1.6423806695778749,0.5719618842048468
20,20,20,01-21,0.6937800861816813,0.20154049196022747,0.4503550950941091
21,21,21,01-22,0.5461465056788162,-0.5801059936108363,0.38394623314189097
22,22,22,01-23,0.6733087978634729,0.09315518751569388,0.1601614504926189
23,23,23,01-24,0.7326788144120406,0.4074899386300129,-0.3723745348135834
24,24,24,01-25,0.5039545222164322,-0.8034915911172574,-0.3592428284316859
25,25,25,01-26,0.362422143721349,-1.552835242259339,-0.17143792743538086
26,26,26,01-27,0.7086616025734972,0.2803307302516122,0.09658091117033096
27,27,27,01-28,0.7589765546732592,0.5467234123669941,0.34265029299807925
28,28,28,01-29,0.9770413535597144,1.7012682191499646,0.8035225917127419
29,29,29,01-30,1.0115371312749342,1.8839062295965028,1.0308261267642853
30,30,30,01-31,1.0262384104178004,1.9617422011707173,0.9030206633764938
31,31,31,02-01,0.6200140502423717,-0.18901403195007746,1.042107710762042
32,32,32,02-02,0.5638259625540902,-0.4865020500751379,0.7086030398084073
33,33,33,02-03,0.9165970584648032,1.3812456966802829,0.4085579702564482
34,34,34,02-04,0.5990969278158189,-0.2997598065718428,0.1826587825510294
35,35,35,02-05,0.6715108246422818,0.08363581228474788,0.2150209003052788
36,36,36,02-06,0.7702379816105933,0.6063470749382048,0.29493624499795085
37,37,37,02-07,0.6566884451631748,0.005158674575418833,-0.01021983229595543
38,38,38,02-08,0.654390088602557,-0.0070099819191058715,0.011869426405397421
39,39,39,02-09,0.570778698364116,-0.4496907670831548,-0.021982629315132236
40,40,40,02-10,0.6241295972867417,-0.16722425436372565,-0.27806073764419265
41,41,41,02-11,0.6331479563713165,-0.11947652203843002,-0.468291227053596
42,42,42,02-12,0.4800372677157493,-0.9301215750361578,-0.5712629069920248
43,43,43,02-13,0.4411095962276153,-1.1362242618810006,-0.6125183385068254
44,44,44,02-14,0.5376973528428705,-0.6248400615496789,-0.7529552585073352
45,45,45,02-15,0.524025948760661,-0.6972233561719584,-0.9330747702465928
46,46,46,02-16,0.4649793493125142,-1.009845774366785,-0.9461668925815038
47,47,47,02-17,0.42902738068370144,-1.2001935924739753,-0.8454708329252704
48,48,48,02-18,0.4652006099757302,-1.0086743090456238,-0.7386401873590476
49,49,49,02-19,0.5552234835462702,-0.5320479039436007,-0.724557675453549
50,50,50,02-20,0.6587632643784513,0.01614381184765842,-0.7034586187611477
51,51,51,02-21,0.5399849662458918,-0.6127282847389677,-0.2997797989688397
52,52,52,02-22,0.4888898715925937,-0.8832514342123777,-0.2204067287191361
53,53,53,02-23,0.8864967147566508,1.221879326279873,-0.24584733936281444
54,54,54,02-24,0.5551502030931971,-0.5324358875474023,-0.19246308182936286
55,55,55,02-25,0.5263928919002665,-0.6846915678056709,-0.22195995786741665
56,56,56,02-26,0.7192610154280897,0.3364493570483675,-0.12147236898253748
57,57,57,02-27,0.5065576087112473,-0.7897095409672901,-0.503804104146918
58,58,58,02-28,0.602767509248722,-0.28032590090310266,-0.51783510358843
59,59,59,02-29,0.4532189808131343,-1.07211108470641,-0.6532804719697588
60,60,60,03-01,0.5392495621475344,-0.6166218841964735,-0.8949562043217422
