,unnamed: 0,unnamed: 0,mth_day,africa,africa_norm,africa_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8287655297087395,0.9539554667636924,
2,2,2,01-03,0.44940559006138064,-1.0719043097855845,
3,3,3,01-04,0.45746254202181397,-1.0288785361274475,
4,4,4,01-05,0.3203489542558163,-1.7610931777991607,-0.5964906300376989
5,5,5,01-06,0.4969218494404649,-0.8181577526302595,-0.8173588279517773
6,6,6,01-07,0.6776812613573238,0.1471345293525669,-0.7711059976244977
7,7,7,01-08,0.5806085332553348,-0.3712537207207779,-0.3982183692074171
8,8,8,01-09,0.5013730691275692,-0.7943873278219067,-0.3176297132339679
9,9,9,01-10,0.8764213362553486,1.208447234375036,-0.20005330108287234
10,10,10,01-11,0.4108945330374555,-1.2775612419584659,-0.13397637229774692
11,11,11,01-12,0.6290251108820872,-0.11269927972368594,-0.09133835257434754
12,12,12,01-13,0.7519221540573273,0.5435961020633194,-0.16558522978021809
13,13,13,01-14,0.6285145831493806,-0.11542560238038164,-0.2013508130072952
14,14,14,01-15,0.4179528111752623,-1.2398685910571299,-0.01993594904972569
15,15,15,01-16,0.8362368289615985,0.9938537350125732,-0.2651201063782743
16,16,16,01-17,0.6147236409709879,-0.18907205821304868,-0.3348471304745035
17,17,17,01-18,0.3535478595836405,-1.5838042236949772,-0.4218578428048097
18,18,18,01-19,0.6735801879672808,0.1252339574859443,-0.3853341133101648
19,19,19,01-20,0.5307534874593627,-0.6374898763622192,-0.7878517740267441
20,20,20,01-21,0.4589891355364255,-1.0207262140892603,-0.7570678480714105
21,21,21,01-22,0.3839871404766361,-1.4212522292869023,-0.3572979091064827
22,22,22,01-23,0.6493109952223746,-0.004368502481047065,-0.5226581075441027
23,23,23,01-24,0.8027103386676152,0.8148154100945899,-0.5929775617747304
24,24,24,01-25,0.4877893381991209,-0.8669272331397755,-0.4471388867143826
25,25,25,01-26,0.4517458950629975,-1.059406601745985,-0.4905475256488908
26,26,26,01-27,0.6228465306322956,-0.14569416372717375,-0.6360706498513494
27,27,27,01-28,0.33521525950937986,-1.681704062893951,-0.8603579542565183
28,28,28,01-29,0.4858081380539274,-0.8775072476957985,-0.7986756348809703
29,29,29,01-30,0.5507117968699892,-0.5309084163364239,-0.6217650140398983
30,30,30,01-31,0.5570926568981321,-0.4968333168864872,-0.5039990445653947
31,31,31,02-01,0.6505142497797143,0.0020571233004470953,-0.34507399858090765
32,32,32,02-02,0.7551627696618047,0.5609016531198473,-0.2266774435391376
33,33,33,02-03,0.5137758782186055,-0.7281537869870288,-0.21549099877337333
34,34,34,02-04,0.6188328730183769,-0.1671279174451785,-0.249363578335324
35,35,35,02-05,0.5632803538658853,-0.4637897477418387,-0.035206737846704465
36,36,36,02-06,0.5190350384378564,-0.7000687942581909,-0.2782881023540547
37,37,37,02-07,0.8911306844113803,1.2869981662321643,-0.4133355890305117
38,38,38,02-08,0.4820481163091037,-0.8975865339242541,-0.4934841796636825
39,39,39,02-09,0.3620429488575035,-1.5384387070457703,-0.3565064520681842
