,unnamed: 0,unnamed: 0,mth_day,sweet,sweet_norm,sweet_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.083480920351676,-1.0197010490075669,
2,2,2,01-03,4.830352739259218,0.02345940690260623,
3,3,3,01-04,4.140440259367038,-0.9401455904249716,
4,4,4,01-05,3.6335341024555983,-1.6481445326274913,-1.0513640704848757
5,5,5,01-06,3.8161624349602015,-1.393066419121643,-1.309206593232217
6,6,6,01-07,3.8608963834001946,-1.330586238630187,-1.6934348504878207
7,7,7,01-08,2.975835517202313,-2.5667561854916165,-1.6719025119457935
8,8,8,01-09,3.1797768048688613,-2.281910136631016,-1.3845715358323047
9,9,9,01-10,4.232939338072154,-0.8109515591728079,-1.3627789669518229
10,10,10,01-11,4.867856631894962,0.07584132405344214,-1.2519283457553592
11,11,11,01-12,3.9097794166980586,-1.2623110058387563,-0.8383848530357864
12,12,12,01-13,4.337090843864847,-0.6654825114514004,-0.5583169552261457
13,13,13,01-14,4.752344464727687,-0.08549522917418076,-0.4000718804656855
14,14,14,01-15,4.38289844777387,-0.6015027497731723,-0.6570628966504953
15,15,15,01-16,4.9127319020054765,0.13851888938995366,-0.34841799924604056
16,16,16,01-17,3.7638691487802403,-1.4661047730554164,-0.20416498851557088
17,17,17,01-18,5.235662743361545,0.5895583785879722,-0.3383468148721702
18,18,18,01-19,4.956776001004847,0.20003555293141773,-0.666550183021562
19,19,19,01-20,4.175923316010835,-0.8905861873137766,-0.6633747930311301
20,20,20,01-21,2.9729954257458253,-2.570722958669524,-0.6890460645352036
21,21,21,01-22,4.926372809985402,0.1575712293325448,-0.9058683180342556
22,22,22,01-23,3.6535899536672254,-1.620132402079857,-1.1611795011998391
23,23,23,01-24,4.3042330868807,-0.7113751424063406,-1.4143331372537054
24,24,24,01-25,3.8600047803668462,-1.3318315460620829,-1.3501773574305893
25,25,25,01-26,3.0884205322268805,-2.409508003636974,-1.6581766587707936
26,26,26,01-27,3.248597191697249,-2.185788279730825,-1.3879702207898008
27,27,27,01-28,3.6032628486506404,-1.6904245787086816,-1.3882980495069557
