,unnamed: 0,unnamed: 0,mth_day,feel-good,feel-good_norm,feel-good_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.621881195851271,-0.18425989544304072,
2,2,2,01-03,5.274050887790332,-0.6579409501355316,
3,3,3,01-04,4.086273507709471,-2.275475791400754,
4,4,4,01-05,4.290586736063052,-1.9972386647004687,-1.496422089223484
5,5,5,01-06,4.210234323122581,-2.106663906913864,-1.603595601374903
6,6,6,01-07,4.46703146040833,-1.756953326747244,-1.9146773921128977
7,7,7,01-08,5.149687570478581,-0.8273009683515588,-1.7841221627014587
8,8,8,01-09,3.9034618718358303,-2.524431694563497,-1.5354070795386308
9,9,9,01-10,4.66148417170313,-1.492144414932123,-1.280687911659956
10,10,10,01-11,5.386395527302427,-0.5049481657235015,-0.8964192133008051
11,11,11,01-12,5.332496390662309,-0.5783488996418159,-0.8696658244395691
12,12,12,01-13,6.160073203214076,0.5486588634076622,-0.6723126445577771
13,13,13,01-14,5.2675597893113855,-0.6667806351841428,-0.3343259453487525
14,14,14,01-15,4.7729762846466235,-1.3403126152727445,-0.5503424847232804
15,15,15,01-16,6.150612983697037,0.5357757803220239,-0.29087393560064484
16,16,16,01-17,4.434652593622992,-1.8010474019706693,-0.22122967630317256
17,17,17,01-18,6.475683661667371,0.9784623950939978,-0.3177881206198328
18,18,18,01-19,6.4669174469448105,0.9665244191924957,-0.3262293769129491
19,19,19,01-20,4.842134878183969,-1.246131301084104,-0.4144133692950935
20,20,20,01-21,4.735785123027181,-1.3909601530314422,-0.3025676673194353
21,21,21,01-22,5.762084902206794,0.006671826029158155,-0.6310175850919405
22,22,22,01-23,4.9274313263347,-1.1299731901167205,-1.0487854650944706
23,23,23,01-24,5.028572763526419,-0.9922371115410332,-1.2392378881758404
24,24,24,01-25,4.626282332328528,-1.5400828608226853,-1.5445924655677197
25,25,25,01-26,4.0030243712076965,-2.3888458395723218,-1.8963678725500253
26,26,26,01-27,3.3904295213641165,-3.2230876173827165,-1.828567667309345
27,27,27,01-28,4.212204699482392,-2.103980615864676,-1.6080733049814997
28,28,28,01-29,5.226150889321285,-0.7231719586726376,-1.6532537350355998
29,29,29,01-30,6.000044447450754,0.3307290624260377,-1.4275513726112077
30,30,30,01-31,4.427222782679718,-1.8111654411472868,-0.9474737655163544
31,31,31,02-01,4.9974418781918875,-1.0346316650259693,-0.6288906157238507
32,32,32,02-02,5.5055938115302085,-0.342621974813596,-0.8078775157479742
33,33,33,02-03,5.615843802683886,-0.1924817171096538,-1.2056050582392075
34,34,34,02-04,4.437556100179714,-1.7970933588173783,-0.9031991502309156
35,35,35,02-05,4.247704653508313,-2.0556361925213618,-0.6954523249903065
36,36,36,02-06,5.759586901108621,0.003270006902463808,-0.7918400421023947
37,37,37,02-07,5.91274944440689,0.2118492864176849,-1.0733559539145572
38,38,38,02-08,5.080921103965579,-0.9209482774861256,-0.8651695997880199
39,39,39,02-09,4.375518499068997,-1.8815771879826289,-0.29861506977919444
40,40,40,02-10,5.354800177888427,-0.5479752340581556,-0.4637118817881593
41,41,41,02-11,6.7438758820691405,1.3436909875315906,-0.5357448707010795
42,42,42,02-12,5.032190171869735,-0.9873108651513256,-0.32628705409414505
43,43,43,02-13,5.595380744824042,-0.22034864705983606,-0.059620079626563766
44,44,44,02-14,6.003767092688423,0.335798622155481,-0.03899616552295927
45,45,45,02-15,5.550421167772347,-0.2815753411771412,-0.2849867504284042
46,46,46,02-16,5.445666666953347,-0.4242317494365286,-0.01633725219858978
47,47,47,02-17,5.66007090299986,-0.13225252190107928,-0.08566335478893289
48,48,48,02-18,6.215827602212265,0.6245861242275612,-0.19726948049688087
49,49,49,02-19,5.28993826134134,-0.6363052626018948,-0.03718609909846337
50,50,50,02-20,5.512043904244439,-0.3338381320922069,0.046904346177264335
51,51,51,02-21,6.255729323743203,0.6789249472133638,-0.08918131355676967
52,52,52,02-22,5.816159071437112,0.08031092221783767,-0.3673245913359191
53,53,53,02-23,5.060493827087108,-0.9487664803052832,-0.17463365834876965
54,54,54,02-24,4.9903617191681375,-1.0442735424473353,-0.11467404062897366
55,55,55,02-25,6.1389113741669865,0.5198403353210015,-0.11914616287949115
56,56,56,02-26,5.77621878009501,0.02591957422656914,-0.1138987132866191
57,57,57,02-27,6.236025690110313,0.6520922137102587,-0.12813176144606178
58,58,58,02-28,5.839278704240766,0.11179561977507001,-0.07050547411398185
59,59,59,02-29,4.997784725970632,-1.0341647692619391,-0.2681625850763311
60,60,60,03-01,5.2442562215117645,-0.6985158184548557,-0.3672782412703101
61,61,61,03-02,5.268057877510656,-0.6661023304530941,-0.3937387172680695
62,62,62,03-03,5.339527100500668,-0.5687743629373051,-0.35456244633940065
63,63,63,03-04,6.119444010181633,0.4933293577237022,-0.3789715537327713
