,unnamed: 0,unnamed: 0,mth_day,dystopia,dystopia_norm,dystopia_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.204671223853222,-2.046867374516911,
2,2,2,01-03,6.1913525335067465,-0.9752503395438702,
3,3,3,01-04,5.256910329931918,-1.9901314098057183,
4,4,4,01-05,4.948256187301878,-2.325355188670544,-1.8282507139184758
5,5,5,01-06,5.951309317907707,-1.2359570099235562,-1.8201293225344344
6,6,6,01-07,4.883263159546501,-2.3959429610502543,-2.0191822549616005
7,7,7,01-08,5.249537392412495,-1.9981390262126624,-1.5829269088385072
8,8,8,01-09,5.091695837236224,-2.1695679341068668,-1.294480367849672
9,9,9,01-10,7.6669783796634015,0.6274006669328425,-1.0885797716911918
10,10,10,01-11,6.541762831221846,-0.5946759427375333,-0.7879306211887638
11,11,11,01-12,7.088795546173206,-0.0005534329726755801,-0.36277969650581615
12,12,12,01-13,6.544182431353812,-0.5920480580356854,-0.19495324832797856
13,13,13,01-14,7.598259692317691,0.552766521885023,-0.3468412583927886
14,14,14,01-15,6.0188435828118125,-1.1626092450398409,-0.17980018437866355
15,15,15,01-16,6.827881636328124,-0.28392739345601786,-0.2647615863139002
16,16,16,01-17,7.464571821534331,0.40757050134721706,-0.10091561568469476
17,17,17,01-18,6.619431074002973,-0.5103218445840951,-0.34580435050506425
18,18,18,01-19,7.449340253257668,0.3910277657395469,-0.3828966059510303
19,19,19,01-20,6.245385691403536,-0.9165658870371935,-0.4980260823103432
20,20,20,01-21,5.813929510039445,-1.3851627777156372,-0.5331167964297524
21,21,21,01-22,6.1918553388358175,-0.9747042516118954,-0.6136855948349341
22,22,22,01-23,7.270715150910088,0.19702621663076228,-0.8471264462282372
23,23,23,01-24,6.174333292240092,-0.9937346350151859,-1.0218501607978772
24,24,24,01-25,6.1597094385412525,-1.0096173426202713,-1.0261923133194035
25,25,25,01-26,5.280134386733272,-1.9649081744550327,-1.0121254560622472
26,26,26,01-27,5.789941533382676,-1.4112156928447956,-1.0581434120915367
27,27,27,01-28,6.269566898217005,-0.8903031080689573,-1.0206641730123422
28,28,28,01-29,7.016491548779499,-0.07908151954497497,-1.0079443739701748
29,29,29,01-30,6.381385234263807,-0.7688592005400191,-0.6352496432330091
30,30,30,01-31,6.229979250803642,-0.9332985483672672,-0.4825543149952484
31,31,31,02-01,7.339065402330457,0.27126020996796096,-0.1136099123186841
32,32,32,02-02,6.633498260422193,-0.4950437234182312,-0.04709372397581445
33,33,33,02-03,8.30777943800595,1.3233633079904286,0.1814315599723729
34,34,34,02-04,7.3839564789853975,0.3200156105122429,0.3891582192603285
35,35,35,02-05,7.643860273925418,0.6022925031491049,0.5752166438859709
36,36,36,02-06,7.377553461816522,0.3130614073604667,0.6993291282997846
37,37,37,02-07,8.366934673294327,1.3876107577218155,0.3537823671956277
38,38,38,02-08,7.319150679164427,0.24963118306465004,0.14393919785945886
39,39,39,02-09,6.398825849181969,-0.7499172586345129,-0.1496129933504312
40,40,40,02-10,6.224689727607187,-0.93904340550477,-0.24540722400995016
41,41,41,02-11,6.022147753377872,-1.1590206441102353,-0.6184059473522674
42,42,42,02-12,6.848343638457768,-0.26170397659664685,-0.5149493164922311
43,43,43,02-13,6.306324267698736,-0.8503815823320878,-0.5753834749176886
44,44,44,02-14,7.8906910001815715,0.8703709682248683,-0.5491206639321632
45,45,45,02-15,6.064960750156891,-1.1125222091872575,-0.7324757274766475
46,46,46,02-16,6.369777145365716,-0.7814665395916175,-0.7933880441412993
47,47,47,02-17,5.0092130482055435,-2.2591510253771414,-0.8644987798067495
48,48,48,02-18,6.511836981214002,-0.6271778765845574,-1.002131355859025
49,49,49,02-19,5.9134770199956765,-1.277045996324789,-0.8842113706206386
50,50,50,02-20,7.130347597874622,0.04457551191121576,-0.4351340284477332
51,51,51,02-21,6.7164030565341655,-0.4050022977569393,-0.20907747944668684
52,52,52,02-22,8.85067958896321,1.9129975134458144,0.044541112435600334
53,53,53,02-23,6.258049700917321,-0.9028117313708628,0.3221759904708204
54,54,54,02-24,7.912938585000247,0.8945336747091656,0.38262892907170537
55,55,55,02-25,7.447255241833178,0.3887632718865312,0.35177410507239176
56,56,56,02-26,7.464316446919428,0.4072931435165254,-0.1081729987885272
57,57,57,02-27,6.545947321924435,-0.5901312417528207,0.16509693674379747
58,58,58,02-28,6.309727760102514,-0.8466851097196996,-0.12213414034667845
59,59,59,02-29,7.767714044131602,0.7368078818230853,-0.28376013697668684
60,60,60,03-01,6.326146702820322,-0.8288527878336899,-0.5549061782019252
61,61,61,03-02,6.554361541055279,-0.5809927078935191,-0.5812619579493042
62,62,62,03-03,5.966385437992059,-1.2195831038349048,-0.433097784627684
63,63,63,03-04,6.400346303485577,-0.7482659202370948,-0.5038081702150733
64,64,64,03-05,7.128252377418172,0.04229993021002156,-0.3069665397069293
65,65,65,03-06,7.377078507850344,0.3125455682987501,-0.5301534447181043
66,66,66,03-07,7.413587186382607,0.35219699521517417,-0.4884399337768117
67,67,67,03-08,5.321378074683919,-1.9201141379605693,-0.6455005150037968
68,68,68,03-09,6.196829376055268,-0.9693020381871488,-0.8770956501074342
69,69,69,03-10,5.532673982558628,-1.6906294075990047,-0.9107236773796552
70,70,70,03-11,5.8488181182239405,-1.347270880411802,-1.2154330629206391
71,71,71,03-12,7.191302368200674,0.11077740466542377,-0.9799964603986564
72,72,72,03-13,5.730237375149742,-1.4760593180307269,-0.5420777263440838
73,73,73,03-14,6.622034303926919,-0.5074945228286744,-0.4140257130440632
74,74,74,03-15,8.616086718579595,1.6582103661402858,0.03829792480086047
75,75,75,03-16,6.2400901063970124,-0.9223173277988802,-0.2373815500337897
76,76,76,03-17,8.347654539132295,1.3666709466577396,0.0251726400970419
77,77,77,03-18,5.668326661037012,-1.5432994443424777,0.06898096903472106
78,78,78,03-19,7.180703187387378,0.09926582275426266,-0.13018680260643478
79,79,79,03-20,6.864050945838826,-0.2446445492025994,0.2545426452375254
80,80,80,03-21,7.5157955995496675,0.4632037362933507,0.12110298056795145
81,81,81,03-22,8.365506237751287,1.3860593592648809,0.6446053657262069
82,82,82,03-23,7.610474639229633,0.5660329586402959,0.7962196072000367
83,83,83,03-24,8.560386056160493,1.5977148666070544,0.8320317694813686
84,84,84,03-25,8.018287511585553,1.0089512715972424,0.7505723996784979
85,85,85,03-26,7.061893216135459,-0.02977157551460748,0.4998693064910029
86,86,86,03-27,7.065777906338947,-0.02555248252387273,0.2738472857323156
87,87,87,03-28,6.9805111420360495,-0.11815919986009035,-0.1177548877104459
88,88,88,03-29,6.361828735844969,-0.7900991659118275,-0.4135225115037653
89,89,89,03-30,6.397001939938089,-0.7518981740495146,-0.4179837433537172
90,90,90,03-31,6.3843359587072674,-0.7656544711626747,-0.4105874009683075
91,91,91,04-01,7.037247392446276,-0.05653896661431825,-0.5802871961174975
92,92,92,04-02,7.106638582606558,0.018825571788585647,-0.4880380119741667
93,93,93,04-03,6.043014196796,-1.1363579707552298,-0.578377357835769
94,94,94,04-04,6.871454149707304,-0.2366040610518431,-0.4700215156271298
95,95,95,04-05,5.8979273199258495,-1.293934249219129,-0.7897884352398833
96,96,96,04-06,6.982941696446706,-0.11551941791083875,-0.7412658822329691
97,97,97,04-07,5.270713083655697,-1.975140484290839,-0.558628603266193
98,98,98,04-08,7.374698689451345,0.30996088983007125,-0.6076670111292469
99,99,99,04-09,7.0519835415602605,-0.040534296954573966,-0.4624924095207425
100,100,100,04-10,6.600544231810046,-0.5308345082301659,-0.4861012519293389
101,101,101,04-11,6.699936216959357,-0.4228866395681026,-0.18247929611392166
102,102,102,04-12,6.852515978376425,-0.25717247236241714,-0.16048583184728551
103,103,103,04-13,6.948055450713482,-0.15340874939833615,-0.16902452784398495
104,104,104,04-14,7.49620034210267,0.4419216754298884,-0.2900480465024345
105,105,105,04-15,7.0048119972092415,-0.0917664729347705,-0.21866508765417614
