,unnamed: 0,unnamed: 0,mth_day,tumey's dvds,tumey's dvds_norm,tumey's dvds_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.02815438529724245,-0.6975374010728563,
2,2,2,01-03,0.037303444258331465,-0.5240383735430674,
3,3,3,01-04,0.0906230923078963,0.4870937138305339,
4,4,4,01-05,0.03117225444913793,-0.6403077597192617,-0.5477898945775809
5,5,5,01-06,0.0,-1.2314456959636686,-0.5197183294592063
6,6,6,01-07,0.029052609086608682,-0.6805038509971648,-0.3082956369919448
7,7,7,01-08,0.03703610900675305,-0.5291080103626083,-0.21282732769527013
8,8,8,01-09,0.10419668417910473,0.7444977812605016,0.07483009413499557
9,9,9,01-10,0.12082885898358997,1.059903569610582,0.5146401822394256
10,10,10,01-11,0.1221858382273442,1.0856367712623325,0.560819265362455
11,11,11,01-12,0.13915403970981854,1.4074148326629121,0.7510811952979151
12,12,12,01-13,0.04366347441341583,-0.4034293522589897,0.4708704925134954
13,13,13,01-14,0.09723417373877263,0.612463569250152,0.16692700373548106
14,14,14,01-15,0.0155392106081011,-0.9367664354460158,-0.11453067411447958
15,15,15,01-16,0.024662432949010413,-0.7637573630575045,-0.4988721981656961
16,16,16,01-17,0.033133827053678185,-0.6031092958374312,-0.5355929222202246
17,17,17,01-18,0.017550017550017543,-0.8986343116443866,-0.6526776983288346
18,18,18,01-19,0.03204519363390843,-0.623753696586161,-0.6183831292168663
19,19,19,01-20,0.06018904897991512,-0.09004508740150817,-0.6432208573118275
20,20,20,01-21,0.02638986629134412,-0.7309990207742064,-0.4723828234288634
21,21,21,01-22,0.016803881508036547,-0.9127837316272718,-0.4897167496954927
22,22,22,01-23,0.08718625375757094,0.4219189074603539,-0.4093868220687236
23,23,23,01-24,0.012065637065637055,-1.0026378692441624,-0.5250508975601643
24,24,24,01-25,0.057461240789716435,-0.14177413082554674,-0.5150173945305381
25,25,25,01-26,0.02359342784874699,-0.7840295403501526,-0.24195762964465306
26,26,26,01-27,0.02956442393969364,-0.670798002596449,-0.5078912303277651
27,27,27,01-28,0.10319882876777728,0.7255748576880384,-0.08418232648121145
28,28,28,01-29,0.0030459945172098693,-1.1736826966383178,-0.2657942540042318
29,29,29,01-30,0.14612533061515642,1.5396155538351592,-0.040250067009840663
30,30,30,01-31,0.0,-1.2314456959636686,0.186415199925558
31,31,31,02-01,0.09495464852607713,0.5692355816161939,0.04639001846351156
32,32,32,02-02,0.1012803495381892,0.6891935990159431,0.19022455584607328
33,33,33,02-03,0.058895457406914924,-0.11457623108424048,-0.11411195654857699
34,34,34,02-04,0.0485546298758056,-0.3106754723429476,0.2848069651513669
35,35,35,02-05,0.04983455358128084,-0.2864035205327425,0.04654466702410568
36,36,36,02-06,0.12621624872336085,1.1620678342359947,0.04154516449236372
37,37,37,02-07,0.01956947162426614,-0.8603382071473732,-0.009801929373543721
38,38,38,02-08,0.09969852821883336,0.6591965838254913,-0.07050128902454472
39,39,39,02-09,0.04264945548004758,-0.42265879427968506,-0.2280083182630324
40,40,40,02-10,0.02934961086489477,-0.6748716302489536,-0.4774139543097556
41,41,41,02-11,0.0,-1.2314456959636686,-0.0187063688839282
42,42,42,02-12,0.04730536713835815,-0.3343659820443448,-0.27799344185700564
43,43,43,02-13,0.16470259904444556,1.8919073054075912,-0.06328726359985991
44,44,44,02-14,0.017661202053247366,-0.8965258540129735,-0.009871283509907793
45,45,45,02-15,0.110581576327726,0.8655782752631894,0.1655678605098279
46,46,46,02-16,0.046250199586295684,-0.3543757497092408,0.05679269017027569
47,47,47,02-17,0.05550819836534117,-0.17881083184525434,-0.20336627124293008
48,48,48,02-18,0.012889366272824887,-0.9870170040816582,-0.1599959947659334
49,49,49,02-19,0.08238941108782362,0.3309535369283565,-0.5094999899704097
50,50,50,02-20,0.03138337291366837,-0.6363041951509935,-0.5061703304411282
51,51,51,02-21,0.0,-1.2314456959636686,-0.10198451777959727
52,52,52,02-22,0.0473036896877956,-0.3343977925335515,0.06817317834384858
53,53,53,02-23,0.1833908689690522,2.2463040441239315,-0.015540894205992898
54,54,54,02-24,0.06672653700564128,0.03392917265901696,0.030762124635948733
55,55,55,02-25,0.055902634883851575,-0.17133089837069235,0.18448494003473667
56,56,56,02-26,0.04603345097437468,-0.3584860820993437,0.03497695612971715
57,57,57,02-27,0.04863724443089367,-0.3091088035709409,-0.5446480005515495
58,58,58,02-28,0.0,-1.2314456959636686,-0.4971585435640071
59,59,59,02-29,0.0,-1.2314456959636686,-0.3724035549507597
60,60,60,03-01,0.08175199904523209,0.3188659145842717,-0.279506818385547
61,61,61,03-02,0.09537458222891504,0.5771990333087921,-0.4332296337843349
62,62,62,03-03,0.07542558298440431,0.1988943372919329,-0.1885971270101164
63,63,63,03-04,0.0,-1.2314456959636686,0.24902028965834466
64,64,64,03-05,0.07740068380125265,0.2363493446816424,0.31262946178475004
65,65,65,03-06,0.13846028780115616,1.3942588040470971,0.2068436197226947
66,66,66,03-07,0.10187767033698468,0.7005209473427043,0.16663864803842499
67,67,67,03-08,0.06190439210552583,-0.05751601906353995,0.28747088201011745
68,68,68,03-09,0.06270490108645617,-0.04233549281368526,0.1800767069663424
69,69,69,03-10,0.0382308044747044,-0.5064522921335137,-0.02348895659318329
70,70,70,03-11,0.04342162396873638,-0.4080157055810079,-0.1854739599647283
71,71,71,03-12,0.07405297838129643,0.1728648226899432,-0.06311247713433599
72,72,72,03-13,0.05062630480167007,-0.2713890728865659,-0.18040856294193167
73,73,73,03-14,0.10061904440947596,0.6766528779188139,-0.13041870347791032
