,unnamed: 0,unnamed: 0,mth_day,library,library_norm,library_ravg
0,0,0,01-01,,,
1,1,1,01-02,8.75922985004091,-0.5977448123531776,
2,2,2,01-03,9.409125400309872,0.05885473166344955,
3,3,3,01-04,7.896497356036626,-1.4693768183533773,
4,4,4,01-05,6.727036566862661,-2.650901173458076,-1.7108925395737635
5,5,5,01-06,6.759048843998108,-2.6185586738650732,-1.838188977286432
6,6,6,01-07,6.393747292801633,-2.9876284910763253,-2.1745662343155847
7,7,7,01-08,8.003249534290415,-1.361523438629188,-2.132761557643449
8,8,8,01-09,7.411468674407033,-1.959408810511465,-1.6432481402844317
9,9,9,01-10,8.144764418637259,-1.2185487583205643,-1.0924617825726721
10,10,10,01-11,9.634128976270642,0.2861793306960289,-0.7055694648040959
11,11,11,01-12,10.030025252260653,0.6861594724054829,-0.4913054934282988
12,12,12,01-13,8.691399778634091,-0.6662745844648681,-0.3078083254957813
13,13,13,01-14,9.275707331579664,-0.0759396103744056,-0.1279778801620859
14,14,14,01-15,8.501210457017347,-0.8584258029163607,-0.40129402264224656
15,15,15,01-16,9.21273049284728,-0.13956608631839187,-0.4199080537446889
16,16,16,01-17,8.010975749011898,-1.3537175241849349,-0.2555324333329583
17,17,17,01-18,9.919481380310547,0.5744752857908285,-0.2511371609215793
18,18,18,01-19,9.66758368176131,0.3199791380055159,-0.28853042887937275
19,19,19,01-20,9.301809707145457,-0.04956797590613188,-0.21685347582043224
20,20,20,01-21,8.279141599273794,-1.0827854106631216,-0.20539134791002167
21,21,21,01-22,9.63840120743428,0.2904956320352512,-0.3280797537114653
22,22,22,01-23,8.079046334745362,-1.2849447567224714,0.4531809317928422
23,23,23,01-24,9.190866963259426,-0.16165514901783326,0.10626895676933797
24,24,24,01-25,14.30728696272922,5.007543251031361,-0.1098878499460159
25,25,25,01-26,7.2415900409214675,-2.1310398260471572,-0.3478878711944613
26,26,26,01-27,6.995442746984312,-2.3797262509552453,-0.1450274481475942
27,27,27,01-28,8.224981205704582,-1.1375044954554216,-0.017366840176091674
