,unnamed: 0,unnamed: 0,mth_day,fighting,fighting_norm,fighting_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.276721012330578,0.2992316700014855,
2,2,2,01-03,2.632354729119428,-1.0176379224874184,
3,3,3,01-04,3.117063848343078,-0.027054279397356783,
4,4,4,01-05,2.844411980060745,-0.5842636865795735,-0.8117747969644391
5,5,5,01-06,2.5659059196719176,-1.1534371082896984,-1.078734209344526
6,6,6,01-07,1.9620644764776825,-2.387487455034073,-0.9974568313807682
7,7,7,01-08,2.4929548202729293,-1.3025248042790367,-0.9762991851351744
8,8,8,01-09,2.8709769992957925,-0.5299736547048719,-0.7458656040112149
9,9,9,01-10,3.179180586175877,0.09989159807620636,-0.585309216691492
10,10,10,01-11,3.520941976847645,0.7983378001641824,-0.414965225015936
11,11,11,01-12,3.0372834492304097,-0.1900987843713608,-0.030293007700313363
12,12,12,01-13,2.46217743561682,-1.3654235049807364,-0.05495067137944818
13,13,13,01-14,3.622314059821236,1.005508499614699,-0.2717544935295306
14,14,14,01-15,2.7985845595817054,-0.6779196367796808,-0.4883428125252838
15,15,15,01-16,2.5426662014791384,-1.2009313348242885,-0.45410563556754796
16,16,16,01-17,2.8850602879046887,-0.5011921138103368,-0.12992312383464102
17,17,17,01-18,3.137800383889988,0.015324277375054459,-0.3947979188331578
18,18,18,01-19,3.413944936478824,0.5796715654167054,-0.6129052280130636
19,19,19,01-20,2.8446680963499618,-0.5837402703764012,-0.5985634702362473
20,20,20,01-21,2.158243267054099,-1.9865634918591155,-0.7611907492245221
21,21,21,01-22,2.5847721709968736,-1.1148807881633906,-1.0562259440941195
22,22,22,01-23,2.40760282708341,-1.4769557877399857,-1.171204970604969
23,23,23,01-24,2.2716064964210494,-1.7548868918425318,-1.2865857440727684
24,24,24,01-25,3.0763779896105157,-0.110202593648389,-1.260206697677669
25,25,25,01-26,2.5059216605106056,-1.2760249111831985,-1.2214591636473775
26,26,26,01-27,2.235689514627356,-1.8282892134885167,-1.104053642096063
27,27,27,01-28,2.6985310638854565,-0.8823955839816449,-0.7251220909917758
28,28,28,01-29,2.7522937212250387,-0.7725226584320982,-0.8642162688411507
29,29,29,01-30,3.3841117128943936,0.5187024147831905,-0.7888093212812824
30,30,30,01-31,2.6680113651171298,-0.9447676607446372,-0.6752234326051719
31,31,31,02-01,2.7273089328932048,-0.8235832258239877,-0.2322762040888097
32,32,32,02-02,2.5691663478487627,-1.1467738814318549,-0.2458944325744559
33,33,33,02-03,3.998979920442254,1.7752877871165291,-0.2966351410439195
34,34,34,02-04,2.7123119614975746,-0.8542320293459751,-0.3014692483894105
35,35,35,02-05,3.2351420567775406,0.21425816396640865,-0.2019631082277323
36,36,36,02-06,2.6538189083972337,-0.9737723048175831,-0.11007724992142967
37,37,37,02-07,3.0194490296425736,-0.22654638485391834,-0.44012706442234295
38,38,38,02-08,2.8389340575789017,-0.5954587315940388,-0.6161443896940146
39,39,39,02-09,3.0299866042132964,-0.2050110998889507,-0.6993147218013785
40,40,40,02-10,2.1955426611219293,-1.9103359809760057,-0.7125266687090832
41,41,41,02-11,2.990962262153371,-0.28476382867777456,-0.5899775808196859
42,42,42,02-12,2.6150299508354893,-1.0530439862638112,-0.10534885383247933
43,43,43,02-13,3.3792409212221783,0.5087481424824658,-0.14792664319438475
44,44,44,02-14,4.261755633810545,2.3123136303292005,-0.03143598758834032
45,45,45,02-15,2.9049824639325976,-0.4604778360603832,-0.10873422431548953
46,46,46,02-16,2.5375476001523496,-1.2113920473397393,0.10202079103277656
47,47,47,02-17,2.7640223535272934,-0.7485532490406698,-0.13984207640358226
48,48,48,02-18,3.2337856424362066,0.2114861058257853,-0.6261899012707478
49,49,49,02-19,2.6691556804708805,-0.9424290621356872,-0.6369969101726066
50,50,50,02-20,2.833886957770217,-0.6057733188737929,-0.5308431155653329
51,51,51,02-21,2.8732541643419336,-0.5253198894715354,-0.5085708827177025
52,52,52,02-22,2.849204546914564,-0.5744692796960978,-0.7356322008558829
53,53,53,02-23,2.82941140638734,-0.6149198519548869,-0.6433676969809937
54,54,54,02-24,2.5671562732219257,-1.150881803003298,-0.5508429137532693
55,55,55,02-25,2.9400350558013613,-0.3888420388863515,-0.47733182130004703
56,56,56,02-26,3.105530487304605,-0.050624619507446525,-0.3988409936335967
57,57,57,02-27,3.0890753953387606,-0.08425333475220152,-0.4378810351214559
58,58,58,02-28,3.079645783517224,-0.10352431369739594,-0.3073908171262221
59,59,59,02-29,2.7147937407957357,-0.8491601008820421,-0.09490019179891374
60,60,60,03-01,2.9502625302632897,-0.3679404950318951,-0.2961030648030181
61,61,61,03-02,3.563886325085755,0.8861017130774985,-0.4692184347289166
62,62,62,03-03,2.514818932317497,-1.257841857532073,-0.1549751047818003
63,63,63,03-04,2.5808259462416308,-1.1229455543075924,0.015324763034798572
64,64,64,03-05,4.002232838591737,1.7819356659853018,0.039528154004139913
65,65,65,03-06,3.2147771566885583,0.1726391060175512,-0.10989036386476042
66,66,66,03-07,3.0213212706380803,-0.22272014921584712,-0.019436161769538256
67,67,67,03-08,3.1252084686696264,-0.010409394135903405,0.12002544040916993
68,68,68,03-09,2.7803834422919493,-0.7151166449607399,-0.4844709089450576
69,69,69,03-10,2.9902712918967973,-0.28617594123534323,-0.4644010441468838
70,70,70,03-11,2.2274918859425097,-1.8450424301400632,-0.6605272889091245
71,71,71,03-12,3.273700276752895,0.293058294806594,-0.902091284995068
72,72,72,03-13,2.445514189518906,-1.3994776177892911,-0.8511643810138652
73,73,73,03-14,2.416000684375629,-1.4597933706515651,-0.9275856332203524
74,74,74,03-15,2.9298997498488584,-0.4095552210735226,-0.5613842252522213
75,75,75,03-16,2.765906122299865,-0.7447034544742656,-0.8947456527058217
76,76,76,03-17,3.3026226726431056,0.3521660176687221,-0.16517636625215085
77,77,77,03-18,2.294984395395569,-1.7071102699150087,0.1325761952165726
78,78,78,03-19,4.5874568031469485,2.977938100932734,0.14544102579290022
79,79,79,03-20,3.29017248898498,0.3267219981607753,0.3861313239087964
80,80,80,03-21,2.9676696085040732,-0.3323662376155569,0.3192400878412738
81,81,81,03-22,3.4725488165493212,0.6994383342211112,0.4905490234689465
82,82,82,03-23,3.106236679329532,-0.04918139873641365,-0.08526359608696603
83,83,83,03-24,2.7979303336762054,-0.679256656148972,-0.2483284521730696
84,84,84,03-25,2.8969284185341984,-0.4769376164027412,-0.11550658803746275
85,85,85,03-26,2.811430345474901,-0.6516671383558459,0.1680744246592344
86,86,86,03-27,3.3576213459140565,0.4645649471980839,0.2769789116709777
87,87,87,03-28,4.305114368292052,2.400924410401294,0.2134393976755693
88,88,88,03-29,3.4259693844707138,0.6042455233340465,0.3087161512507935
89,89,89,03-30,2.6113846618627257,-1.0604937401214227,0.4276494903341481
90,90,90,03-31,3.176651458360752,0.09472290504860384,0.2792920236078734
91,91,91,04-01,3.1606067594136036,0.06193289614428159,-0.17000624208039505
92,92,92,04-02,2.9220586297592126,-0.4255798531595636,-0.5805533146530438
93,93,93,04-03,2.9860195004354004,-0.2948651837283164,-0.4416905121846586
94,94,94,04-04,2.220644152211992,-1.8590369121018464,-0.5367219229679153
95,95,95,04-05,3.0190719913289112,-0.2273169253111112,-0.5263154540841184
96,96,96,04-06,2.8976487204860746,-0.4754655596509366,-0.4334407618357455
97,97,97,04-07,3.191159113485344,0.1243717094470634,-0.5264064759553788
98,98,98,04-08,3.1947294572571194,0.1316683003306736,-0.3873554105619335
99,99,99,04-09,2.7130814418075038,-0.8526594684461162,-0.2859746802345361
100,100,100,04-10,2.628884202837414,-1.0247305197411751,-0.09741821903720364
101,101,101,04-11,3.316715697719743,0.3809674566532728,-0.0071010639390368625
102,102,102,04-12,3.4512316725270744,0.6558732075330584,-0.15583052256080446
103,103,103,04-13,3.4563212671538026,0.666274640036064,0.1576878850974988
104,104,104,04-14,2.758074610022096,-0.7607084513999319,0.3655576977064381
105,105,105,04-15,3.633540197389688,1.0284509775037032,0.3446295235237118
106,106,106,04-16,3.2391692271402257,0.2224883559124616,0.22451181848489746
107,107,107,04-17,3.25527266696209,0.25539841155691445,0.02021501438073636
108,108,108,04-18,3.0985780783434898,-0.06483302269982763,0.2517841960625565
109,109,109,04-19,2.8565262392328856,-0.5595061845889027,0.21258804060541267
110,110,110,04-20,3.4379386167133403,0.6287066386909889,0.3139019795224726
111,111,111,04-21,3.5184641967645205,0.7932740447608402,0.2950436596631469
112,112,112,04-22,3.5366168406161247,0.8303719894148214,0.2403656062537578
113,113,113,04-23,3.199906521925388,0.14224849240096096,0.2473225240867968
114,114,114,04-24,2.9380487704321183,-0.39290134315616304,0.12842387748633213
115,115,115,04-25,2.876951055686616,-0.5177646775906686,-0.08359518571524076
116,116,116,04-26,3.0888640564420737,-0.0846852409117992,-0.25080745735904997
117,117,117,04-27,2.8959973868191367,-0.4788403344485971,-0.31598304308619324
118,118,118,04-28,3.0456982989428845,-0.17290164044803388,-0.2231995126483979
119,119,119,04-29,3.0085575067883576,-0.2488050219618984,-0.0963293529491046
120,120,120,04-30,3.2104519559521663,0.16379983947060878,0.19847165255675425
121,121,121,05-01,3.2494291828548265,0.24345628060509136,0.2737933446703342
122,122,122,05-02,3.954370387311298,1.6841207921233536,0.5496375720366856
123,123,123,05-03,3.1171343577199715,-0.026910181767117118,0.4776038162720324
124,124,124,05-04,3.85554942109098,1.4821637237500749,0.4310096459148531
125,125,125,05-05,2.7970735888701883,-0.6810075565498179,0.43020187143239935
126,126,126,05-06,3.073656121906287,-0.11576518267246705,0.251163402970531
127,127,127,05-07,3.2470576375906623,0.2386096337103685,0.6893355775391524
128,128,128,05-08,3.4287313120409215,0.6098899813521439,0.7313003510451029
