,unnamed: 0,unnamed: 0,mth_day,quotable,quotable_norm,quotable_ravg
0,0,0,01-01,,,
1,1,1,01-02,6.943334857955487,-0.8531991412119732,
2,2,2,01-03,6.502149421246079,-1.327559058759354,
3,3,3,01-04,6.5625353931506405,-1.2626324263951645,
4,4,4,01-05,5.402781427209664,-2.509592887652101,-1.5544992706329053
5,5,5,01-06,6.3597865945052,-1.4806267104440936,-1.7576833819726152
6,6,6,01-07,5.975894288942437,-1.8933853993347447,-1.9606417498319564
7,7,7,01-08,5.809488583287441,-2.0723038092502333,-1.8700016416590917
8,8,8,01-09,5.369562882895791,-2.5453092659154017,-1.6766936928238163
9,9,9,01-10,7.068342408815776,-0.7187917773579771,-1.5831235835385653
10,10,10,01-11,6.481514878390512,-1.3497451946404475,-1.237366451979556
11,11,11,01-12,6.881944154630468,-0.9192060547325877,-0.8384532402414123
12,12,12,01-13,7.905353403502022,0.18115739001930992,-0.5622368586322557
13,13,13,01-14,8.035579275432829,0.3211754611786297,-0.2832434858287974
14,14,14,01-15,6.910957597397868,-0.8880109762604623,-0.2287381588223761
15,15,15,01-16,8.625233812993455,0.9551684594627726,-0.031009114514914043
16,16,16,01-17,6.785675777430831,-1.0227132326019202,0.09623023848115332
17,17,17,01-18,7.985349036062617,0.2671682111121849,-0.11799437338089093
18,18,18,01-19,8.615398423432513,0.9445935079957141,-0.16726394379246012
19,19,19,01-20,6.840122718813207,-0.9641722099936356,-0.3542047056816085
20,20,20,01-21,6.636014254154596,-1.1836283987298777,-0.4695752960803498
21,21,21,01-22,7.5820317385102225,-0.16647611187211767,-0.9353937723093874
22,22,22,01-23,6.141863063595365,-1.7149367749943685,-1.296382058628134
23,23,23,01-24,5.3859009765596655,-2.5277426462620407,-1.4197420639828782
24,24,24,01-25,6.600943548282442,-1.2213362099167668,-1.5956863234052279
25,25,25,01-26,6.151725965778461,-1.704332242122101,-1.9306724398870527
26,26,26,01-27,5.6541769353805895,-2.239293955263977,-1.6603686291107174
27,27,27,01-28,5.712679072427997,-2.1763928107630703,-1.4336745734967542
28,28,28,01-29,7.650263335922303,-0.09311391033635268,-1.44191896075811
29,29,29,01-30,6.650941873470822,-1.167578312578263,-1.3706167331817714
30,30,30,01-31,6.5549366645671086,-1.2708025334849025,-1.1675710447803498
