,unnamed: 0,unnamed: 0,mth_day,loss of loved one,loss of loved one_norm,loss of loved one_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.700606238870964,-0.4397567375318007,
2,2,2,01-03,3.8504479926933253,-0.16900806021785747,
3,3,3,01-04,3.238557826459153,-1.2746308185160096,
4,4,4,01-05,2.898087207236981,-1.8898262995295683,-1.1892312362137687
5,5,5,01-06,3.0784506104462643,-1.5639281329034131,-1.3132365238920578
6,6,6,01-07,2.9487757135660115,-1.7982373685839632,-1.4638461442172241
7,7,7,01-08,3.2888331515938134,-1.1837884636015377,-1.1036162885378868
8,8,8,01-09,3.3503323162084184,-1.072665782168854,-0.8169708529846229
9,9,9,01-10,4.434740364959508,0.8867483155600139,-0.6733097492208202
10,10,10,01-11,3.8499246503134974,-0.16995368620998402,-0.5255797899090938
11,11,11,01-12,3.555492979574375,-0.7019615103205967,-0.3566285563207143
12,12,12,01-13,3.4393291614716657,-0.9118576127136048,-0.1923703058247542
13,13,13,01-14,3.8498541560727215,-0.1700810620712606,-0.4177498479314449
14,14,14,01-15,3.8957697583031297,-0.08711627919309345,-0.6460022569174314
15,15,15,01-16,3.68634300546021,-0.4655289370801312,-0.4091701839595903
16,16,16,01-17,3.0919876228986447,-1.5394681401259025,-0.4168249140574793
17,17,17,01-18,4.341919717288168,0.7190309274264505,-0.21419992302439106
18,18,18,01-19,3.4139107950157253,-0.9577859933009386,-0.2978802602696851
19,19,19,01-20,4.522692546107017,1.0456688841272688,-0.4468320047618015
20,20,20,01-21,3.6179000685744014,-0.5891983026648581,-0.1656875498081709
21,21,21,01-22,3.191732486560746,-1.3592394040328295,-0.5581389277158665
22,22,22,01-23,4.0255584597120535,0.14739858959588115,-0.7605297236380893
23,23,23,01-24,3.0387420987137936,-1.6356773400197229,-1.393852837246386
24,24,24,01-25,2.741850075398813,-2.172130768834276,-1.50919976617808
25,25,25,01-26,2.4196740489359185,-2.7542697975225114,-1.4992736124129882
26,26,26,01-27,3.234878006181676,-1.2812798762550224,-1.6347150042970549
27,27,27,01-28,3.2246933631262964,-1.2996824814422778,-1.4463615519683692
28,28,28,01-29,3.5758105406885914,-0.6652497617085201,-1.0409737989596743
29,29,29,01-30,3.664190287390279,-0.5055566260476089,-0.6540244185581895
30,30,30,01-31,4.0879843389134685,0.2601957492178937,-0.060916204905588536
31,31,31,02-01,3.7045816844979456,-0.4325735151136027,-0.16475050122020254
32,32,32,02-02,5.204358540421231,2.277369405660583,-0.17809913192442353
33,33,33,02-03,2.8799002534192115,-1.922688259329962,-0.1412063605828831
34,34,34,02-04,3.531484956038849,-0.7453415459338462,-0.4074279772380287
35,35,35,02-05,3.7866967597991614,-0.2841999979983662,-0.4797794371721405
36,36,36,02-06,3.203966414819772,-1.3371339507129794,-0.9175093491538692
37,37,37,02-07,3.4643307679130864,-0.8666822747182739,-0.5410871329411419
38,38,38,02-08,3.7508286093598415,-0.34901006622978925,-0.41570461268534703
39,39,39,02-09,4.129851291730934,0.3358450379464021,-0.4856280262200133
40,40,40,02-10,3.9478312943519502,0.0069535756009231385,-0.2910457526857969
41,41,41,02-11,3.5545084361945762,-0.7037404792063636,-0.21397142125355648
42,42,42,02-12,3.8500980839019685,-0.16964030950768114,-0.21546942307404326
43,43,43,02-13,3.7202644945942622,-0.40423628612483103,-0.2402747135236017
44,44,44,02-14,3.745854330876098,-0.35799807715271004,-0.2582457996655373
45,45,45,02-15,4.047482618423067,0.1870132952490516,-0.12217446028533473
46,46,46,02-16,3.888156342090345,-0.10087294125069067,-0.4528122551484061
47,47,47,02-17,4.006348164609099,0.1126875570748521,-0.14351605551923438
48,48,48,02-18,2.7521792119705704,-2.153467078686109,-0.18169443473484634
49,49,49,02-19,4.747316271086303,1.4515409116501994,-0.21756609535262408
50,50,50,02-20,3.619078857255688,-0.5870683524463817,0.00892266571278738
51,51,51,02-21,3.928366855580265,-0.02821666845761498,0.10056460931502613
52,52,52,02-22,4.640236984162913,1.2580596251417782,0.5156854488631294
53,53,53,02-23,4.310655236893557,0.6625392186882846,0.6114134969272554
