,unnamed: 0,unnamed: 0,mth_day,french,french_norm,french_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.43102649276985655,-0.14250811242569147,
2,2,2,01-03,0.25115265969390466,-1.3247138863308807,
3,3,3,01-04,0.4480179972218685,-0.030832865798672213,
4,4,4,01-05,0.34102693213575386,-0.7340227224781706,-0.8623598259230075
5,5,5,01-06,0.309989858441659,-0.9380113021332586,-1.063760839429826
6,6,6,01-07,0.14778791319629558,-2.0040700663713724,-0.7690666435526322
7,7,7,01-08,0.2471662558238729,-1.3509141934666031,-0.8598824888437467
8,8,8,01-09,0.5201808226467819,0.44345128893228347,-0.7646854736863672
9,9,9,01-10,0.3651116476313844,-0.575727937545359,-0.8935230029360659
10,10,10,01-11,0.42793287892630266,-0.16284063153389405,-0.2717762326150115
11,11,11,01-12,0.1923732772590488,-1.7110364776314504,-0.17650171848774346
12,12,12,01-13,0.7153844040042177,1.7264105555549545,-0.19912022035736907
13,13,13,01-14,0.3341429519056924,-0.7792671087029944,-0.004242106725937629
14,14,14,01-15,0.4995322517150783,0.3077402777145296,-0.06640891389038699
15,15,15,01-16,0.5430170887410353,0.5935407442432296,-0.027903555175561645
16,16,16,01-17,0.3711804142966053,-0.5358414745205902,-0.6296857659832633
17,17,17,01-18,0.2275250585422061,-1.4800043253424984,-0.4953300719132964
18,18,18,01-19,0.16601368365659655,-1.8842827092912555,-0.5814629206076707
19,19,19,01-20,0.4567971000483474,0.026867055716806924,-0.5536307927478414
20,20,20,01-21,0.4209010388227754,-0.2090568144517161,-0.5045005073217029
21,21,21,01-22,0.5684252112420964,0.7605335114022052,-0.4065898343606548
22,22,22,01-23,0.4160317572088783,-0.2410597619637587,-0.15804109214224246
23,23,23,01-24,0.3169083204072192,-0.89254028757621,-0.4355267762786376
24,24,24,01-25,0.3929153751684734,-0.3929902559807813,-0.4669595674612062
25,25,25,01-26,0.20347869441525604,-1.6380470491015642,-0.5541038915178088
26,26,26,01-27,0.3922058483961144,-0.3976535615471273,-0.05889265937818103
27,27,27,01-28,0.4888706162052542,0.23766756706258946,0.3789055525940737
28,28,28,01-29,0.8681131687873851,2.7302076308740086,0.4616677514854962
29,29,29,01-30,0.7165770290506421,1.7342489842573188,0.6389411777281647
30,30,30,01-31,0.468469500906934,0.10358293736775358,1.0444047554053522
31,31,31,02-01,0.3653127069938468,-0.5744064916455527,0.9894506602861703
32,32,32,02-02,0.7623560684304839,2.035127904515997,0.3908481678657034
33,33,33,02-03,0.4387026812289849,-0.09205700365249883,0.13592098620957485
34,34,34,02-04,0.3216452331175514,-0.8614073236487945,-0.10491353695008644
