,unnamed: 0,unnamed: 0,mth_day,satirical,satirical_norm,satirical_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.761892248819579,-0.4034349306693529,
2,2,2,01-03,4.13495497200515,-1.36701420585186,
3,3,3,01-04,4.2665714720500425,-1.1647245408318991,
4,4,4,01-05,3.0976336437480447,-2.9613385036383484,-1.5435396158795085
5,5,5,01-06,4.0777293598134925,-1.4549678432519093,-1.6908693866344666
6,6,6,01-07,3.781827711141773,-1.90975767103368,-1.7871041071465867
7,7,7,01-08,4.186745848415855,-1.287413555199106,-1.7655399992940792
8,8,8,01-09,3.7592735817960974,-1.9444225289245776,-1.1995853895506103
9,9,9,01-10,4.35075350088056,-1.035339893716854,-1.139236079427376
10,10,10,01-11,5.3070089445977136,0.4343891548224655,-0.7767652110798531
11,11,11,01-12,4.313321177450652,-1.0928719825125015,-0.5588777660320279
12,12,12,01-13,5.1968425727886185,0.2650675390514579,-0.29056528822875666
13,13,13,01-14,5.037335509081587,0.01991111508784457,0.18425224596174986
14,14,14,01-15,4.806712636382159,-0.3345476621049504,0.18172355452985894
15,15,15,01-16,6.2043476131828745,1.8135653114261847,0.5763288903529696
16,16,16,01-17,5.297137431411131,0.4192170062311204,0.40619285748885736
17,17,17,01-18,5.853782669488406,1.2747600324261623,0.4004279591818236
18,18,18,01-19,4.532665018046377,-0.7557486581332155,0.4210643605261886
19,19,19,01-20,5.014830481801672,-0.014678274754357862,0.013170284229487515
20,20,20,01-21,4.8872730817672165,-0.21072925403876025,0.14462745888214926
21,21,21,01-22,4.612009496277516,-0.6337991463540216,-0.1049637553856368
22,22,22,01-23,5.810320343603894,1.2079600541470907,-0.08186452677648165
23,23,23,01-24,4.8794277395722485,-0.22278725318055395,-0.3677425970488897
24,24,24,01-25,4.622839855885192,-0.6171532864782846,-0.5074921356943879
25,25,25,01-26,3.898818814716364,-1.7299466963888064,-0.6362296747552011
26,26,26,01-27,4.3417184141792085,-1.0492264859117495,-0.9460259583708588
27,27,27,01-28,4.109443505654959,-1.4062243807188994,-1.0219208108275246
28,28,28,01-29,4.600936683621518,-0.6508176475468566,-0.9196090182761506
29,29,29,01-30,4.58314918720673,-0.6781563679205483,-0.773390218412226
30,30,30,01-31,5.022244938125128,-0.003282531170040544,-0.5986995851602606
31,31,31,02-01,4.469628203627722,-0.8526338972052583,-0.2435870336871853
32,32,32,02-02,5.023676231558985,-0.0010826863999576714,-0.2754366072955338
33,33,33,02-03,5.495732947845289,0.7244509281195524,-0.2858167963980342
34,34,34,02-04,4.4766022227629465,-0.8419150891969478,-0.2184264789895161
35,35,35,02-05,4.5426269738942375,-0.7404375025355505,0.2775917294656029
36,36,36,02-06,5.285323461094111,0.4010593732810685,0.5006678546104987
37,37,37,02-07,6.405985571631452,2.123475353525456,0.45515778866101103
38,38,38,02-08,5.8945214771305015,1.3373740644694168,0.6556775090187063
39,39,39,02-09,5.3180706160649835,0.4513905324226269,0.7066089891082378
40,40,40,02-10,5.2593917077578345,0.3612032329492239,0.5659488469340539
41,41,41,02-11,4.741453438434447,-0.4348486219983621,0.09768905451437256
42,42,42,02-12,4.73621397672308,-0.4429014797640352,-0.1358155339547498
43,43,43,02-13,4.577991591297987,-0.6860834009926324,-0.17803544320542145
44,44,44,02-14,4.982965565195111,-0.06365346634531742,-0.23390317553500425
45,45,45,02-15,5.153252407861273,0.19807107691859707,-0.16690831147064342
46,46,46,02-16,5.041295086936231,0.025996838971727186,-0.06434636321848759
47,47,47,02-17,5.002988189453917,-0.03287943761219697,0.05292507020579426
48,48,48,02-18,5.1365956175370755,0.17247020974889965,-0.14675274953427278
49,49,49,02-19,5.03579616438961,0.017545199553058728,-0.18030826639346312
50,50,50,02-20,4.203462694353255,-1.2617203847857197,0.3398189199014949
51,51,51,02-21,5.022258280629862,-0.003262024236544996,0.543686173711258
52,52,52,02-22,7.071769154850253,3.146759956741476,0.5670684520406667
53,53,53,02-23,5.7988457855666224,1.190324085246382,0.5745023041715489
54,54,54,02-24,5.2278754257217015,0.31276387972535097,1.1249799669644596
55,55,55,02-25,5.0648164586064635,0.06214831233835251,0.9949308963927108
56,56,56,02-26,6.3524190433357,2.0411455919717447,0.5448253560882405
57,57,57,02-27,4.514572329366184,-0.7835564476670389,0.18727810870065825
58,58,58,02-28,5.314645798305727,0.4461267149146539,0.019548219404352484
59,59,59,02-29,4.4030517701720395,-0.9549593990791112,-0.20554600486708066
60,60,60,03-01,4.573090981447131,-0.6936154560524835,-0.4548994408827378
61,61,61,03-02,4.186092951619498,-1.2884170332902465,-0.44867570763690695
62,62,62,03-03,5.378992352872475,0.5450249758778014,-0.37894085499114
63,63,63,03-04,4.538868557854626,-0.7462140481920532,-0.3831468178559478
64,64,64,03-05,5.5868769249570045,0.8645358307892557,-0.14818751687840012
65,65,65,03-06,4.386632519741322,-0.9801951762679576,-0.20730972309480264
66,66,66,03-07,5.490325804430545,0.7161403498128023,-0.24480649451453199
67,67,67,03-08,3.9552915058896576,-1.6431502705886611,-0.2889795049168004
68,68,68,03-09,5.232612344281491,0.3200443473594253,-0.6514939591998705
69,69,69,03-10,4.366425827524743,-1.0112521106056631,-0.6161356630921372
70,70,70,03-11,4.171691912404406,-1.310550894909165,-0.944825901548644
71,71,71,03-12,4.524664342003472,-0.7680453996215583,-0.7391803294566319
