,unnamed: 0,unnamed: 0,mth_day,oscar (best supporting actor),oscar (best supporting actor)_norm,oscar (best supporting actor)_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.799132371280489,-0.4580773631206282,
2,2,2,01-03,0.8972839512390186,-0.07109798103370134,
3,3,3,01-04,0.5003202341586456,-1.6361952928813308,
4,4,4,01-05,0.7487897294374539,-0.6565618341935584,-0.5631155479747993
5,5,5,01-06,0.6557777461874519,-1.023277477690823,-0.5766882692710692
6,6,6,01-07,1.0336419304338549,0.466516661071245,-0.7726630465772665
7,7,7,01-08,0.7784772547358082,-0.5395136908982474,-0.6129917235258863
8,8,8,01-09,0.5990473797572315,-1.2469466448708848,-0.5556148255770611
9,9,9,01-10,0.7433098096814269,-0.6781673545730497,-0.4016955480728568
10,10,10,01-11,0.8361065237807476,-0.31230044650060745,-0.4360682995005061
11,11,11,01-12,0.8900137955341757,-0.09976181266559717,-0.4664124714544507
12,12,12,01-13,0.9813330992715624,0.2602801525053494,-0.4273275674369466
13,13,13,01-14,0.7322991601238743,-0.7215787226219154,-0.2710114905276224
14,14,14,01-15,0.6585272165561404,-1.0124372207658607,-0.4304185393068667
15,15,15,01-16,0.9811933347234322,0.2597291068828953,-0.2209686829501684
16,16,16,01-17,0.593519123751854,-1.2687427391760728,-0.1738283657111299
17,17,17,01-18,1.20875689051714,1.156937325474593,-0.2283231473095549
18,18,18,01-19,1.0530717525063529,0.5431220559395801,-0.2805675408337716
19,19,19,01-20,0.6493684021408209,-1.0485474122124647,-0.22693227292895435
20,20,20,01-21,0.5790211238947203,-1.3259035819111615,-0.4451301266849004
21,21,21,01-22,1.0628160753144174,0.5815407143117988,-0.8630828746106286
22,22,22,01-23,0.26146323011415845,-2.577929861711749,-1.0109960335666228
23,23,23,01-24,0.5727118019800296,-1.350779162079775,-1.1439426403865784
24,24,24,01-25,0.8279758804230158,-0.3443568977963848,-1.2016074700066024
25,25,25,01-26,0.4470487937038077,-1.8462270531321976,-1.560834086832206
26,26,26,01-27,0.4912661519674554,-1.6718925596313048,-1.1157261181514972
27,27,27,01-28,0.5161410589694351,-1.5738189866418224,-1.1308900146155876
28,28,28,01-29,0.9388334322557756,0.09271795037250324,-1.214760204409888
29,29,29,01-30,0.5496352175648361,-1.441762540864319,-0.9011158722276869
30,30,30,01-31,0.7003413031697525,-0.8475780365621871,-0.6558119155825088
31,31,31,02-01,0.9243561879536516,0.03563893996100975,-0.3985913193601049
32,32,32,02-02,0.8645724111013513,-0.20006881976023705,-0.6138929802840596
33,33,33,02-03,0.9075821912739902,-0.030495409307398382,-0.6379809674931831
34,34,34,02-04,0.611184996722822,-1.199092015171225,-0.6975392199559934
35,35,35,02-05,0.5129778537045789,-1.5862904641190605,-0.8254323302070284
36,36,36,02-06,0.6097048995360203,-1.2049275513390496,-0.831089456571055
37,37,37,02-07,0.7297270461747789,-0.7317197215451997,-1.0137049054956138
38,38,38,02-08,0.8559633339821542,-0.2340115779443969,-0.7938810311600221
39,39,39,02-09,0.6296759926524518,-1.1261881028547511,-0.4900981584723832
40,40,40,02-10,0.9457153863619836,0.11985123084232607,-0.34010962161707625
41,41,41,02-11,0.9752779704369204,0.2364067720067723,-0.21695807656208765
42,42,42,02-12,0.8379591045320316,-0.3049963302072077,-0.15630617793024051
43,43,43,02-13,0.9171404218894464,0.007189548784732303,-0.09844087144046147
44,44,44,02-14,0.9482640603841072,0.12989981384668578,-0.2368575891072505
45,45,45,02-15,0.7177360524850024,-0.7789962639160768,-0.2436571496619623
46,46,46,02-16,0.7350713030766789,-0.7106490751584084,-0.14321156979995198
47,47,47,02-17,0.9649303244015756,0.19560940867850152,-0.2371338326703741
48,48,48,02-18,0.9908182926904188,0.2976771489648545,-0.3348633484941664
49,49,49,02-19,0.7742084892738503,-0.5563440284378004,-0.2765002911646557
50,50,50,02-20,0.7995382083509986,-0.4564772810960682,-0.302981104640536
51,51,51,02-21,0.8065535950198386,-0.4288179199390131,-0.4047828719278017
52,52,52,02-22,0.6947725098867988,-0.8695339560136901,-0.5535764233035259
53,53,53,02-23,0.8100072753037633,-0.4152011950450923,-0.5113056206681352
54,54,54,02-24,0.7643826297399711,-0.5950841592894907,-0.5288216577299579
55,55,55,02-25,0.8385366616287299,-0.3027192126254566,-0.20660350349835355
56,56,56,02-26,0.7728821105047748,-0.5615735034670044,-0.15177243712316812
57,57,57,02-27,1.2969087259613985,1.5044910054506129,-0.01577506592135337
58,58,58,02-28,0.7782150297416663,-0.5405475577625775,0.007456452176077452
59,59,59,02-29,1.0169695705301225,0.40078303216579625,-0.06774202745713706
60,60,60,03-01,0.7997366094864031,-0.4556950507049058,0.07912183398710056
61,61,61,03-02,0.7240987882721379,-0.7539100904247437,-0.15348258143068827
62,62,62,03-03,0.9963811500942974,0.3196096651984213,-0.15403288012770586
63,63,63,03-04,0.9429287683399185,0.10886451294387987,-0.3436137457377849
64,64,64,03-05,0.7773775791322289,-0.5438493499446829,-0.27790066339695146
65,65,65,03-06,0.7284633241892496,-0.7367021614946778,-0.4129827539617845
66,66,66,03-07,0.8997395009207938,-0.06141655665990516,-0.41911703443467657
