,unnamed: 0,unnamed: 0,mth_day,prison escape,prison escape_norm,prison escape_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.4165867717369323,-0.25200106261442995,
2,2,2,01-03,2.5338728273097675,0.04946813008293231,
3,3,3,01-04,1.8821900825977504,-1.6256011693627217,
4,4,4,01-05,2.168406657980849,-0.889917123242142,-0.6015213886376162
5,5,5,01-06,2.1173021196347617,-1.0212749717358949,-0.8005330185918308
6,6,6,01-07,2.5652805877399665,0.1301978650465596,-1.112388387818074
7,7,7,01-08,1.9520360384111104,-1.4460708423397175,-0.8964354846528476
8,8,8,01-09,1.8059121523533528,-1.8216640852745272,-0.7905555426534224
9,9,9,01-10,2.3862866499809043,-0.32988375037136386,-0.5530766307452789
10,10,10,01-11,2.4155610816275703,-0.2546374712455906,-0.5857007323926567
11,11,11,01-12,2.671646620515073,0.4035984997129671,-0.6341328635133241
12,12,12,01-13,2.4891264938919218,-0.06554674483770724,-0.4269233489043467
13,13,13,01-14,1.8389814293221105,-1.7366636290637218,-0.4211494538182466
14,14,14,01-15,2.2895991207271806,-0.5784069976206623,-0.4844822270482377
15,15,15,01-16,2.3997645919333985,-0.2952403798547633,-0.2908586310764773
16,16,16,01-17,2.267724061980432,-0.6346341106255375,-0.08274666108166302
17,17,17,01-18,3.1236201233629117,1.5653400755435294,0.07494413904989332
18,18,18,01-19,2.9749200542844214,1.1831250751311786,0.04356172431900174
19,19,19,01-20,2.207077388622096,-0.7905188282743838,-0.02903794933671029
20,20,20,01-21,2.2163434834555056,-0.7667014860060117,-0.1569803299563204
21,21,21,01-22,2.2302959450822795,-0.7308384217890355,-0.5421984816615798
22,22,22,01-23,1.969069522273554,-1.4022883943431983,-0.9635059156089808
23,23,23,01-24,2.2244094847370843,-0.7459688346880265,-1.2905723260471809
24,24,24,01-25,1.991466587565349,-1.3447195285532283,-1.4840102989067938
25,25,25,01-26,1.4436097417802205,-2.752917290903584,-1.6550770541330853
26,26,26,01-27,1.7648032786661283,-1.9273293231636912,-1.3340122934127974
27,27,27,01-28,1.830976635922681,-1.7572389531467836,-0.9231021884280142
28,28,28,01-29,2.718527581945763,0.5241001699785289,-0.6906081298356269
29,29,29,01-30,3.183592576929174,1.7194917952206719,-0.3667957499911372
30,30,30,01-31,2.5341749983141995,0.05024482300109501,-0.14517314435234585
31,31,31,02-01,2.199481539580908,-0.8100430118366454,0.19517922452291608
32,32,32,02-02,2.2821345722933715,-0.5975936893309427,-0.08321095403648247
33,33,33,02-03,2.6254575543823675,0.2848752601047877,-0.5578099316734358
34,34,34,02-04,2.0686843459990576,-1.146240901377862,-0.3988811976976521
35,35,35,02-05,2.0757412259922687,-1.1281020706010478,-0.1843586917929536
36,36,36,02-06,2.9051606534338554,1.0038172268557979,-0.009027918685754643
37,37,37,02-07,2.7002391458366235,0.4770920235915455,-0.2611672851809234
38,38,38,02-08,2.6914073330876587,0.4543909493122506,-0.06147501706459727
39,39,39,02-09,2.0368913101252524,-1.2279609388662251,0.2527832484807089
40,40,40,02-10,2.5348238857549923,0.05191270732009482,0.06318308125901817
41,41,41,02-11,2.809310956295768,0.7574475226707891,-0.04112399060225986
42,42,42,02-12,2.462578997568825,-0.13378377647434628,-0.15372400021536384
43,43,43,02-13,2.456756256241809,-0.14875040757612273,-0.0695828739834125
44,44,44,02-14,2.428566327010294,-0.22120910836637325,-0.11482740351003914
45,45,45,02-15,2.2333010470984447,-0.7231141814745171,-0.3302537245368671
46,46,46,02-16,2.4292100611990515,-0.2195544698396653,-0.4824336954562551
47,47,47,02-17,2.3064435840034005,-0.5351104034901787,-0.6345394755434555
48,48,48,02-18,2.107346908346862,-1.0468636019906743,-0.6755672594744292
49,49,49,02-19,2.101697349891152,-1.061385088099325,-0.5056437411049868
50,50,50,02-20,2.332795606895836,-0.4673758119522166,-0.3639708780420899
51,51,51,02-21,2.6299517106098644,0.2964269287421376,-0.2982052251109341
52,52,52,02-22,2.759915520188453,0.6304827085377157,-0.1971920470802417
53,53,53,02-23,2.4599596488878936,-0.14051648590324375,-0.06500756042279694
54,54,54,02-24,2.3431408965701928,-0.4407845338065201,-0.1065697764777821
55,55,55,02-25,2.4102541926502448,-0.2682781681546562,-0.10081743716628168
56,56,56,02-26,2.2357773675525787,-0.7167491082821276,-0.18688809737697776
57,57,57,02-27,2.6433793351467383,0.3309409646111401,-0.5266367996010018
58,58,58,02-28,2.5590016925497596,0.11405874727353912,-0.7217952993983451
59,59,59,02-29,1.6668878630783013,-2.1790086992473885,-0.8730820293065026
60,60,60,03-01,1.8875844840304787,-1.6117355325905791,-0.8859076213410759
61,61,61,03-02,2.057107186430211,-1.1759985476036003,-0.8183891502732966
62,62,62,03-03,2.2058387243367545,-0.7937026604895675,-0.8947531614997715
63,63,63,03-04,2.8009869847840547,0.7360517910178164,-0.5823790530176295
64,64,64,03-05,2.380745992502874,-0.3441253200853104,-0.33918683743348904
65,65,65,03-06,2.3960594255682137,-0.3047640483545367,-0.4542813653796958
66,66,66,03-07,2.455265488978458,-0.15258223908573595,-0.16509575629904988
67,67,67,03-08,1.7884432527118623,-1.8665657152808408,-0.4604773438369149
68,68,68,03-09,2.8808816190489663,0.9414109939943078,-0.12539856980577352
69,69,69,03-10,2.111480883390734,-1.0362377342093736,-0.023586998374618445
70,70,70,03-11,3.162916814549285,1.666347324101538,-0.10459583867282986
71,71,71,03-12,2.633717095023405,0.3061053802323937,0.12524405440623967
72,72,72,03-13,2.266167413780208,-0.6386352808750044,0.3025621700379509
73,73,73,03-14,2.3249560731031877,-0.4875263568064235,0.4651774774388104
74,74,74,03-15,3.294793412382931,2.005319687784575,0.1261912680680983
75,75,75,03-16,2.491072067687114,-0.06054588980421687,-0.03358691414204499
76,76,76,03-17,2.3716249077057774,-0.3675699321227352,0.1685689536044556
77,77,77,03-18,2.260748581915576,-0.6525637130284659,0.18808328785985093
78,78,78,03-19,2.738057707977388,0.5742999256039992,0.10303207076501884
79,79,79,03-20,2.370508176217938,-0.3704403512740517,0.2434836923038585
80,80,80,03-21,3.09625925997813,1.4950123852155828,0.3528757678757473
81,81,81,03-22,2.818926795562464,0.7821638394288214,0.6226141167897447
82,82,82,03-23,2.6269776674346743,0.2887825213085979,0.36653523153278494
83,83,83,03-24,2.8903959438457427,0.9658663804555179,0.5584584932838079
84,84,84,03-25,2.1402954869315702,-0.9621733859377593,0.04149353234168821
85,85,85,03-26,2.818512606960169,0.7810992192320859,0.12516201216049486
86,86,86,03-27,1.889513444345808,-1.6067773804371357,0.1048410018231631
87,87,87,03-28,3.0142332390352675,1.2841747183416612,0.2794649838678159
88,88,88,03-29,2.579542548912701,0.1668564592846074,0.5003997800822978
89,89,89,03-30,3.298018849772305,2.0136102727234344,0.3773717254433212
90,90,90,03-31,2.6560212343275458,0.3634353913491326,0.7055428091375407
91,91,91,04-01,2.5313295261757207,0.04293089139822588,0.3158041996644673
92,92,92,04-02,2.6555597182321784,0.3622491217281815,0.3545752886696722
93,93,93,04-03,2.1044705438713907,-1.054256938496779,0.02041427605481901
94,94,94,04-04,2.670045490039069,0.3994829933158362,0.01840844733736753
95,95,95,04-05,2.517990348448824,0.008644197034315591,-0.043510631211486905
96,96,96,04-06,2.6513390496641045,0.35140041904442376,0.046251885586253184
97,97,97,04-07,2.386792479002412,-0.3285835798949008,0.003726549878521464
