,unnamed: 0,unnamed: 0,mth_day,pirates,pirates_norm,pirates_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.7284592669120193,0.1998857883570824,
2,2,2,01-03,0.6378963227927927,-0.3243186540479241,
3,3,3,01-04,0.4670000280217016,-1.3135157012598926,
4,4,4,01-05,0.4690186726668826,-1.3018312037986806,-0.7256938327314398
5,5,5,01-06,0.3914359002714313,-1.7509026682847602,-0.6753127885831612
6,6,6,01-07,0.7175119296491264,0.13651944264553606,-0.7331629584091542
7,7,7,01-08,0.7806830405023663,0.5021720532467545,-0.5432899395867423
8,8,8,01-09,0.5779302339149187,-0.6714196730038818,-0.4106487789008694
9,9,9,01-10,0.6638178136299838,-0.17427758832542115,-0.20186443196997486
10,10,10,01-11,0.6065112963614735,-0.5059842396834432,-0.5078054467188536
11,11,11,01-12,0.6078567118615382,-0.4981965866993928,-0.5430119565220434
12,12,12,01-13,0.4003808626703901,-1.699126645847737,-0.39837700627498496
13,13,13,01-14,0.7441888227275858,0.29093299442761594,-0.3652137434746439
14,14,14,01-15,0.7278553302015851,0.19639002847846904,-0.0668884964870497
15,15,15,01-16,0.6981940509089278,0.024701988476624737,-0.05930145229052097
16,16,16,01-17,0.915748042410468,1.2839672422421222,0.2072746390658657
17,17,17,01-18,0.6157212586377687,-0.4526743215202205,0.01734219252855539
18,18,18,01-19,0.6767072007792683,-0.09967009770941697,-0.2747501217228767
19,19,19,01-20,0.5473094357853036,-0.8486616847962459,-0.11400340289686715
20,20,20,01-21,0.4250794916927196,-1.5561638570301235,-0.12126798627367508
21,21,21,01-22,0.8648202173824445,0.989182301432682,-0.13372650488139162
22,22,22,01-23,0.9082177507320736,1.2403797419812748,-0.08917867016415025
23,23,23,01-24,0.6028070591399256,-0.5274254331665197,-0.15973170349731022
24,24,24,01-25,0.7228844103536929,0.16761691059403125,-0.10180090548093823
25,25,25,01-26,0.4741758653880924,-1.2719798847952055,-0.5023775607858295
26,26,26,01-27,0.4851291578054552,-1.2085790689318916,-0.5653735091546034
27,27,27,01-28,0.4495921309884506,-1.4142776303966662,-0.4731697663221098
28,28,28,01-29,0.8429176720946119,0.8624040517686321,-0.6397153507119939
29,29,29,01-30,0.6983832321087671,0.02579702382844173,-0.4854157713972819
30,30,30,01-31,0.5502472798875018,-0.831656595745274,-0.33526033393862226
31,31,31,02-01,0.6341190827517723,-0.3461824089069339,-0.202095546282178
32,32,32,02-02,0.6407766578080619,-0.30764644417993403,-0.4441746473217543
33,33,33,02-03,0.5876275337544008,-0.6152889044580008,-0.40737459154685
34,34,34,02-04,0.5919843225110367,-0.5900705544688261,-0.06794802790532029
35,35,35,02-05,0.7365292811514287,0.24659735847786804,-0.07315851904868023
36,36,36,02-06,0.9020886581248037,1.2049027861039043,-0.2479151777100765
37,37,37,02-07,0.6287180134733256,-0.3774453557670936,0.0014615410514653056
38,38,38,02-08,0.459628126061125,-1.3561863961483112,0.07351839497893338
39,39,39,02-09,0.8461254176207345,0.8809714081112496,0.07649362064148055
40,40,40,02-10,0.6666767170169049,-0.1577294309040175,-0.09192023864402954
41,41,41,02-11,0.7396133282173004,0.2644487124531509,0.11160166498651096
42,42,42,02-12,0.7275149190232983,0.19441963039084376,0.4784971596756379
43,43,43,02-13,0.839683903433764,0.8436860660161495,0.3577785745582431
44,44,44,02-14,0.8399431348086747,0.8451865719864505,0.360865701124823
45,45,45,02-15,0.7209914478132975,0.1566598974068802,0.2951854909638656
46,46,46,02-16,0.6698767578573313,-0.13920667150453794,0.255444693052122
47,47,47,02-17,0.6715308086347952,-0.12963254851259365,0.12136158913845435
48,48,48,02-18,0.6863205677046876,-0.044025157079617766,-0.14668242304397294
49,49,49,02-19,0.7006965962142176,0.03918744253414369,-0.27303611864358057
50,50,50,02-20,0.5620951854238952,-0.7630775011081133,-0.28641383890183425
51,51,51,02-21,0.590016258575919,-0.6014622761907655,-0.44662685240704497
52,52,52,02-22,0.6560097361285665,-0.21947299305406,-0.5586575863487018
53,53,53,02-23,0.5054578682070772,-1.0909106295438582,-0.8810680367266751
54,54,54,02-24,0.5701922146020779,-0.7162095607295583,-0.5937203096007747
55,55,55,02-25,0.3664937100226195,-1.8952752597336968,-0.5711540664773472
56,56,56,02-26,0.8599528995069511,0.9610088616472888,-0.5693471379513582
57,57,57,02-27,0.6134078811908479,-0.4660648174501999,-0.5515571406722946
58,58,58,02-28,0.6578827545987169,-0.20863142189812586,-0.4974215063941095
59,59,59,02-29,0.5238985497328579,-0.9841706458694766,-0.18084826473809992
60,60,60,03-01,0.6263079056424025,-0.39139575506044827,-0.46470860171976
61,61,61,03-02,0.6946458866299096,0.004164190202360553,-0.2892177804629792
62,62,62,03-03,0.5657101298219905,-0.7421531602426716,0.2127490607222968
63,63,63,03-04,0.7953174281530913,0.5868801100904848,0.1973300518659312
