,unnamed: 0,unnamed: 0,mth_day,atmospheric,atmospheric_norm,atmospheric_ravg
0,0,0,1-Jan,,,
1,1,1,2-Jan,22.25392753,-0.883220565,
2,2,2,3-Jan,22.43233364,-0.803349475,
3,3,3,4-Jan,20.62489877,-1.612524658,
4,4,4,5-Jan,17.81927734,-2.868580557,-2.055990417
5,5,5,6-Jan,18.27265307,-2.665607607,-2.218185178
6,6,6,7-Jan,16.40295035,-3.502659642,-2.634421211
7,7,7,8-Jan,20.08018464,-1.856389131,-2.503792775
8,8,8,9-Jan,16.85391599,-3.300765674,-2.230780565
9,9,9,10-Jan,22.37558807,-0.828754043,-1.858943897
10,10,10,11-Jan,21.47820164,-1.230507294,-1.329920121
11,11,11,12-Jan,23.25602805,-0.4345875970000001,-1.065728832
12,12,12,13-Jan,23.49295538,-0.328516989,-0.606423073
13,13,13,14-Jan,23.62089048,-0.271241393,-0.383883776
14,14,14,15-Jan,23.00955642,-0.544931119,-0.305304824
15,15,15,16-Jan,25.35807167,0.5064817389999999,-0.097449332
16,16,16,17-Jan,22.53132097,-0.759033582,0.059767816
17,17,17,18-Jan,26.04171851,0.812545355,-0.022650864
18,18,18,19-Jan,25.59998803,0.6147858970000001,-0.100072606
19,19,19,20-Jan,22.5163109,-0.765753476,-0.204552315
20,20,20,21-Jan,21.97194608,-1.0094615690000002,-0.316028193
21,21,21,22-Jan,23.957829,-0.120396517,-0.598607
22,22,22,23-Jan,21.03731528,-1.427888847,-0.863554163
23,23,23,24-Jan,22.25458218,-0.8829274859999999,-1.126503274
24,24,24,25-Jan,22.04915194,-0.974897081,-1.416743225
25,25,25,26-Jan,18.992252800000006,-2.343448147,-1.586487833
26,26,26,27-Jan,18.08213468,-2.750901274,-1.308468286
27,27,27,28-Jan,21.68290266,-1.138864162,-1.161298008
28,28,28,29-Jan,24.76334816,0.240228434,-1.257016232
29,29,29,30-Jan,24.22696614,9.42e-05,-0.951416036
30,30,30,31-Jan,20.76633116,-1.549206424,-0.599778282
31,31,31,1-Feb,23.08792302,-0.5098469720000001,-0.365360277
32,32,32,2-Feb,22.79480274,-0.641074748,-0.481775413
33,33,33,3-Feb,24.82458534,0.267643866,-0.5015576979999999
34,34,34,4-Feb,23.20314626,-0.458262382,-0.222781094
35,35,35,5-Feb,23.9618429,-0.118599526,0.024404637000000003
36,36,36,6-Feb,24.50251016,0.123453195,0.292225574
37,37,37,7-Feb,26.40071946,0.973267419,0.249014808
38,38,38,8-Feb,26.3841533,0.96585087,0.287397089
39,39,39,9-Feb,24.24547234,0.008379270999999999,0.308605951
40,40,40,10-Feb,23.71754765,-0.227968695,0.114987965
41,41,41,11-Feb,24.2460852,0.008653645,-0.294274464
42,42,42,12-Feb,21.90763153,-1.038254717,-0.263026997
43,43,43,13-Feb,20.91576242,-1.482307159,-0.399603751
44,44,44,14-Feb,26.80293353,1.153335671,-0.487161539
45,45,45,15-Feb,22.41506336,-0.8110812479999999,-0.770835829
46,46,46,16-Feb,22.54409348,-0.753315425,-0.766237562
