,unnamed: 0,unnamed: 0,mth_day,vampires,vampires_norm,vampires_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6717569868405622,0.6920988449092227,
2,2,2,01-03,0.8124941182068087,1.5661057845564177,
3,3,3,01-04,0.466804667940627,-0.5806978028295383,
4,4,4,01-05,0.5185319047491049,-0.25946087338174684,0.1958535987412716
5,5,5,01-06,0.4674313237877533,-0.5768061393158526,-0.05467335415620776
6,6,6,01-07,0.6140750165441566,0.3338817785091265,-0.3443619462564446
7,7,7,01-08,0.4297100893986455,-0.8110628724756531,-0.2166885217857215
8,8,8,01-09,0.5326111589833632,-0.1720257680450033,-0.22046593653896948
9,9,9,01-10,0.5901564906547664,0.18534274399480025,-0.2269325983187221
10,10,10,01-11,0.5148823512348004,-0.2821253619012347,-0.4437430026856604
11,11,11,01-12,0.4611835512327743,-0.6156061099943689,-0.5960850879371651
12,12,12,01-13,0.4046034004038368,-0.9669806476925028,-0.4564331676369893
13,13,13,01-14,0.2825246123132788,-1.725115383984681,-0.3703567225589606
14,14,14,01-15,0.6675360189216707,0.665885753756051,-0.31995940855438304
15,15,15,01-16,0.6733193449225556,0.7018014144629721,-0.22245629110906995
16,16,16,01-17,0.5635737728688069,0.02025852212623068,-0.20370637076535625
17,17,17,01-18,0.5553862978658306,-0.03058740532249012,-0.1082885368637515
18,18,18,01-19,0.4227186570418568,-0.8544811256302202,-0.4270082606995325
19,19,19,01-20,0.3747126599041611,-1.1526083805750529,-0.3423119396827389
20,20,20,01-21,0.3596045991052781,-1.2464325892586352,-0.1935113647804125
21,21,21,01-22,0.7551487907756279,1.2099793405637338,-0.18441035813314355
22,22,22,01-23,0.7073376157453074,0.9130619715401892,-0.23734091242625965
23,23,23,01-24,0.5641792456787997,0.024018634561123624,-0.16484449959639902
24,24,24,01-25,0.3715797424526051,-1.172064451388917,0.03761801685055843
25,25,25,01-26,0.4447551507347463,-0.7176299035958891,-0.347742694899324
26,26,26,01-27,0.5552139871870589,-0.03165749057689065,-0.6461175107006739
27,27,27,01-28,0.3828321054997009,-1.1021849299355608,-0.6467010217915696
28,28,28,01-29,0.4190624517190468,-0.87718692326791,-0.3545003372940961
29,29,29,01-30,0.5636154857817476,0.02051756801574893,-0.3438873753352912
30,30,30,01-31,0.6538897625723183,0.5811396555959244,-0.34753495620909164
31,31,31,02-01,0.4550088758732508,-0.6539521318430593,-0.26345757571328376
32,32,32,02-02,0.5516898728214755,-0.053542975819693375,0.3160335124639839
33,33,33,02-03,0.4640635612719735,-0.5977206469607137,0.17551191481855033
34,34,34,02-04,0.9789384186212854,2.599759605795696,-0.2249410901116012
35,35,35,02-05,0.4278503860977336,-0.8226120178568526,0.007150593332439059
36,36,36,02-06,0.26699164125799885,-1.821578373984985,0.01874168587427397
37,37,37,02-07,0.6792445169888405,0.7385979688211822,-0.057036030885947324
38,38,38,02-08,0.5628886199233947,0.016003579431316122,-0.4251425008383747
39,39,39,02-09,0.3908508349568544,-1.0523869475220415,-0.18967057789632305
40,40,40,02-10,0.6232919384729306,0.3911207860811317,-0.11593854998986107
41,41,41,02-11,0.6553518494078682,0.5902195197954574,-0.4559211846052147
42,42,42,02-12,0.3382279229851913,-1.3791862065462137,-0.20817097345343202
43,43,43,02-13,0.3507699119971349,-1.3012978388709395,-0.18344772471598736
