,unnamed: 0,unnamed: 0,mth_day,anti-hero,anti-hero_norm,anti-hero_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.364456552879332,-0.676082974898362,
2,2,2,01-03,2.612083546486692,-0.18285526762560086,
3,3,3,01-04,2.0690174579343883,-1.2645436484123609,
4,4,4,01-05,2.037107629841936,-1.3281021931421968,-1.0117533274819286
5,5,5,01-06,2.1596765273180973,-1.0839673538646415,-1.135021328341992
6,6,6,01-07,1.9332495384093709,-1.534968526948409,-1.4926716500509385
7,7,7,01-08,1.9931333200899788,-1.4156909800587432,-1.4847666675958788
8,8,8,01-09,1.5347246801262344,-2.3287571978792783,-1.4261253088043278
9,9,9,01-10,2.092829831136481,-1.2171137536820058,-1.261071297864259
10,10,10,01-11,2.2137544381759047,-0.9762540403928892,-0.986782016248976
11,11,11,01-12,2.65687278668383,-0.09364328822422964,-0.912243298222135
12,12,12,01-13,2.7594978920634423,0.11076716274329028,-0.8004612992757645
13,13,13,01-14,2.217668134904744,-0.9684586718976972,-0.3326832576830395
14,14,14,01-15,1.8714483466643348,-1.6580652042010555,-0.2600890740786451
15,15,15,01-16,3.5019291385006635,1.5895544958743442,-0.4707476974424162
16,16,16,01-17,2.432431684092212,-0.5406889387665222,-0.4582970847664349
17,17,17,01-18,2.0223006309206326,-1.3575950284068563,-0.25062348589600497
18,18,18,01-19,2.797003179054361,0.18547083879917808,-0.06658164643627866
19,19,19,01-20,2.8432484279210053,0.2775829213248827,-0.3635708901413715
20,20,20,01-21,2.425842109196953,-0.5538141674426978,-0.3119314345452259
21,21,21,01-22,2.607301130365518,-0.1923809663562132,-0.1263419220663233
22,22,22,01-23,2.587986487103991,-0.23085220518964866,1.5628248510223637
23,23,23,01-24,2.5813564869793217,-0.2440579535334409,1.4418302666350058
24,24,24,01-25,7.885321822395481,10.320471477331301,1.2821744592195294
25,25,25,01-26,2.4787734635243557,-0.44838458499926376,1.1172329767456406
26,26,26,01-27,1.9449069911657173,-1.5117490119355572,1.0469407266036446
27,27,27,01-28,2.1104438432679427,-1.182029861199546,1.1202972571354872
28,28,28,01-29,2.3762434120102816,-0.6526057060416255,-0.6758074580368021
29,29,29,01-30,2.802330169307609,0.1960812296576154,-0.604091604778041
30,30,30,01-31,2.4748713842230172,-0.4561568137024372,-0.2801681058486482
31,31,31,02-01,2.6948048933235675,-0.01808946544669731,-0.16831024131227315
32,32,32,02-02,2.920669719202861,0.4317919816407993,-0.005793665933065685
33,33,33,02-03,2.4473960415899727,-0.5108826739812953,-0.07086604018923334
34,34,34,02-04,2.86579609178618,0.32249374623361937,-0.06784651158175496
35,35,35,02-05,2.6063110548132555,-0.19435301587939047,-0.2381350056945156
36,36,36,02-06,2.483967184562163,-0.4380396420575669,-0.43380244871724094
37,37,37,02-07,2.181840671468754,-1.0398204301232612,-0.2626942615783749
38,38,38,02-08,2.3312558649349944,-0.7422126764955526,-0.3511144147528373
39,39,39,02-09,2.9628294449211205,0.5157664488519009,-0.3332997433390298
40,40,40,02-10,2.5994458882346247,-0.2080271728131554,-0.34449379832134297
41,41,41,02-11,2.659974627957145,-0.08746498739654501,-0.2856429090077602
42,42,42,02-12,2.45024705723753,-0.5052039719514467,-0.0800057582462423
43,43,43,02-13,2.359118653751079,-0.6867150942417641,-0.19120956919682572
44,44,44,02-14,2.9507017151929325,0.4916102280735549,-0.14925845502070192
45,45,45,02-15,2.6278474683127477,-0.1514564168515998,-0.34241609087176744
46,46,46,02-16,2.725816261943187,0.04367951224358789,-0.4239543649631392
47,47,47,02-17,2.0781211276023472,-1.2464108025029381,-0.3821109087965753
48,48,48,02-18,2.2046273074206764,-0.9944336164996772,-0.6251342273067285
49,49,49,02-19,2.4851647265878287,-0.4356543572423808,-0.6208137098125828
50,50,50,02-20,2.2186365916996973,-0.966529682987364,-0.3680309957156968
51,51,51,02-21,2.6408622694943644,-0.12553331188672556,-0.2028833621834361
52,52,52,02-22,3.4872798529547664,1.560375796824904,-0.10833610458420716
53,53,53,02-23,2.575599408606723,-0.25552500130937456,0.2698033642744889
54,54,54,02-24,2.4894343384275985,-0.4271500709043032,0.4486681403468197
55,55,55,02-25,3.624243555174158,1.833182455909796,0.4261703579860779
56,56,56,02-26,2.7574353587756653,0.10665897344662148,0.0424707161668277
57,57,57,02-27,2.573091645987088,-0.2605200060511765,-0.0820084288657967
58,58,58,02-28,2.331451978515696,-0.7418220540905974,0.03064743919522696
59,59,59,02-29,2.2006278164184065,-1.002399871505121,-0.3682897315488091
60,60,60,03-01,2.8287903824069147,0.2487851374618388,-0.5540931685546108
61,61,61,03-02,2.422515297337973,-0.5604405685544213,-0.7370529793270756
62,62,62,03-03,2.197735092599615,-1.008161648588189,-0.7503539449134659
63,63,63,03-04,2.0219573050993533,-1.3582788706859643,-0.7967261147005629
64,64,64,03-05,2.291385152524373,-0.8216278476089396,-0.7669218520333536
65,65,65,03-06,2.060939788084524,-1.2806328902277029,-0.8328909730202675
66,66,66,03-07,2.9185704963641017,0.4276107134650947,-0.7907592288257045
67,67,67,03-08,2.223794890596397,-0.9562552944759044,-0.6367923598114721
68,68,68,03-09,2.32464958255828,-0.7553711834208101,-0.4911249760211415
69,69,69,03-10,2.4857554939717588,-0.4344776566005705,-0.261126149617081
70,70,70,03-11,2.7301825977948337,0.052376455133044064,-0.5389454036107876
71,71,71,03-12,2.7537709134555377,0.09936006819666013,-0.4638743851565046
72,72,72,03-13,2.0816887200369294,-1.2393048104971447,-0.4696729320531558
73,73,73,03-14,2.4499331670894056,-0.5058291837502062,-0.5487875737759637
74,74,74,03-15,2.3071824770311165,-0.7901624648007173,-0.5950639697383209
75,75,75,03-16,2.2474365115877264,-0.9091655069374176,-0.8603041638716363
76,76,76,03-17,2.5907830713103444,-0.2252819206410995,-0.7273507659494051
77,77,77,03-18,1.9547813487341463,-1.4920810966032327,-0.618619187087555
78,78,78,03-19,2.482187512767871,-0.4415844229637574,-0.4054984407602302
79,79,79,03-20,2.777467978131784,0.14656028942089314,-0.2222796660317236
80,80,80,03-21,2.94917134639373,0.4885620131632318,-0.06099673342491594
81,81,81,03-22,2.7993509359737128,0.1901471414336228,0.3681519126267421
82,82,82,03-23,3.0766196186012613,0.7424156749997459,0.3801812758013958
83,83,83,03-24,3.2475163771863085,1.082810779706716,0.4149547114133205
84,84,84,03-25,2.5184238595183985,-0.3694082439158354,0.3165688846038883
85,85,85,03-26,2.8822168540486603,0.3552009030924406,0.27578374257477484
86,86,86,03-27,2.6528012988823337,-0.10175294769336143,0.10513133132506544
87,87,87,03-28,2.676492848859802,-0.05456371074105777,-0.10218948608738547
88,88,88,03-29,2.562559160198305,-0.28149879249851045,-0.038026872343444734
89,89,89,03-30,2.6229987764383647,-0.16111412476798953,-0.0027906101246877213
90,90,90,03-31,2.711702480031287,0.015567438547808997,0.05265068186459534
