,unnamed: 0,unnamed: 0,mth_day,black comedy,black comedy_norm,black comedy_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.320924939337883,-1.6563978055686268,
2,2,2,01-03,5.270389937763798,-1.7205058190578868,
3,3,3,01-04,5.4759941057125285,-1.4596791768941983,
4,4,4,01-05,4.04766245621249,-3.2716412190650375,-2.1411056850361128
5,5,5,01-06,4.679714139453735,-2.4698290775192007,-2.2615879191753265
6,6,6,01-07,4.838353765744012,-2.268581012111727,-2.41059111431092
7,7,7,01-08,4.751083239947731,-2.3792912104039097,-2.3562310667839603
8,8,8,01-09,4.565653388535139,-2.614524989871448,-1.97608480198306
9,9,9,01-10,5.733099413254379,-1.133518891732442,-1.7554962681266044
10,10,10,01-11,5.8456303898139,-0.990763630259632,-1.35566493066809
11,11,11,01-12,5.723026009430356,-1.146297874380469,-0.9393594596698496
12,12,12,01-13,6.729425677172324,0.13040701263936022,-0.6556946407726448
13,13,13,01-14,6.720072433698436,0.11854161558553085,-0.1765304894656379
14,14,14,01-15,5.9072955286601925,-0.9125360764882192,-0.2016582463678429
15,15,15,01-16,7.999389677693907,1.7414660161096,0.3105360886164094
16,16,16,01-17,5.726784289413155,-1.141530171672862,0.3299978282289349
17,17,17,01-18,8.145538277323622,1.9268681355250448,0.2873607225355809
18,18,18,01-19,6.821473362485629,0.2471774503145133,0.3760567416364021
19,19,19,01-20,6.518412820237877,-0.13728101857459332,-0.00415268468383138
20,20,20,01-21,6.326798790818764,-0.3803599618832925,-0.07259219388240708
21,21,21,01-22,6.201123010691929,-0.5397905418118009,-0.4099569279365747
22,22,22,01-23,5.4030877170033085,-1.552167226864316,-0.6673619505209384
23,23,23,01-24,6.549913040613619,-0.09732026879996072,-0.9317975412724802
24,24,24,01-25,5.604031500214473,-1.297252685191669,-1.164255937591553
25,25,25,01-26,5.267718661969008,-1.7238945630838445,-1.300874015766901
26,26,26,01-27,5.227346340070627,-1.7751103397977297,-0.9343836485154076
27,27,27,01-28,5.554964028074607,-1.3594990108638878,-0.955698428302502
28,28,28,01-29,7.136467705984926,0.6467749766446429,-0.7679149928745838
29,29,29,01-30,6.449101079225434,-0.2252089475225261,-0.6862198014427769
30,30,30,01-31,6.492185946602992,-0.17055207262415986,-0.4442363996265005
31,31,31,02-01,5.65411029099303,-1.2337234144930034,-0.20706317361660187
32,32,32,02-02,6.371848962389749,-0.3232099289000697,-0.5219994464449957
33,33,33,02-03,6.676716086582763,0.06354034519550397,-0.3930300848654938
34,34,34,02-04,5.646921780892214,-1.24284266032572,-0.3531943234757087
35,35,35,02-05,7.059084125247043,0.5486072219544854,0.10229837160689632
36,36,36,02-06,6.680596114533862,0.06846249571455099,0.14161670814615535
37,37,37,02-07,7.808442282594036,1.4992327560026266,0.12576285579105906
38,38,38,02-08,6.557811879418964,-0.08729990966451562,0.29970834806849395
39,39,39,02-09,6.6017325320989535,-0.031582768935073925,0.09806812757402268
40,40,40,02-10,6.469627266300941,-0.19916970666111,-0.034299891031299434
41,41,41,02-11,6.105391601756757,-0.6612341010123427,-0.5752351761092772
42,42,42,02-12,6.054538528485053,-0.7257456159173816,-0.562071281480204
43,43,43,02-13,5.24999468813161,-1.74637895446524,-0.6485122069860404
44,44,44,02-14,6.620072810581285,-0.008316541890075947,-0.6554597839821942
45,45,45,02-15,6.1928951276548485,-0.5502283219700923,-0.6224758219882841
46,46,46,02-16,6.436767491493333,-0.2408551686380332,-0.577145186297081
47,47,47,02-17,6.2613949917130896,-0.4633303290488818,-0.41120787356212335
48,48,48,02-18,6.2689376609485485,-0.4537618017701632,-0.4661893420270749
49,49,49,02-19,6.0348240943647635,-0.7507550780554941,-0.43119302337165416
50,50,50,02-20,6.360028384538918,-0.3382053526797853,0.012233461669146184
51,51,51,02-21,6.3584163087441805,-0.3402504100375687,0.09935214257329324
52,52,52,02-22,8.534030242267715,2.419703741606769,0.18167120088090336
53,53,53,02-23,6.673437958294247,0.059381756376000586,0.4023276526087461
54,54,54,02-24,6.658279976961741,0.040152548075497736,0.8210913637518854
55,55,55,02-25,7.078457193736964,0.573183632311562,0.8297970719598619
56,56,56,02-26,8.340644252974785,2.1743769141790503,0.3962663561929691
57,57,57,02-27,6.399591471166017,-0.2880161607897096,0.4016003026013928
58,58,58,02-28,6.483571254887201,-0.18148055299458749,0.4000398151003941
59,59,59,02-29,6.69866578634332,0.09138543482654256,-0.0273523746641482
60,60,60,03-01,6.65089937968282,0.030789623069505462,-0.3583347685876924
61,61,61,03-02,5.05703143365275,-1.991169506275692,-0.3484810730938476
62,62,62,03-03,6.775205404922866,0.1884825506377852,-0.4797511269106572
63,63,63,03-04,6.446196239293058,-0.2288939878266413,-0.6212448404494079
64,64,64,03-05,5.8627066844346425,-0.9691008758954452,-0.644242848276808
65,65,65,03-06,6.0294466375451625,-0.7575768464059612,-0.5352451586353918
66,66,66,03-07,6.542126298268918,-0.10719842389489537,-0.5214849043682028
67,67,67,03-08,5.5725549806604935,-1.3371833684271943,-0.6754978383344965
68,68,68,03-09,6.840286922805372,0.27104407624091875,-0.3911604809802469
69,69,69,03-10,5.71776525819083,-1.1529715916244032,-0.2648819795592488
70,70,70,03-11,7.207529712264888,0.7369232682300524,-0.4011491053573526
71,71,71,03-12,6.6267027920337735,9.416212002722824e-05,-0.24791325671878284
72,72,72,03-13,5.897627206012047,-0.9248011786835184,-0.4447979435066448
73,73,73,03-14,6.297310601433581,-0.4177682765957759,-0.3204691925818554
74,74,74,03-15,5.909086523803332,-0.9102640444862532,-0.31267838159946176
75,75,75,03-16,6.3057997283034455,-0.4069990860756669,-0.76004805992313
76,76,76,03-17,7.2443777089969625,0.7836681341244146,-0.5807813512635596
77,77,77,03-18,4.5107900222139525,-2.6841239078219825,-0.5219599147606487
78,78,78,03-19,6.745500310594529,0.15079907327390424,-0.4555682809776773
79,79,79,03-20,6.575516824756584,-0.06483965757831107,-0.3128908161665718
80,80,80,03-21,6.223097312949742,-0.5119142417884244,-0.34081112054824664
81,81,81,03-22,6.9806176348065305,0.4490657027909665,0.053126091881360894
82,82,82,03-23,7.11232376917742,0.6161463078343657,0.006335273787533328
83,83,83,03-24,6.373984643294135,-0.3205006332443375,0.010413131953324398
84,84,84,03-25,6.524194991275555,-0.12994583528906115,0.24919150569835824
85,85,85,03-26,6.5948037648076925,-0.040372508583564656,0.15131289669468648
86,86,86,03-27,7.352441197088431,0.9207560006817784,0.15447571813951125
87,87,87,03-28,6.517683715236701,-0.13820595123106413,0.21964046837014825
88,88,88,03-29,7.127282883771063,0.6351232365033143,0.1737539082884688
89,89,89,03-30,6.68219267310917,0.07048786813948446,0.24578814259548346
