,unnamed: 0,unnamed: 0,mth_day,matt damon,matt damon_norm,matt damon_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.6030940831753486,0.7882302498774709,
2,2,2,01-03,0.40345294876262827,-0.5508349618026777,
3,3,3,01-04,0.5676514323949297,0.5505035869359918,
4,4,4,01-05,0.3663549598003271,-0.7996645759442932,-0.2955521318499111
5,5,5,01-06,0.4176349903590141,-0.4557108853532753,-0.33127311114187524
6,6,6,01-07,0.29088986869544564,-1.3058362048126828,-0.4411663167719285
7,7,7,01-08,0.5711402540445037,0.5739043741256861,-0.5985352808933116
8,8,8,01-09,0.3051491288521401,-1.2101941955829971,-0.4322137076190458
9,9,9,01-10,0.4268786683300888,-0.3937101977923075,-0.28875410444168825
10,10,10,01-11,0.5151361869257204,0.1982648637013021,0.07390669525761577
11,11,11,01-12,0.5459652807925504,0.40504673371087024,0.008651560411396494
12,12,12,01-13,0.6153043012150509,0.8701285933831412,0.07259204920644152
13,13,13,01-14,0.5127669543725261,0.1823735650483703,0.42064334921319796
14,14,14,01-15,0.3623464256227581,-0.8265512628127267,0.3760951463990829
15,15,15,01-16,0.7382243254097156,1.6945976022482312,0.2924977967351443
16,16,16,01-17,0.4752860571413815,-0.06902435318338812,0.2344145585758952
17,17,17,01-18,0.4711841443315487,-0.09653736427276158,0.1228280886348499
18,18,18,01-19,0.5633465468562744,0.5216291644276466,0.4786737601511175
19,19,19,01-20,0.41294844254879104,-0.4871452545979016,-0.04403469945989428
20,20,20,01-21,0.6806644563700147,1.3085227662848782,0.6954840805966712
21,21,21,01-22,0.270640929469201,-1.4416531554178391,0.6264368132181336
22,22,22,01-23,1.1368148619324163,4.368088327156007,0.221070797542728
23,23,23,01-24,0.4094186320892264,-0.5108209685439874,0.08973001225811332
24,24,24,01-25,0.20073060918915608,-1.9105669296247871,-0.3103669706209817
25,25,25,01-26,0.2954589141516877,-1.2751899663055897,-0.21967446673194693
26,26,26,01-27,0.3227618769868896,-1.092059130989692,-0.9868480578992948
27,27,27,01-28,0.3517689620752565,-0.8974981320836306,-0.9263789019477808
28,28,28,01-29,0.4505477345534976,-0.2349532198480822,-0.6687305814457002
29,29,29,01-30,0.4635106843022452,-0.14800603283490352,-0.5372947720159008
30,30,30,01-31,0.4312072246783825,-0.3646770066123032,0.07763222572185484
31,31,31,02-01,0.4130334454058997,-0.4865751097267934,0.2402555829464624
32,32,32,02-02,0.8728384035303824,2.5975028554368422,0.1556735228045615
33,33,33,02-03,0.4972419886394654,0.07824201126401477,0.16245010459820006
34,34,34,02-04,0.3748857356139233,-0.7424455806994875,0.4579450907735445
35,35,35,02-05,0.4695726048043473,-0.10734654207307244,0.6662498820236252
36,36,36,02-06,0.6955391798605983,1.4082929104397643,0.11545720612434195
37,37,37,02-07,0.5993703219046569,0.7632536377736908,-0.05788725482678455
38,38,38,02-08,0.3801325650830634,-0.7072531999588574,-0.03147068325163236
39,39,39,02-09,0.3421785106553449,-0.9618247544427444,-0.08733008893554456
40,40,40,02-10,0.3985164039513123,-0.5839461512485744,-0.5373827972208344
41,41,41,02-11,0.4196041565715796,-0.4425029761765457,-0.7243639402379803
42,42,42,02-12,0.2929492278080442,-1.292023339271975,-0.5053416957698195
