,unnamed: 0,unnamed: 0,mth_day,future,future_norm,future_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.593530842066651,-1.1992692942210503,
2,2,2,01-03,5.714807038487692,-1.047611911849888,
3,3,3,01-04,5.930261658602753,-0.7781832467804232,
4,4,4,01-05,4.876466607093018,-2.0959669816265443,-1.3959431017696595
5,5,5,01-06,5.722137346938701,-1.0384452705430185,-1.5937060024008447
6,6,6,01-07,4.780334071345402,-2.216181905597036,-1.7299933935211698
7,7,7,01-08,4.644657849268534,-2.3858466980081587,-1.4713536523152644
8,8,8,01-09,5.060895590585928,-1.8653362585718403,-1.174183600894404
9,9,9,01-10,7.171223762775482,0.7736552004550081,-0.8818326255002026
10,10,10,01-11,6.302298424697428,-0.312946673101382,-0.558000155430212
11,11,11,01-12,7.1248470770467005,0.7156605818221902,-0.040193439517326825
12,12,12,01-13,6.334093062843858,-0.27318708517709195,0.03535508434432988
13,13,13,01-14,7.129111741535863,0.7209935974691525,-0.12028008658819225
14,14,14,01-15,5.423379927685028,-1.4120451154018994,-0.11202994213579613
15,15,15,01-16,6.4244810220690285,-0.16015582514012447,-0.26610193031058715
16,16,16,01-17,6.341882892929722,-0.26344580638700543,-0.10542191501425062
17,17,17,01-18,6.385604539345387,-0.2087713472265559,-0.446771354369644
18,18,18,01-19,7.105041135057966,0.6908930066009273,-0.3806368287676425
19,19,19,01-20,5.491305747199446,-1.3271030386632077,-0.5707635125354448
20,20,20,01-21,5.740695587169037,-1.0152379617898906,-0.5614063002825321
21,21,21,01-22,5.5122468524560855,-1.3009159277469382,-0.7072306656269314
22,22,22,01-23,6.3867791093906,-0.2073025328695294,-0.9447300594587756
23,23,23,01-24,5.685934371049893,-1.083717539292951,-1.080043902681562
24,24,24,01-25,5.9655111226354816,-0.7341033563901371,-1.1702945952712087
25,25,25,01-26,4.842065414578767,-2.138986097999927,-1.1711208315607002
26,26,26,01-27,5.30766975418256,-1.5567421173277691,-1.3318081741273342
27,27,27,01-28,5.508282543183387,-1.3058733454838871,-1.2943055395359897
28,28,28,01-29,5.615795880689234,-1.1714265882693335,-1.4563476120576524
29,29,29,01-30,5.865873262565584,-0.8587017317448833,-1.2014889375750804
30,30,30,01-31,5.188027854428429,-1.7063557915201146,-1.0745454265308971
31,31,31,02-01,6.064885834510987,-0.6098340511044951,-0.5357272291582814
32,32,32,02-02,5.916748953852234,-0.7950810510626677,-0.3752255908487149
33,33,33,02-03,8.09355022424621,1.9270358387518067,-0.17339471030813047
34,34,34,02-04,6.385888094171787,-0.2084167584119345,0.12054797434282938
35,35,35,02-05,6.834264558639772,0.3522835514986233,0.39485310070698665
36,36,36,02-06,6.598374658635287,0.05730031638564447,0.556942652805407
37,37,37,02-07,7.381010979127624,1.0359967070804488,0.081958825994996
38,38,38,02-08,6.694460030652054,0.17745626152785435,0.007830001882096404
39,39,39,02-09,5.814561982074221,-0.9228671221106592,-0.15031700336008422
40,40,40,02-10,6.030215523815483,-0.6531897030893321,-0.2257896726665937
41,41,41,02-11,6.075469953143655,-0.5965984799544605,-0.4834401565833666
42,42,42,02-12,6.236254274221599,-0.3955356994534129,-0.3956616565261859
43,43,43,02-13,6.1447953644207685,-0.5099061964201881,-0.3727365673343096
44,44,44,02-14,7.115624201417928,0.7041272618709385,-0.4988142937719857
45,45,45,02-15,5.924557324589082,-0.7853165869594009,-0.8436050877114009
46,46,46,02-16,5.4252903875625185,-1.4096560617153893,-0.9338601518777744
47,47,47,02-17,4.421152224740847,-2.6653432435909514,-1.117322072120419
48,48,48,02-18,5.8032074662641895,-0.9370660844516536,-1.2339946145569731
49,49,49,02-19,5.264538952477358,-1.6106777178760534,-1.1013607401304528
50,50,50,02-20,6.555825451673652,0.004092007251611951,-0.5447878325466284
51,51,51,02-21,6.5609390775459175,0.010486659599719896,-0.2331963887953003
52,52,52,02-22,8.095745760354196,1.9297813837875584,-0.1541647764912277
53,53,53,02-23,5.916178363713177,-0.7957945810829822,0.13729576864160253
54,54,54,02-24,6.182403777874117,-0.4628764106272182,0.24737469544079496
55,55,55,02-25,6.662976368494655,0.13808555292092806,0.22508613692338927
56,56,56,02-26,7.083987813686882,0.6645655680467665,-0.02883409695114103
57,57,57,02-27,6.453997830436037,-0.12324469150471427,0.2112555765423915
58,58,58,02-28,6.8774280097571925,0.4062599805403768,0.2492839989058012
59,59,59,02-29,7.068136624340589,0.6447434598782131,0.1174512844716432
60,60,60,03-01,6.36486541665567,-0.23470587644676025,-0.19151616942212665
61,61,61,03-02,6.030438607900575,-0.6529107336840199,-0.3483719742212865
62,62,62,03-03,5.601551665563526,-1.1892391553158526,-0.4318969122072691
63,63,63,03-04,5.701398447728223,-1.0643795202996729,-0.5980370751796685
64,64,64,03-05,6.47667257166903,-0.09488964737551918,-0.6480835636702614
65,65,65,03-06,6.270990581475919,-0.3520975179561836,-0.6950616553520318
66,66,66,03-07,6.1247406957826325,-0.5349848073903181,-0.5291039263610146
67,67,67,03-08,5.805036157250048,-0.934779283774642,-0.5810081837525495
68,68,68,03-09,6.397822384101187,-0.19349278136974807,-0.7925143673345592
69,69,69,03-10,5.4523600897102105,-1.3758050646488826,-0.6475114322642468
70,70,70,03-11,5.4618588489220725,-1.3639267488675764,-0.7301169877439895
71,71,71,03-12,6.96671949992091,0.5179200924656907,-0.7364975104631427
72,72,72,03-13,5.728396485621637,-1.030618140268774,-0.5220262612129979
73,73,73,03-14,5.774422196447409,-0.9730624200895612,-0.3137215222073514
74,74,74,03-15,7.426862590811452,1.0933347141311212,0.08729819444006444
75,75,75,03-16,6.451813174608737,-0.12597663061500372,-0.2410192571206073
76,76,76,03-17,7.385964823762753,1.0421915510169186,0.15885427222421278
