,unnamed: 0,unnamed: 0,mth_day,cult,cult_norm,cult_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.134334237024265,-0.922914390493168,
2,2,2,01-03,4.272952087165197,-0.7226748966722331,
3,3,3,01-04,3.6404220401676786,-1.6363919706893488,
4,4,4,01-05,3.8082244285403837,-1.3939941461989758,-1.2490092758424465
5,5,5,01-06,3.621344433889044,-1.6639504000017724,-1.3021715189094236
6,6,6,01-07,3.9742729551906715,-1.1541298509991793,-1.4723288819099989
7,7,7,01-08,3.9135215780828463,-1.2418878488950316,-1.4287552381709256
8,8,8,01-09,3.5661929740239344,-1.7436190746756848,-1.4289285466783552
9,9,9,01-10,3.821407859777826,-1.3749501082549114,-1.2936937148205985
10,10,10,01-11,3.8075045809542964,-1.3950339972435537,-1.139298218938418
11,11,11,01-12,4.183050657728871,-0.8525414088552317,-0.7979100875591042
12,12,12,01-13,4.615564180080695,-0.2277568757060962,-0.7167460978498029
13,13,13,01-14,5.331498259878162,0.8064409393808517,-0.3985053038256549
14,14,14,01-15,3.9033126165383663,-1.2566351364198776,-0.4201089011977199
15,15,15,01-16,5.143240646697059,0.5344946558899765,-0.06937325802450882
16,16,16,01-17,3.717772705412185,-1.5246555814759442,0.17207320282217195
17,17,17,01-18,5.639852806897642,1.2518724501840348,-0.1255699569406895
18,18,18,01-19,5.618426962683407,1.2209218893739884,-0.15161466934940007
19,19,19,01-20,4.095219018609879,-0.9794180191963172,-0.14093384707215198
20,20,20,01-21,3.795134295486592,-1.4129034108721408,-0.11468118969708235
21,21,21,01-22,5.187604101484858,0.5985795895534649,-0.5195362226712734
22,22,22,01-23,3.826814738720746,-1.3671396372255264,-0.90083631436333
23,23,23,01-24,3.958262430731268,-1.1772577476611112,-1.0443100623976105
24,24,24,01-25,4.034673489470209,-1.0668786607783516,-1.2122083667945005
25,25,25,01-26,3.4992919477406734,-1.8402605074019995,-1.6305603301118878
26,26,26,01-27,3.097758321735363,-2.420293237253479,-1.3885011960498688
27,27,27,01-28,3.4499533918055887,-1.91153219035086,-1.4368440770910142
28,28,28,01-29,4.83222229735126,0.08521516714658763,-1.5149980034385964
29,29,29,01-30,3.7574672895229617,-1.4673150339079841,-1.3464265745773432
30,30,30,01-31,3.7100563309771153,-1.5358022188638438,-1.1047610839452413
31,31,31,02-01,4.199463785514936,-0.8288319342344792,-0.7209138107167621
32,32,32,02-02,4.101530858075237,-0.9703002934608704,-1.0250163759768731
33,33,33,02-03,5.044286740799336,0.3915514490200155,-0.936460137292456
34,34,34,02-04,3.5691135165311634,-1.739400224414081,-0.8166608736430317
35,35,35,02-05,4.125291094570488,-0.93597760180148,-0.7600416401288985
36,36,36,02-06,4.207649969235115,-0.8170066369672976,-0.6699787435013186
37,37,37,02-07,4.4346352677213865,-0.4891165331496797,-1.061322524103477
38,38,38,02-08,4.475612659914317,-0.4299229136953908,-0.8961096981394204
39,39,39,02-09,3.4188161855769024,-1.9565112345929352,-0.6729912335092308
40,40,40,02-10,4.255335189803825,-0.7481232686297409,-0.7295815238852295
41,41,41,02-11,5.052027413274133,0.4027331859796574,-0.6914664994231751
42,42,42,02-12,3.9725987041399216,-1.1565483792232891,-0.4991050914401156
43,43,43,02-13,4.592948375136364,-0.26042638637735394,-0.23849483238462624
44,44,44,02-14,5.274597644820624,0.7242455342029664,-0.28392689700102663
45,45,45,02-15,4.501276987258165,-0.3928496802599993,-0.4952581120611274
46,46,46,02-16,4.0666303043363925,-1.0207156563281437,-0.3206433461599485
47,47,47,02-17,4.174250163432542,-0.8652541043809474,-0.3697334396333397
48,48,48,02-18,4.697871915439448,-0.10885978381621532,-0.5308437397529985
49,49,49,02-19,4.389049640956061,-0.5549669472177008,-0.6157142736516165
50,50,50,02-20,4.605416065942326,-0.24241626651498635,-0.4736923472699393
51,51,51,02-21,4.1487619846025945,-0.9020728836517068,-0.2984341065980139
52,52,52,02-22,4.656527144332606,-0.1685840980380807,-0.2279476530614701
53,53,53,02-23,4.902196086922019,0.18629533965060496,0.069476816387067
54,54,54,02-24,4.990641752203973,0.31405893740304713,0.2018207352451634
55,55,55,02-25,5.62442053850134,1.229579869473522,0.4354304599595391
56,56,56,02-26,5.155114704146253,0.551647246633592,0.3891440573925733
57,57,57,02-27,5.1190743998211365,0.499585464634548,0.21076732161879144
58,58,58,02-28,4.464273713438653,-0.44630251343987626,0.08069130770336241
59,59,59,02-29,4.161297301483712,-0.8839650749920858,-0.3031018328515817
60,60,60,03-01,4.450362997205235,-0.46639714608952704,-0.5070131212500281
61,61,61,03-02,4.030312032909402,-1.0731789738561428,-0.6151392158558954
62,62,62,03-03,4.308156577817679,-0.6718204837570861,-0.7112955099343609
63,63,63,03-04,4.669965989914641,-0.14917110300065545,-0.6510140998412993
64,64,64,03-05,4.0648826090665375,-1.0232402779106695,-0.582701059838206
65,65,65,03-06,4.411679860222195,-0.5222766144337164,-0.579519864299649
66,66,66,03-07,4.7341054266668765,-0.05651890607096721,-0.6429171708268865
67,67,67,03-08,4.0435253249933405,-1.0540918006248003,-0.849349547795903
68,68,68,03-09,4.0448319508570245,-1.0522043229205116,-0.6817048576707255
