,unnamed: 0,unnamed: 0,mth_day,based on a true story,based on a true story_norm,based on a true story_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.689742979941536,-0.2269398386218756,
2,2,2,01-03,4.36515928155585,-0.7388776845043068,
3,3,3,01-04,4.072028932928794,-1.2012068772063609,
4,4,4,01-05,3.7108619364425057,-1.7708444009162454,-1.1865494648467945
5,5,5,01-06,4.0961465207833525,-1.163168287974834,-1.1563278998597328
6,6,6,01-07,3.5539933372300148,-2.0182596998571443,-1.4461696770119217
7,7,7,01-08,4.804711163052849,-0.04561044869950705,-1.3347410203067391
8,8,8,01-09,3.2625498527189456,-2.4779283474174383,-1.2120274656407004
9,9,9,01-10,4.495923268427755,-0.5326349369752652,-1.0408955685549803
10,10,10,01-11,4.177686021466736,-1.0345630729200133,-0.7231555516045636
11,11,11,01-12,4.747162551513748,-0.13637690546051415,-0.8197012842236209
12,12,12,01-13,4.762732608878804,-0.11181959815464394,-0.5113094257637688
13,13,13,01-14,4.437434105391684,-0.6248848444138506,-0.35587895809300657
14,14,14,01-15,4.435727074634143,-0.627577196658326,-0.2745266251411388
15,15,15,01-16,5.087208282155522,0.3999478690493081,-0.1956860292985225
16,16,16,01-17,4.487164697218539,-0.5464490752088067,-0.13323391654094358
17,17,17,01-18,5.047086134667682,0.33666666959518354,-0.051877654789227234
18,18,18,01-19,5.000311501245088,0.26289307839082954,0.16867574305361335
19,19,19,01-20,4.746927726993596,-0.13674727390355254,0.10300810251532473
20,20,20,01-21,5.2747512429680405,0.6957431903987176,0.15152739347817334
21,21,21,01-22,4.837396952890275,0.005942025819576445,0.027565896748811176
22,22,22,01-23,4.671740669053088,-0.2553333294317149,-0.21630089930496474
23,23,23,01-24,4.575514657120599,-0.4071023107809896,-0.4077785050940684
24,24,24,01-25,4.072599039118027,-1.200307697931826,-0.7737793154244095
25,25,25,01-26,4.018513018704924,-1.2856129086381742,-0.7666949405504627
26,26,26,01-27,3.882419370050063,-1.5002616715833292,-0.8288734241077123
27,27,27,01-28,4.864347169005352,0.04844827506325732,-0.6243579177668283
28,28,28,01-29,4.4352027106034155,-0.6284042307752117,-0.410873997300002
29,29,29,01-30,5.353527847111521,0.8199907272643147,-0.22173287743887016
30,30,30,01-31,4.884729664056176,0.0805958248691313,-0.16741326752935334
31,31,31,02-01,4.738039320912739,-0.15076618947138282,-0.14794000742570598
32,32,32,02-02,4.089060781945379,-1.1743440121262283,-0.08840711971695801
33,33,33,02-03,4.938426897647095,0.16528783568514155,-0.25273575165939866
34,34,34,02-04,4.661676354115087,-0.2712069045227238,-0.405047271944678
35,35,35,02-05,4.728392641317963,-0.1659810643903291,-0.5012457496117018
36,36,36,02-06,4.305309678307015,-0.8332732968425444,-0.4777435560483149
37,37,37,02-07,4.372083282561087,-0.7279570554735257,-0.5114050824147803
38,38,38,02-08,4.178467286680318,-1.033330850745907,-0.3383192995429516
39,39,39,02-09,4.810372492497564,-0.036681322513650735,-0.2883514797223285
40,40,40,02-10,5.320125312257816,0.7673077927082483,-0.08226968560347231
41,41,41,02-11,4.9184790733498565,0.13382585453340926,0.06325146543968685
42,42,42,02-12,5.089281304273706,0.4032174678705931,0.5079742778900185
43,43,43,02-13,4.925671501664287,0.14516985078542924,0.3570474081260638
44,44,44,02-14,5.870271591237589,1.635006023956083,0.10457710949463188
45,45,45,02-15,4.236219962445982,-0.9422425410973784,-0.12781848833555445
46,46,46,02-16,4.359683603310808,-0.7475139990803432,-0.00436278795101223
47,47,47,02-17,4.034405079926861,-1.2605477324477088,-0.05730812432244984
48,48,48,02-18,5.5589286429877,1.1439516701778465,-0.3339259191334565
49,49,49,02-19,4.724258069585323,-0.17250216744319646,-0.3618867895551279
50,50,50,02-20,4.8179685321705055,-0.02470074490995665,-0.2408441688904577
51,51,51,02-21,4.129851861655482,-1.1100077636274075,0.06198288490784939
52,52,52,02-22,4.820151159600721,-0.02125827509232191,-0.16177642689605587
53,53,53,02-23,5.186412799813259,0.5564145903421338,-0.22306991999314474
54,54,54,02-24,4.707708610426637,-0.1986042006455851,-0.029222695385392777
55,55,55,02-25,4.491086771509429,-0.5402631260257295,0.2531529105733168
56,56,56,02-26,5.55539768992144,1.1383826027365551,0.30641329155386343
57,57,57,02-27,5.2040586535912245,0.5842458721248496,-0.055036442458265264
58,58,58,02-28,5.0227630771427565,0.298304010790958,-0.19452408530215795
59,59,59,02-29,3.811394026853203,-1.6122838137306383,-0.3501265362494265
60,60,60,03-01,4.177072924580859,-1.0355300577089412,-0.6898657747384188
61,61,61,03-02,3.8991475029529035,-1.4738778317093406,-0.9906640153698196
62,62,62,03-03,4.262969485180133,-0.9000528281973991,-1.2649570843150204
63,63,63,03-04,4.059768898137556,-1.2205435716635544,-1.2827222007452783
64,64,64,03-05,3.9793036867982567,-1.3474544028802464,-1.2260838200181932
65,65,65,03-06,3.743812379125095,-1.7188745123121871,-1.2163121843559146
66,66,66,03-07,4.392535351141084,-0.6956997733464302,-1.1451502339307351
67,67,67,03-08,3.93632053481273,-1.4152480177356694,-0.8677771020490951
68,68,68,03-09,4.53368214187223,-0.4730811256463214,-0.3809784041624029
69,69,69,03-10,5.114945393133075,0.4436952196262861,-0.23054361006046944
70,70,70,03-11,5.831172107938809,1.5733377844399066,-0.3423097143321318
71,71,71,03-12,4.316092966249826,-0.8162657477005862,0.004479245407100689
72,72,72,03-13,3.9673573053633824,-1.3662963989764043,-0.10914297742855876
73,73,73,03-14,5.255567127150057,0.6654857406997255,-0.25047426412753715
74,74,74,03-15,4.101443092502119,-1.154814462660278,-0.5363557603167534
75,75,75,03-16,4.577296159695892,-0.4042925005675844,-0.5864661289811978
76,76,76,03-17,4.7436282889443495,-0.1419511926953904,-0.3629304416176598
77,77,77,03-18,4.1254642531816685,-1.1169279596872523,-0.6295911703973118
78,78,78,03-19,4.817726630966706,-0.025082274795177016,-0.7510707958467591
79,79,79,03-20,4.241142509892134,-0.9344786319781868,-0.6838208766068302
80,80,80,03-21,3.6393130926511814,-1.8836922153569609,-0.5854042707249276
81,81,81,03-22,4.833126757241293,-0.0007929851280126541,-0.3429921876115459
82,82,82,03-23,5.118022479684262,0.4485484425960256,-0.4758714916445563
83,83,83,03-24,5.047642729766378,0.337544538993038,-0.020978904454068376
84,84,84,03-25,4.312230235782956,-0.8223580989932396,0.27197763803936204
85,85,85,03-26,5.971634437841103,1.794876891164741,0.4501647452063016
86,86,86,03-27,4.753771640230083,-0.1259529603963786,0.4631002341617894
87,87,87,03-28,5.510982056052401,1.0683296578736243,0.4886954266442807
88,88,88,03-29,5.167231369545048,0.5261613763289527,0.9255594569352436
89,89,89,03-30,5.145011372897737,0.4911156938879858,0.4612021657761425
90,90,90,03-31,5.974138341823803,1.7988260827525369,0.6043791995171387
91,91,91,04-01,4.205137100528861,-0.9912668557898656,0.40483101859107257
92,92,92,04-02,5.298442422154075,0.7331092420495987,0.32864941526553776
93,93,93,04-03,4.751865451268392,-0.12895942768277235,0.20128922143472
94,94,94,04-04,4.877423064627907,0.06907175637574392,0.14799322569144524
95,95,95,04-05,4.660510649930461,-0.2730454690969209,0.2981888532776488
96,96,96,04-06,5.771390939419731,1.4790501082928886,0.10704268950725132
97,97,97,04-07,4.776507855889874,-0.09009309027264432,0.1338534578972471
98,98,98,04-08,4.571288577977295,-0.4137677405727862,0.08041160914477641
99,99,99,04-09,4.853858360336327,0.031905182657202366,0.25846614684692043
