,unnamed: 0,unnamed: 0,mth_day,period piece,period piece_norm,period piece_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.6948960816982925,-1.534834534019726,
2,2,2,01-03,5.906963148101636,-1.2646583088201375,
3,3,3,01-04,4.881080316859491,-2.571646496768668,
4,4,4,01-05,5.6562856069011165,-1.5840247855320668,-1.7676841361425648
5,5,5,01-06,5.605077480105356,-1.6492646109885385,-1.6693808932719352
6,6,6,01-07,5.328462220939012,-2.0016760807262526,-1.795029401185794
7,7,7,01-08,6.157857920433947,-0.9450150767959488,-1.6917626964481307
8,8,8,01-09,5.315218028006809,-2.0185493563032906,-1.5288318598290251
9,9,9,01-10,5.367417716414441,-1.952046268342688,-1.3646071749519686
10,10,10,01-11,6.423612884264581,-0.6064397658174335,-0.830231179875212
11,11,11,01-12,6.378498171592853,-0.6639165017261989,-0.8096611621473867
12,12,12,01-13,7.845120736289438,1.2045798897342872,-0.7447227681010453
13,13,13,01-14,6.254732987339232,-0.8215949704289971,-0.3076718296014932
14,14,14,01-15,5.621047189225833,-1.6289189920252425,-0.3561651734071498
15,15,15,01-16,7.425721188408545,0.6702593626546249,-0.14698918594336102
16,16,16,01-17,6.1952321415839675,-0.8973998286513734,-0.1847135258634159
17,17,17,01-18,7.363618264762387,0.5911394230565339,-0.07045179537315943
18,18,18,01-19,7.667456914990457,0.9782338502139578,0.16015640831496694
19,19,19,01-20,6.792851764504131,-0.13602458748745813,0.12035917408945818
20,20,20,01-21,6.7071028969453135,-0.24526976989648405,-0.04383244422672242
21,21,21,01-22,7.238295014097261,0.4314759573015722,-0.4633466557737954
22,22,22,01-23,5.421967177978654,-1.8825495385484567,-0.8730482842021798
23,23,23,01-24,5.38790449294745,-1.925945846225904,-1.3198450553653265
24,24,24,01-25,5.737955774526379,-1.4799759203563492,-1.6127987501346188
25,25,25,01-26,4.688650024271964,-2.8168052144663362,-1.98036827097906
26,26,26,01-27,5.327429376171594,-2.0029919385122392,-1.8308359357303947
27,27,27,01-28,5.5072161985461126,-1.7739411677650738,-1.3804387863034535
28,28,28,01-29,6.126193842894117,-0.9853555270564656,-1.2689717725921013
29,29,29,01-30,7.509062314103048,0.7764370503357422,-0.9514398978160084
30,30,30,01-31,6.262912755793967,-0.8111738380882351,-0.7660725404829208
31,31,31,02-01,6.184075162962288,-0.9116139658097788,-0.4906754959892692
32,32,32,02-02,6.200422067831164,-0.8907877945137143,-0.6132383331815414
33,33,33,02-03,6.804206189699694,-0.12155890080316335,-0.9192730232261808
34,34,34,02-04,5.548980774329661,-1.7207325502100992,-0.8231379730116024
35,35,35,02-05,6.06778348460989,-1.0597710899320931,-0.8327528616438044
36,36,36,02-06,6.715663431301776,-0.2343635368007653,-0.785758358848882
37,37,37,02-07,6.138793579258474,-0.9693032976029899,-0.8527480452578026
38,38,38,02-08,6.421743977353902,-0.6088207777441796,-0.4675740379991212
39,39,39,02-09,6.488716410415263,-0.5234970192566871,-0.19770695527497947
40,40,40,02-10,7.362968405117551,0.5903114933419893,-0.16213670811218908
41,41,41,02-11,7.3387299679992415,0.5594314064127571,0.08825627681514893
42,42,42,02-12,6.8831824932358705,-0.02094205382402296,0.5985584598008762
43,43,43,02-13,7.318026260941495,0.533054611961038,0.5190505371188455
44,44,44,02-14,8.825026209424363,2.452992320170184,0.3315921264142112
45,45,45,02-15,6.114271651483277,-1.0005445553488717,0.24018335225171106
46,46,46,02-16,6.4801278398221145,-0.5344389708858165,0.2986370152836274
47,47,47,02-17,6.9082378201609815,0.010978761437755944,0.12980118052765033
48,48,48,02-18,7.158471634548374,0.329779924367475,-0.28167628637619
49,49,49,02-19,6.522889231678241,-0.4799603965748244,-0.20672104217481213
50,50,50,02-20,6.887161708587966,-0.015872481252857718,-0.06454081127474674
