,unnamed: 0,unnamed: 0,mth_day,ben affleck,ben affleck_norm,ben affleck_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.07263429699248014,-0.7795789576123927,
2,2,2,01-03,0.09531931816999492,-0.4974839449038346,
3,3,3,01-04,0.09017934669386793,-0.5614010251451732,
4,4,4,01-05,0.051726168940582636,-1.0395777736751397,-0.7195146100215482
5,5,5,01-06,0.06122602044642956,-0.9214442832851214,-0.7104858327211153
6,6,6,01-07,0.0937015258509862,-0.5176016755076275,-0.518043548037325
7,7,7,01-08,0.07699065910538971,-0.7254062938097955,-0.38956524598056025
8,8,8,01-09,0.18817223169550948,0.6571697631989071,-0.2670357843046554
9,9,9,01-10,0.15216980108066594,0.20946878719541515,-0.2195619058711277
10,10,10,01-11,0.11084632295462898,-0.3044010036197108,-0.10706844611985827
11,11,11,01-12,0.08413204619930527,-0.6366010126839552,0.22656882217959384
12,12,12,01-13,0.14797933442945813,0.15735908299998902,-0.02503863850519809
13,13,13,01-14,0.2379697935674498,1.276417315986917,-0.14653480216892864
14,14,14,01-15,0.06677227103859289,-0.8524750009098443,-0.10150476410302244
15,15,15,01-16,0.09354821073275024,-0.5195081947869682,-0.018619607781658568
16,16,16,01-17,0.1325732019378757,-0.03422077522427349,-0.03672917517870511
17,17,17,01-18,0.12412392358270972,-0.13929007475577204,-0.03955910024325323
18,18,18,01-19,0.13924151416160266,0.04870167861770978,0.1310828720740508
19,19,19,01-20,0.23660436191227105,1.2594377655996285,0.17161491733819076
20,20,20,01-21,0.14910658922358425,0.1713768329939799,0.20481765304984365
21,21,21,01-22,0.11310481961477124,-0.2763159232021284,0.07227822130405105
22,22,22,01-23,0.14859343757844906,0.16499563904564374,0.05833024440849933
23,23,23,01-24,0.06017398443687954,-0.9345266652305276,-0.34723113079342777
24,24,24,01-25,0.13251165073960788,-0.03498618275560063,-0.3463830644282127
25,25,25,01-26,0.040922028568588495,-1.1739304856119344,-0.2888387531287658
