,unnamed: 0,unnamed: 0,mth_day,irreverent,irreverent_norm,irreverent_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.9816478348537645,-0.9881285240500164,
2,2,2,01-03,5.5259598201027496,-0.26970347683679297,
3,3,3,01-04,4.987546546106196,-0.980342948819506,
4,4,4,01-05,3.767620269128863,-2.590495980326221,-1.27022445631796
5,5,5,01-06,4.70863052944106,-1.3484778748757704,-1.36562607704698
6,6,6,01-07,4.636108594038679,-1.4441979329994536,-1.6950840090385
7,7,7,01-08,4.5479637996736395,-1.5605382484241384,-1.7305619322595431
8,8,8,01-09,4.028284578567587,-2.2464510687859125,-1.3610666853729092
9,9,9,01-10,4.826268270278831,-1.1932104881457626,-1.3242061268291787
10,10,10,01-11,5.447300220319955,-0.3735244990064173,-0.9661372648064632
11,11,11,01-12,4.876194095406511,-1.1273145236133886,-0.6242373645597988
12,12,12,01-13,6.2638456048746916,0.7042152391368405,-0.3732673521285483
13,13,13,01-14,6.1021986987622165,0.4908611530558473,-0.0015562109395285124
14,14,14,01-15,5.169163390359954,-0.7406309941984093,-0.08210766753590414
15,15,15,01-16,6.516021404454111,1.0370563589883564,0.2693596613267296
16,16,16,01-17,5.081123204988325,-0.8568332385846711,0.16103373585452613
17,17,17,01-18,6.4739213483646,0.981489449562414,0.04610713483642909
18,18,18,01-19,5.771409269785094,0.05425968630361951,0.11115122438172992
19,19,19,01-20,5.5797565044033215,-0.19869845305273487,-0.1266057674680518
20,20,20,01-21,5.464845822199843,-0.35036645692660434,0.5267437448203663
21,21,21,01-22,5.435207359265297,-0.38948559211033396,0.12380992931664432
22,22,22,01-23,8.051169737814325,3.063263835145837,-0.032858831675807436
23,23,23,01-24,4.642233776572415,-1.436113443459918,-0.3939408177557879
24,24,24,01-25,5.059212349704796,-0.885752879651091,-0.5296004056132704
25,25,25,01-26,3.938322202162113,-2.3651903695326184,-0.7639940377095132
26,26,26,01-27,4.848154019447176,-1.1643239840714992,-1.3352875811772178
27,27,27,01-28,4.369682733884352,-1.7958473846877914,-1.2024746094042256
28,28,28,01-29,5.454139547864317,-0.3644974256603893,-1.1633736208082912
29,29,29,01-30,5.245985212686688,-0.6392356128219654,-0.8555715119782037
30,30,30,01-31,5.23696063515566,-0.6511469480754833,-0.8611462919986943
31,31,31,02-01,5.337552734875466,-0.5183777165520932,-0.4130497355441545
32,32,32,02-02,4.8228117550699805,-1.1977726641944426,-0.5316787600576559
33,33,33,02-03,6.4066745718480576,0.8927319540394467,-0.5346488596490871
34,34,34,02-04,4.9148665916256675,-1.0762715727413972,-0.2612257617846058
35,35,35,02-05,5.232483505211955,-0.6570562103705526,-0.06180203696907498
36,36,36,02-06,6.479908412008761,0.9893916391114048,0.3610909981751809
37,37,37,02-07,6.244108462417122,0.6781646323410918,0.2349164425172368
38,38,38,02-08,6.745231484729165,1.3395855466710929,0.3828543868387633
