,unnamed: 0,unnamed: 0,mth_day,reflective,reflective_norm,reflective_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.704567782793683,-0.7124455298340335,
2,2,2,01-03,4.8980628528231716,-0.4369009272704607,
3,3,3,01-04,3.4629781094852836,-2.4805181377132075,
4,4,4,01-05,3.8744691154296818,-1.894538734340528,-1.6188737498817891
5,5,5,01-06,3.576281347736727,-2.3191698628015938,-1.6751218169261384
6,6,6,01-07,3.891933117540589,-1.8696693073309087,-2.0341279476495635
7,7,7,01-08,4.467574056830381,-1.0499339321001322,-1.8661167346745804
8,8,8,01-09,3.3854384190496782,-2.59093771161101,-1.5295026244258467
9,9,9,01-10,4.1708709395653,-1.4724508598633093,-1.1484536475425031
10,10,10,01-11,5.29274775844099,0.12514592715187553,-0.8061843919272063
11,11,11,01-12,5.181780372883397,-0.032876001501533615,-0.58566703263947
12,12,12,01-13,5.334038961053368,0.183946226360872,-0.09559679325590036
13,13,13,01-14,5.396694529112259,0.27317022362628546,0.2554931686101892
14,14,14,01-15,5.450283988296786,0.34948372469040745,0.06046928040320865
15,15,15,01-16,5.650141652021129,0.6340889113332282,0.4291762512378799
16,16,16,01-17,4.471040625259321,-1.0449974020900077,0.5496339241646804
17,17,17,01-18,6.735278002194893,2.1793658235064943,0.3678204013149862
18,18,18,01-19,5.8415712946584035,0.9066922639216748,0.002700113851609584
19,19,19,01-20,4.630647507857481,-0.8177109134718792,0.017734814739689297
20,20,20,01-21,3.9118983708406203,-1.8412380000898525,-0.1466052352296953
21,21,21,01-22,5.71348835830706,0.7242971166617065,-0.5991984003483019
22,22,22,01-23,3.7786157507026368,-2.031037701906316,-0.9672042853878312
23,23,23,01-24,4.8283370852312855,-0.5361931672051456,-1.1958171877774213
24,24,24,01-25,4.291027596806978,-1.3013430463155018,-1.2544161228894122
25,25,25,01-26,3.6674175448104886,-2.189388327809419,-1.5415560797341703
26,26,26,01-27,3.664999575923408,-2.1928316107617976,-1.0813784236477342
27,27,27,01-28,4.503662459900173,-0.9985426244068428,-1.0242749245255185
28,28,28,01-29,5.717512908448418,0.7300282346123024,-0.8154062272139792
29,29,29,01-30,5.068935060124282,-0.1935721724718512,-0.4799287298531674
30,30,30,01-31,5.171067985998191,-0.04813086244626645,0.01889924426375389
31,31,31,02-01,5.08090722106363,-0.1765233436445477,0.4047863416274771
32,32,32,02-02,5.76674469202639,0.8001362339397301,-0.06343757321716413
33,33,33,02-03,6.129546260196547,1.3167799597754966,-0.1786046169333603
34,34,34,02-04,3.744713912944047,-2.0793152544555453,-0.13396731786627405
35,35,35,02-05,4.583694086830754,-0.8845744347690282,-0.06016498875049463
36,36,36,02-06,5.3591412901795765,0.21969293195625106,0.0190436437752626
37,37,37,02-07,5.391863488203045,0.26629063105012896,-0.3331280378968441
38,38,38,02-08,6.100479697283302,1.2753880290942734,-0.00051731262512833
39,39,39,02-09,4.645717865659409,-0.7962501302571436,0.2571871666645977
40,40,40,02-10,5.1461248274799765,-0.08365090282525042,-0.05810092832627434
41,41,41,02-11,5.6694975277943325,0.6616524409693278,-0.14614477506362966
42,42,42,02-12,4.030716967174073,-1.672035637988981,-0.4457230935249107
43,43,43,02-13,5.0209024866458565,-0.2619724493740028,-0.52690092343559
44,44,44,02-14,4.838246421711713,-0.522081881673413,-0.6126684277011992
45,45,45,02-15,4.303685909948325,-1.2833171097212188,-0.9285560689803124
46,46,46,02-16,4.784754891221482,-0.5982559284189056,-0.901197452171274
47,47,47,02-17,4.33854709649384,-1.2336734067053514,-0.968382791342894
48,48,48,02-18,4.14598884895561,-1.5078839371347512,-0.9888833998490654
49,49,49,02-19,4.737826023807835,-0.6650844844037227,-0.7387614772351213
50,50,50,02-20,4.751869842929695,-0.6450855327104422,-0.4000475543806264
51,51,51,02-21,5.357541260011205,0.21741442596244592,-0.11769486376202115
52,52,52,02-22,6.2118808144934885,1.4340276087080637,-0.08285803107995507
53,53,53,02-23,5.528202487366314,0.4604427370062802,0.0800886027162617
54,54,54,02-24,4.292769195586425,-1.298862941042355,0.3225417750944504
55,55,55,02-25,5.424379925226257,0.312595318373578,0.3898079882207777
56,56,56,02-26,5.773413937026737,0.8096335015586898,0.16788329620473955
57,57,57,02-27,5.640958474467312,0.6210117047204103,0.0907393052803751
58,58,58,02-28,5.276830733525016,0.1024794566118344,0.2702870387682109
59,59,59,02-29,5.203166574035653,-0.0024212085399065108,0.09037488650535548
60,60,60,03-01,5.049269615663042,-0.2215765401153401,-0.22734766867687475
61,61,61,03-02,4.666344075261272,-0.7668775952035545,-0.30247312187042724
62,62,62,03-03,4.434732340806769,-1.0967018295346913,-0.3071726751944744
63,63,63,03-04,5.3244274005553205,0.1702589855590952,-0.4469393068234466
64,64,64,03-05,5.2570297926011085,0.07428213666755122,-0.3455656216066015
65,65,65,03-06,4.614278519109722,-0.8410209983137399,-0.6359668119592496
66,66,66,03-07,5.476394113207611,0.3866655711857308,-0.5152138378008652
67,67,67,03-08,3.4427774045775017,-2.509284737319444,-0.8430816415818415
68,68,68,03-09,4.943508886752461,-0.3721839845843838,-0.9419620370182864
69,69,69,03-10,3.943000152927545,-1.7969478371267626,-0.9890128605099894
70,70,70,03-11,4.84041043889548,-0.5190002359511179,-1.1977047330812125
71,71,71,03-12,4.41603615177382,-1.1233259392639583,-0.7740063514882541
72,72,72,03-13,4.597098751468044,-0.8654856642416069,-0.6119486294659232
73,73,73,03-14,5.227974006252071,0.032905552238306324,-0.4115891596098716
74,74,74,03-15,5.626317477008816,0.6001623475496021,-0.25225581550419823
