,unnamed: 0,unnamed: 0,mth_day,artistic,artistic_norm,artistic_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4044969220593783,-0.7078930653220709,
2,2,2,01-03,0.5359531956974204,0.0130792615747596,
3,3,3,01-04,0.3273364697243971,-1.1310797974938582,
4,4,4,01-05,0.26425689312571715,-1.4770399244729642,-1.0887297818399604
5,5,5,01-06,0.3026094423370193,-1.2666952533359013,-1.1727490766463549
6,6,6,01-07,0.17569645516473242,-1.9627499119897265,-1.3320979983670882
7,7,7,01-08,0.3125805225230735,-1.212008834160438,-1.0069947983531613
8,8,8,01-09,0.3616268199725012,-0.943014268749641,-0.7215198150804382
9,9,9,01-10,0.6829966272140434,0.8195394025897029,-0.5074356902389945
10,10,10,01-11,0.5765641158961524,0.23580997516337426,-0.3242088025512888
11,11,11,01-12,0.5368156684027093,0.017809495712761397,-0.11289095286821944
12,12,12,01-13,0.3761451241675461,-0.8633885858634922,0.05953375778787814
13,13,13,01-14,0.5437604669082233,0.055898263937978115,0.13046815652376895
14,14,14,01-15,0.5502579984549871,0.09153399518694456,0.2464664260069653
15,15,15,01-16,0.7605982608637877,1.2451457950050475,0.18403817031216504
16,16,16,01-17,0.7034652438799825,0.9317995920625526,0.40581764660711467
17,17,17,01-18,0.4685196834623414,-0.3567600384560405,0.3554058833623948
18,18,18,01-19,0.6187699997875157,0.4672882719062061,0.053894210032329484
19,19,19,01-20,0.4886104233092068,-0.2465723155303416,0.057658206720535926
20,20,20,01-21,0.22040677208457912,-1.7175360447934471,0.0642691594452256
21,21,21,01-22,0.7647160414788683,1.2677297751342864,0.2485154768967275
22,22,22,01-23,0.7106975703754431,0.9714653084106908,0.3657119380379144
23,23,23,01-24,0.6700836000244711,0.7487178662529709,0.592743674684271
24,24,24,01-25,0.7469819393344601,1.1704670387533278,0.9462763789951444
25,25,25,01-26,0.7369812274333498,1.1156181043477984,0.6964857315962235
26,26,26,01-27,0.6071685673777641,0.40366018107179263,0.31228755180013873
27,27,27,01-28,0.4914471810384445,-0.23101410925923946,0.0915065218912908
28,28,28,01-29,0.2903880036666031,-1.3337237703658178,-0.015791012796526022
29,29,29,01-30,0.4285510163256844,-0.5759683132001168,-0.4025192627423378
30,30,30,01-31,0.6295993417971706,0.5266818306264271,-0.6983635343821973
31,31,31,02-01,0.3139037853302559,-1.204751395327072,-0.6769109828295847
32,32,32,02-02,0.28351743063307905,-1.3714054487673648,-0.33213628825313424
33,33,33,02-03,0.5149160914134582,-0.10229879994356332,-0.05659631383399825
34,34,34,02-04,0.6675686102132385,0.7349243970928849,-0.2301090306224573
35,35,35,02-05,0.7299894232451024,1.0772715333146992,0.13928617955238765
36,36,36,02-06,0.4397778937868276,-0.5143944701043272,0.2412406038112876
37,37,37,02-07,0.7180190281856885,1.0116198657219977,0.23943838507870485
38,38,38,02-08,0.3950547104480215,-0.7596789032139653,0.052038465753953024
39,39,39,02-09,0.5129444793277153,-0.1131121123390596,-0.033977104441016294
40,40,40,02-10,0.4625546798128825,-0.3894751188556261,-0.0012469574076950745
41,41,41,02-11,0.635889115278912,0.5611781121448832,-0.2046363124933984
42,42,42,02-12,0.4755843984537507,-0.3180135879043999,-0.10086116102114566
43,43,43,02-13,0.4955127899868642,-0.2087162647922223,-0.11165117151861367
44,44,44,02-14,0.5085838504704888,-0.13702799438044888,0.33617660251340337
45,45,45,02-15,0.5011402988930717,-0.17785217532386782,0.2087336096172394
46,46,46,02-16,0.9524744856888072,2.297491525336476,0.44094770042576586
47,47,47,02-17,0.4964675564555604,-0.20347984523210053,0.6107182032465951
48,48,48,02-18,0.7296246543009327,1.0752709569467591,0.7055328374695949
49,49,49,02-19,0.6812402874946277,0.8099067521327528,0.8288590842791955
50,50,50,02-20,0.6123102602340064,0.431859810957551,0.4511152544515555
51,51,51,02-21,0.6360581722361532,0.5621053055337352,0.3352244680828551
52,52,52,02-22,0.5392259233815601,0.031028546370635787,0.010991254028048087
53,53,53,02-23,0.3696840140920117,-0.8988245634443027,-0.14574409836776522
54,54,54,02-24,0.3749162541093416,-0.8701283273820832,-0.4277689211029633
55,55,55,02-25,0.5097731345570308,-0.13050536224212705,-0.5708342479160743
56,56,56,02-26,0.3037774839780568,-1.2602891254536377,-0.6970721039386333
57,57,57,02-27,0.4795459119339505,-0.29628665534493115,-0.7120487646948398
58,58,58,02-28,0.40112277412859904,-0.7263985897647177,-0.02826160011948305
59,59,59,02-29,0.3532996736026125,-0.9886845279815424,-0.03918820754979874
60,60,60,03-01,1.1229736421382874,3.232594660070057,0.08879429566583003
61,61,61,03-02,0.4978195182305008,-0.19606500682402114,0.5667368519944197
