,unnamed: 0,unnamed: 0,mth_day,soundtrack,soundtrack_norm,soundtrack_ravg
0,0,0,01-01,,,
1,1,1,01-02,14.368806928498016,-1.2441145077146594,
2,2,2,01-03,15.198784409980904,-0.7181869049456585,
3,3,3,01-04,15.071746817360266,-0.7986861691294862,
4,4,4,01-05,12.744595956852493,-2.2733200003533782,-1.5444050863548338
5,5,5,01-06,13.399418719425741,-1.8583817960741291,-1.6932720631830274
6,6,6,01-07,12.586119231045684,-2.373741139911693,-1.9835640521785176
7,7,7,01-08,12.959226166583473,-2.13731636868382,-1.7550875788045734
8,8,8,01-09,12.450088817820165,-2.4599388389186023,-1.454377838879042
9,9,9,01-10,17.235128168146172,0.5721726711141815,-1.295859124988147
10,10,10,01-11,15.591934388454714,-0.4690615608001903,-0.8914911504619386
11,11,11,01-12,14.900389144598794,-0.907269512728759,-0.5189983252722864
12,12,12,01-13,16.41496918669645,0.05246670724555829,-0.2585265299393728
13,13,13,01-14,16.486259035293482,0.09764058245409354,-0.2134832130780743
14,14,14,01-15,14.916425137300534,-0.8971080669211211,-0.4475154660525913
15,15,15,01-16,17.661631038381678,0.8424325722819723,-0.20676477041543506
16,16,16,01-17,13.375946877395652,-1.8732550786472923,-0.0796902271878406
17,17,17,01-18,17.179991755051,0.5372346610941788,-0.19398914887370264
18,18,18,01-19,17.618203344325767,0.8149139666111248,-0.32437959033290603
19,19,19,01-20,15.403993750213447,-0.5881529476610786,-0.6536644772949175
20,20,20,01-21,13.681793644578311,-1.6794507156763414,-0.6267036128537632
21,21,21,01-22,14.54372234069561,-1.1332767494900966,-1.0172578489021589
22,22,22,01-23,13.631231942294205,-1.7114898920003658,-1.5225345920722884
23,23,23,01-24,13.481940317804458,-1.8060907551961962,-1.7553681238373204
24,24,24,01-25,12.833875807148555,-2.216746492409652,-1.8930097167845783
25,25,25,01-26,13.199356603028159,-1.985154138251271,-1.9498233752755187
26,26,26,01-27,12.378502978028125,-2.5053002733598904,-1.8340391210839169
27,27,27,01-28,14.00576931895032,-1.4741587004357413,-1.5172308501248148
28,28,28,01-29,14.727561435365471,-1.0167843668507537,-1.3724250890891618
29,29,29,01-30,16.481711344757862,0.0947588705584156,-1.1680040066233672
30,30,30,01-31,14.205002025462367,-1.3479119261957333,-0.8718388094998094
31,31,31,02-01,15.134964024585994,-0.7586276434565021,-0.5926352312651112
32,32,32,02-02,15.18281037452878,-0.7283090906185432,-0.6204934164442063
33,33,33,02-03,16.649471776826772,0.20106276897244807,-0.5678628123268619
34,34,34,02-04,14.463779885373864,-1.1839334779253239,-0.4933909290426432
35,35,35,02-05,16.980056166641145,0.4105424952624823,-0.3862503270083224
36,36,36,02-06,14.910155956962766,-0.9010806264904212,-0.10336297202373523
37,37,37,02-07,16.149449135154313,-0.11578403125057744,-0.107025013218705
38,38,38,02-08,17.861393508754453,0.9690150392889798,-0.02084372041740438
39,39,39,02-09,16.614796908513124,0.17909052180262955,-0.1027121486304582
40,40,40,02-10,15.279807018845085,-0.6668457211175203,-0.1093681372818241
41,41,41,02-11,16.204866370515408,-0.08066807401584061,-0.2254496349710468
42,42,42,02-12,14.847132217552009,-0.9410165583986166,-0.10000079905117076
43,43,43,02-13,15.050305124553521,-0.8122730173859134,-0.29363730364014523
44,44,44,02-14,19.04923428771586,1.7217080548082355,-0.43108525413160215
45,45,45,02-15,14.781305710609644,-0.9827285057312172,-0.5605854340405182
46,46,46,02-16,13.978349899843213,-1.491533424066262,-0.4660107855703948
47,47,47,02-17,14.978664521365552,-0.8576691534693374,-0.3579191759511466
48,48,48,02-18,15.742633744409574,-0.37356866757787627,-0.5006110346731409
49,49,49,02-19,16.073795066312133,-0.1637233596704235,-0.3467583755306465
50,50,50,02-20,17.698124033300733,0.8655569024762696,0.25001018462318697
51,51,51,02-21,16.23809453723397,-0.05961255087625024,0.42767737680954704
52,52,52,02-22,19.628988474166512,2.0890779368567385,0.4062849274026276
53,53,53,02-23,16.660946659856837,0.2083339996488227,0.5659072879048256
54,54,54,02-24,15.540074481255967,-0.5019233640193924,0.6541673401340071
55,55,55,02-25,17.585215619944776,0.7940108033427647,0.5821056761959651
56,56,56,02-26,18.533834372279454,1.3951172158513578,0.15618820789068244
57,57,57,02-27,15.555762314716654,-0.4919825345045022,0.10760379128287548
58,58,58,02-28,15.596092245076358,-0.4664268729749576,0.17496734257712812
59,59,59,02-29,16.20091408286535,-0.08317249999801901,-0.08087318306346691
60,60,60,03-01,16.177921557765142,-0.09774205625387654,-0.3768059106096479
61,61,61,03-02,15.16273152881364,-0.7410323505008055,-0.3005337702465524
62,62,62,03-03,15.731728166741245,-0.3804791494257292,-0.2723283092998268
63,63,63,03-04,16.277962389014824,-0.03434969232592816,-0.2482802251884226
64,64,64,03-05,15.863162054503071,-0.29719410729460355,-0.236654470413034
65,65,65,03-06,16.42861882602984,0.061116004670406086,-0.28037957571210065
66,66,66,03-07,16.288002655825164,-0.027987527601544958,-0.3408161959718692
67,67,67,03-08,14.748710443980412,-1.0033829822952052,-0.3976472904000557
68,68,68,03-09,15.159470309099508,-0.7430988709843405,-0.4996915942510747
69,69,69,03-10,15.739844271139884,-0.3753362588950469,-0.7135779476825028
70,70,70,03-11,14.896932400109256,-0.9094599304007176,-0.9974929256151231
71,71,71,03-12,14.403387337780144,-1.2222021159181642,-0.9857478039952832
72,72,72,03-13,13.599689240452445,-1.7314773951972655,-0.91169449475537
73,73,73,03-14,14.859921794102604,-0.9329122525761664,-0.9115838023595948
