,unnamed: 0,unnamed: 0,mth_day,male nudity,male nudity_norm,male nudity_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3472078776963707,-0.26426169890089,
2,2,2,01-03,1.315850899622157,-0.3697468771871576,
3,3,3,01-04,1.7673723662632177,1.1491757146513797,
4,4,4,01-05,1.182673282159462,-0.8177576736530681,-0.6065429682166866
5,5,5,01-06,1.048375743214676,-1.2695358968437545,-0.6412150593036753
6,6,6,01-07,0.8112790780606874,-2.0671313773666293,-0.6994977379760613
7,7,7,01-08,1.2853672276070462,-0.4722942454228213,-0.7902979482941609
8,8,8,01-09,1.2118987402613346,-0.7194429492214747,-0.6520431014441588
9,9,9,01-10,1.6054223984856502,0.6043744527427822,-0.5449740601181953
10,10,10,01-11,1.4292626668537312,0.011771407446944764,-0.39360893153512383
11,11,11,01-12,1.2393425673218932,-0.6271216488879737,-0.18497811351522228
12,12,12,01-13,1.0812517753793127,-1.1589406058682006,-0.16937919854001182
13,13,13,01-14,1.65747819670461,0.7794906626965881,-0.1555104339791865
14,14,14,01-15,1.2397207438530684,-0.6258494593702121,-0.06612700502219375
15,15,15,01-16,1.630158530327986,0.6875870401077341,0.35417039220759644
16,16,16,01-17,1.5886856834824492,0.5480719811889013,0.5505760401010606
17,17,17,01-18,1.9889790461351144,1.894662734490768,0.4640477475279653
18,18,18,01-19,1.4315581043651875,0.019493281492584936,0.6255805541433754
19,19,19,01-20,1.5031475608507034,0.2603209072580155,0.3577009335854453
20,20,20,01-21,1.5278283675550266,0.3433473803222488,-0.023613225854608
21,21,21,01-22,1.152372237040336,-0.9196906832398464,-0.3302192889976351
22,22,22,01-23,0.9085791548950668,-1.7398129754514184,-0.6081855254123142
23,23,23,01-24,1.4421208189078345,0.05502635563260483,-0.8590290419288021
24,24,24,01-25,0.9357814660413041,-1.6483041369954898,-1.1100274830305608
25,25,25,01-26,1.0557466211971616,-1.2447401918409122,-1.2310126806330155
26,26,26,01-27,1.080151106607684,-1.1626432662883024,-1.13052342624181
27,27,27,01-28,0.9365847538986308,-1.6456018688545746,-1.0598537920486246
28,28,28,01-29,1.0878103643122496,-1.1368774491041846,-0.7747992340601937
29,29,29,01-30,1.568166176515971,0.4790441607917176,-0.428313112749084
30,30,30,01-31,1.4442007342274368,0.062023210935095,-0.14479933258372624
31,31,31,02-01,1.6737343547621717,0.8341765360257458,0.4068917071601826
32,32,32,02-02,1.5858222653133995,0.5384394147038443,0.7891255564788761
33,33,33,02-03,1.9205730706293145,1.6645443696088786,0.5381559401021433
34,34,34,02-04,1.76955723872801,1.1565256468079763,0.4212314917284343
35,35,35,02-05,1.1205403269395129,-1.0267735374686786,0.2905033714363799
36,36,36,02-06,1.2356559458376961,-0.6395234793071589,0.2888613963036034
37,37,37,02-07,1.4405695328443529,0.049807814273419904,-0.042109402072574735
38,38,38,02-08,1.5828936617461489,0.5285875639071854,-0.3892157441273576
39,39,39,02-09,1.3302582470781463,-0.32128042064819023,-0.34079474343243543
40,40,40,02-10,1.1504632882379404,-0.9261124055207204,-0.33801956668971106
41,41,41,02-11,1.2069033372764737,-0.7362475332991454,-0.5379871190395911
42,42,42,02-12,1.240605711730162,-0.6228724188508127,-0.55245682514144
43,43,43,02-13,1.0839102415699278,-1.1499974998258602,-0.6769912472095281
44,44,44,02-14,1.5570856990912625,0.4417693272960913,-0.5613768574529521
45,45,45,02-15,1.1081404174996763,-1.0684869530567185,-0.4173695583109152
46,46,46,02-16,1.3566714746518913,-0.2324260669812645,-0.5955244320717714
47,47,47,02-17,1.463752714321788,0.12779626155307547,-0.39996346938249694
48,48,48,02-18,0.922851204731668,-1.6918016614159503,-0.3733765465344634
49,49,49,02-19,1.4327100020013743,0.023368276309787026,-0.2479823761095209
50,50,50,02-20,1.6045057577393582,0.6012908643842926,-0.26915070292828097
51,51,51,02-21,1.3317916820581053,-0.3161219305070633,-0.08337433540974419
52,52,52,02-22,1.3189159470579221,-0.35943602789382484,0.2055398557099943
53,53,53,02-23,1.7951008095305867,1.242454466664296,0.09422091443193853
54,54,54,02-24,1.4381544598497555,0.04168348530248053,0.04125632944194526
55,55,55,02-25,1.2341631165937703,-0.6445453713585477,0.12228946928554565
56,56,56,02-26,1.5100388748716669,0.28350335444433306,0.4675168900594739
57,57,57,02-27,1.4763212414127744,0.17007690855453908,0.5839058121140139
58,58,58,02-28,1.9346586801904,1.7119284967497448,0.4643675067368245
59,59,59,02-29,2.0026904407700346,1.9407879989915369,0.6142961234750136
60,60,60,03-01,1.2249476331673077,-0.6755463469606561,0.4824451286381406
61,61,61,03-02,1.5015736717524184,0.2550263290705869,0.094339562041327
62,62,62,03-03,1.2748713098355824,-0.5076026145769054,-0.17052352175383534
63,63,63,03-04,0.7841016553076999,-2.1585564910263426,-0.5468599987596514
64,64,64,03-05,1.4622526391050152,0.12274999397877052,-0.5926334993978567
65,65,65,03-06,1.33146203599985,-0.3172308630433597,-0.3430836499341075
66,66,66,03-07,1.1433066663958231,-0.950187350789887,-0.1940260631176968
67,67,67,03-08,1.946667245192028,1.7523254258530816,0.19801119302501669
68,68,68,03-09,1.540728308375021,0.3867429063215591,0.2930849266930292
69,69,69,03-10,1.4833337471441952,0.1936670458299383,0.29125051204267
70,70,70,03-11,1.6318248025403954,0.6931923959868456,0.23623926239066165
71,71,71,03-12,1.3281902000374044,-0.3282373509455151,-0.17764846961485906
72,72,72,03-13,1.0451893814541315,-1.280254848701937,-0.1295387838808891
73,73,73,03-14,1.2084629543979628,-0.7310009661800427,0.07944998821851741
74,74,74,03-15,1.6265360617613835,0.675401020725379,0.3126607607598709
75,75,75,03-16,1.856083158062968,1.4475996784263774,0.1947012230415036
76,76,76,03-17,2.0477762300331284,2.0924570312349657,0.4868245102122962
77,77,77,03-18,1.1177992409678044,-1.035994577255719,0.6791065228784862
78,78,78,03-19,1.5662163347910076,0.4724848743228186,0.4678841521645345
79,79,79,03-20,1.551414426056482,0.4226911098170965,0.28506720204512603
80,80,80,03-21,1.2498028360211872,-0.5919332035583306,0.2705669153662391
81,81,81,03-22,1.5300134377692731,0.35069797770992645,0.7504382078766637
82,82,82,03-23,2.0219137242946017,2.005455311161645,1.0039256059890374
83,83,83,03-24,1.9736908747777289,1.843233177806828,1.0397718162408152
84,84,84,03-25,2.0183328641745883,1.9934092629970608,1.2803670933327975
85,85,85,03-26,1.6153492184417162,0.6377683713277622,1.0242586551347237
86,86,86,03-27,1.6789251611345093,0.8516384589935652,0.7577836583817655
87,87,87,03-28,1.0732220584493783,-1.185952651478518,0.4064682890170172
88,88,88,03-29,1.5466326981110463,0.4066053306438965,-0.07316191330987057
89,89,89,03-30,1.3470897628522855,-0.2646590383816625,-0.26850106442439275
90,90,90,03-31,1.1628712353978956,-0.884371950964266,-0.4320725880763528
91,91,91,04-01,1.266945077990201,-0.534266535359371,-0.525326440823366
92,92,92,04-02,1.3871813106306503,-0.12979068291819518,-0.6566577992160708
93,93,93,04-03,0.9068958088228134,-1.7454757679605972,-0.5320721496819879
94,94,94,04-04,1.312391949269487,-0.38138281971233257,-0.35613762337040944
95,95,95,04-05,1.5692989610128116,0.4828548588228354,-0.37811628060301344
96,96,96,04-06,1.476665562165465,0.17123520690520475,-0.3352769301032128
97,97,97,04-07,1.2277442565587895,-0.6661384787549951,0.06066260924368424
98,98,98,04-08,1.4635889688150248,0.12724542008060874,0.18569200772596464
99,99,99,04-09,1.6130879576565609,0.6301614681207851,0.2258405735911063
100,100,100,04-10,1.5353926117626415,0.36879357118135,0.20554559461652144
101,101,101,04-11,1.6409073738721731,0.7237462540136855,0.5106458138501618
102,102,102,04-12,1.4404677254042293,0.04946533305769545,0.3636069042112334
103,103,103,04-13,1.7719166819388177,1.1644628366468472,0.2978131741560469
104,104,104,04-14,1.201332454268974,-0.754988037752962,0.11823655681026425
105,105,105,04-15,1.4957391935394422,0.2353990877896661,-0.17819571867160133
106,106,106,04-16,1.2151023030632468,-0.7086661328933458,-0.06900766820666397
107,107,107,04-17,1.1121949700755736,-1.054847398877508,-0.4425537251617266
108,108,108,04-18,1.6352139841688658,0.7045936358473196,-0.3567158562442337
109,109,109,04-19,1.1056652308091832,-1.076813505083528,-0.3963818543046321
110,110,110,04-20,1.3544316602794255,-0.2399608242480047,-0.4050074052626663
111,111,111,04-21,1.4249914817748792,-0.0025969005727251343,-0.06896720100405823
112,112,112,04-22,1.1997178926656982,-0.7604194386415499,-0.3085016542593204
113,113,113,04-23,1.7115515140857005,0.9613938266741404,0.043842911460537946
114,114,114,04-24,1.2079837294105868,-0.7326130836842533,0.12918720159396582
115,115,115,04-25,1.7341020027618763,1.0372538892356216,-0.032442670230332815
116,116,116,04-26,1.5066505261684722,0.2721049165525625,0.07276240578914063
117,117,117,04-27,1.1367107339425166,-0.9723761315185168,-0.1799637211360198
118,118,118,04-28,1.3873601746791575,-0.12918898252470926,-0.08393622150692237
119,119,119,04-29,1.2607927771984946,-0.5549629348768222,-0.47027965702801205
120,120,120,04-30,1.3792570162918705,-0.15644808590966872,-0.5348864478825427
121,121,121,05-01,1.045025328660349,-1.2808067238909158,-0.3227788514934329
122,122,122,05-02,1.391418769981475,-0.11553582857462202,-0.4804770218178799
123,123,123,05-03,1.5150228356463864,0.30026944681614176,-0.3339714787395681
124,124,124,05-04,1.1060919538991147,-1.0753780044713914,-0.3587195806572752
125,125,125,05-05,1.5220979867089854,0.3240703235930485,-0.2852919048823141
126,126,126,05-06,1.335116652584698,-0.3049366974159114,-0.4302946339256363
127,127,127,05-07,1.175989890130822,-0.8402406692411498,-0.3462774143951723
128,128,128,05-08,1.1327939582772184,-0.9855522028345554,-0.07370739435750906
129,129,129,05-09,1.6648747572229077,0.8043727639989259,-0.05307636378114069
130,130,130,05-10,1.5922439771993446,0.5600421157545877,-0.07666515182301717
131,131,131,05-11,1.558895200342695,0.4478565070512588,0.16508254922560814
132,132,132,05-12,1.2930440246699555,-0.4464694256671703,0.2108463823649608
133,133,133,05-13,1.6071676622743936,0.610245537050602,0.026256800336779
134,134,134,05-14,1.2144176822348136,-0.7109692039984393,-0.30541637995527976
135,135,135,05-15,1.3356433957887173,-0.30316472817016504,-0.09585526084966184
136,136,136,05-16,1.0006763952212314,-1.4299969659977645,-0.03235298758188173
137,137,137,05-17,1.9326654412671345,1.705223221684966,-0.060853497892941276
138,138,138,05-18,1.4063057789488362,-0.06545578606048956,0.15296566827927507
139,139,139,05-19,1.5563345561576751,0.4392424751842447,0.2567453892891312
140,140,140,05-20,1.5957825155375651,0.5719457930348588,0.5807833434264018
141,141,141,05-21,1.5207434348153992,0.3195135978889717,0.001263699843009003
142,142,142,05-22,1.578625896080254,0.5142307588258591,-0.09078120934422357
143,143,143,05-23,0.8990424212762894,-1.7718946398153907,-0.11060387323138823
144,144,144,05-24,1.2421357839153548,-0.6177252411838849,-0.3229331872628883
145,145,145,05-25,1.5209791338899803,0.3203064918612567,-0.10802151919375312
146,146,146,05-26,1.2170749613901928,-0.7020300911541413,-0.2798278589042024
147,147,147,05-27,1.9040568390122388,1.6089836063037823,0.2148806373221916
148,148,148,05-28,1.2721945444059195,-0.5166072794368366,0.3807041522479467
149,149,149,05-29,1.7813974812753433,1.1963563375429729,0.3545673467754549
150,150,150,05-30,1.5378962541269081,0.3772158483706455,0.2618863176366787
151,151,151,05-31,1.4743618982112343,0.16348565902630627,-0.13247775691554328
152,152,152,06-01,1.05177039182991,-1.2581162659867988,0.044736670995814264
153,153,153,06-02,1.2006746668496735,-0.7572008410095494,-0.1167264655442113
154,154,154,06-03,1.588271685520686,0.5466792880313086,0.05007011663932965
155,155,155,06-04,1.4934141201320732,0.22757751830281994,0.15007040594225318
156,156,156,06-05,1.8353922733035104,1.3779953414718913,0.2955760524114442
157,157,157,06-06,1.6527209964293983,0.7634873948438474,0.3319478881778416
158,158,158,06-07,1.3112921999246914,-0.3850823871716529,0.19943998485123107
159,159,159,06-08,1.2655469574505789,-0.538969826411165,0.16716359310522666
160,160,160,06-09,1.3519324678158129,-0.2483681319283545,0.05986370505637827
161,161,161,06-10,1.4358464054216191,0.03391916782679347,-0.1567405267080114
162,162,162,06-11,1.6440137142542508,0.7341960131788009,0.01814976021612243
163,163,163,06-12,1.2663887596225059,-0.5361379957424907,0.3197710989246798
164,164,164,06-13,1.6232240361258152,0.6642593343731501,0.4783392486892686
165,165,165,06-14,1.8035145008488864,1.2707582058401794,0.6038308822975643
166,166,166,06-15,1.6347523715909116,0.7030407666591779,0.37276333786070975
167,167,167,06-16,1.6596715039320649,0.7868689694765675,0.5007639315709966
168,168,168,06-17,1.2318849180224771,-0.6522092534423263,0.3855745164833923
169,169,169,06-18,1.4946888037993675,0.2318655665192305,0.2621074529804344
170,170,170,06-19,1.4177738285062431,-0.026877156152476142,0.3773518844588297
171,171,171,06-20,1.583300396874403,0.5299558248224324,0.3567281484308857
172,172,172,06-21,1.840300705665088,1.3945073555295493,0.6554667465074732
173,173,173,06-22,1.6228873007515046,0.6631265533089038,0.5990871038965249
174,174,174,06-23,1.764710846100478,1.1402223350171992,0.5493946909301507
175,175,175,06-24,1.3941308725768913,-0.10641228914645924,0.4147070224919188
176,176,176,06-25,1.3291431452677296,-0.3250316339507208,0.4018771500699563
177,177,177,06-26,1.3430733810206812,-0.2781701858069595,0.5400040011087067
178,178,178,06-27,1.8174175271124395,1.3175281209977745,0.5135136484528755
179,179,179,06-28,1.8692483939315216,1.4918876595414057,0.927000995845752
180,180,180,06-29,1.7174630286780432,0.9812802190822124,0.8813920902587947
