,unnamed: 0,unnamed: 0,mth_day,love triangle,love triangle_norm,love triangle_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.9373994599510987,-0.061655562532440665,
2,2,2,01-03,0.5286562026313606,-1.8207588560146373,
3,3,3,01-04,0.6754015284308256,-1.1892128150850194,
4,4,4,01-05,0.5305538845491939,-1.8125918258511744,-1.4175271708542818
5,5,5,01-06,0.4535571478577993,-2.143961727802272,-1.5517037706941774
6,6,6,01-07,0.6085357499118667,-1.4769822378401471,-1.3020388136631882
7,7,7,01-08,0.7503367194815009,-0.866715161571812,-1.1818001063581332
8,8,8,01-09,0.8767274096612683,-0.32276911382870205,-1.0131733414749169
9,9,9,01-10,0.8430327109607453,-0.4677805712546886,-0.5617517652343411
10,10,10,01-11,0.7656454339938534,-0.8008312365518763,-0.15464205230387473
11,11,11,01-12,1.082907997852729,0.5645677296411816,-0.04165605042632895
12,12,12,01-13,1.1761090724094967,0.96567603974265,-0.264913947856297
13,13,13,01-14,0.9078565192911288,-0.1887991503065373,-0.01572643591061047
14,14,14,01-15,0.5654716901500886,-1.6623164984085104,-0.004256811225679243
15,15,15,01-16,1.1904382863813632,1.0273445004194306,-0.2054548207486047
16,16,16,01-17,0.7816358483304898,-0.7320134884422889,-0.3853288384789335
17,17,17,01-18,0.8024071423883915,-0.6426203274963711,-0.4624652695565938
18,18,18,01-19,0.9253371290448406,-0.11356806663932224,-0.20640422518104945
19,19,19,01-20,0.8003165145164582,-0.6516177367724993,-0.28270291996656965
20,20,20,01-21,0.9224600230304284,-0.12595023215524415,-0.1916574394753783
21,21,21,01-22,1.0840662143668427,0.5695523317063093,-0.1015461326438335
22,22,22,01-23,0.9085671993140136,-0.1857406054951408,-0.14224452508808502
23,23,23,01-24,0.928036112144067,-0.10195248650710226,-0.2635161283859939
24,24,24,01-25,0.8685973336377936,-0.35775842130483143,-0.2808491983239014
25,25,25,01-26,0.6312453166986728,-1.3792473565599528,-0.5750392794049312
26,26,26,01-27,0.8982950675374057,-0.2299486517826887,-0.4965440649491995
27,27,27,01-28,0.6739201616895727,-1.1955881547798697,-0.2303618668319989
28,28,28,01-29,1.0180015563282692,0.2852306812392493,-0.10080164481789307
29,29,29,01-30,1.2991348842357706,1.4951407021961014,-0.15514185785840076
30,30,30,01-31,1.0492241360364785,0.4196029107798037,-0.1779033193297597
31,31,31,02-01,0.5554867330023467,-1.705288634802999,0.004473298128808034
32,32,32,02-02,0.866562102437633,-0.3665174206108423,-0.08230906312337223
33,33,33,02-03,0.928181112556442,-0.10132845002846316,-0.2816996512861628
34,34,34,02-04,0.8970136468147902,-0.23546348627383226,-0.3648538503991152
35,35,35,02-05,1.0211538511041909,0.2987971732193581,0.027653449735520457
36,36,36,02-06,0.9332944404995192,-0.07932228389791095,-0.0716342457560747
37,37,37,02-07,1.102702054489996,0.6497551660048151,-0.09071713213260127
38,38,38,02-08,0.7281398407636094,-0.9622435935604132,0.3792344519999335
39,39,39,02-09,0.9015766448182336,-0.2158257682876225,0.188481280768805
40,40,40,02-10,1.5521981672211718,2.5842460185213763,0.2779487034355672
41,41,41,02-11,0.7552147007132924,-0.8457218541674127,0.14159538508282365
42,42,42,02-12,1.058025737065138,0.4574822521026622,0.24691189873401306
43,43,43,02-13,0.9126046348682196,-0.16836474411164604,0.5096521973927706
44,44,44,02-14,0.8749671987664435,-0.33034451165327683,0.2901761110426668
45,45,45,02-15,1.2678768816520347,1.3606160236649223,0.4980485942905551
46,46,46,02-16,1.2462148718538582,1.2673895004207532,0.4490864680549959
47,47,47,02-17,1.045020795300351,0.40151304531991744,0.6120271352293922
48,48,48,02-18,0.9897650304756808,0.16370949468930682,0.6622254045307504
49,49,49,02-19,1.1397688928085559,0.8092792589347321,0.4301771514053865
