,unnamed: 0,unnamed: 0,mth_day,owen wilson,owen wilson_norm,owen wilson_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.05215126676080845,-0.8946013829029392,
2,2,2,01-03,0.10194696672603687,-0.3037434199820485,
3,3,3,01-04,0.2489141615506913,1.4401167408537214,
4,4,4,01-05,0.1531855369547391,0.30423512534315755,-0.060490092216518736
5,5,5,01-06,0.12620900019555129,-0.015858809822417212,-0.12259906949354787
6,6,6,01-07,0.052278742044364813,-0.8930888067885866,-0.18572222086069376
7,7,7,01-08,0.020745140161327686,-1.267255246565114,-0.5204388146820881
8,8,8,01-09,0.07002801120448178,-0.6824823281849236,-0.6645903696847938
9,9,9,01-10,0.07966082360546027,-0.5681828220746447,-0.8352427513676423
10,10,10,01-11,0.08029362688940657,-0.5606742046730768,-0.8260371029765331
11,11,11,01-12,0.0399166389523618,-1.0397730999195072,-0.5764683634996343
12,12,12,01-13,0.05693368520196863,-0.8378549164419323,-0.4958407407642366
13,13,13,01-14,0.14694247540843666,0.2301571902962797,-0.3065291513943891
14,14,14,01-15,0.11079830622557853,-0.1987165917725376,-0.1031894646084884
15,15,15,01-16,0.1753884301957123,0.5676867141444407,0.1981081407854207
16,16,16,01-17,0.18311470406497046,0.6593639160423271,0.17813147626476175
17,17,17,01-18,0.19227127678377914,0.7680125324439472,-0.0215409382089083
18,18,18,01-19,0.04683225248681088,-0.957714903565886,-0.19425852295289814
19,19,19,01-20,0.04597579712272987,-0.9678772965457404,-0.3519937963282806
20,20,20,01-21,0.02346165103913916,-1.2350221002364767,-0.6411272658200536
21,21,21,01-22,0.0956277549758494,-0.3787249261078537,-0.8303642731233527
22,22,22,01-23,0.0369110030041231,-1.0754369009083116,-0.7434606863754908
23,23,23,01-24,0.09658138348276113,-0.36740951137584665,-0.7141607550913128
24,24,24,01-25,0.09077606169137396,-0.4362933830787141,-0.5076970654512519
25,25,25,01-26,0.0607916480932354,-0.7920777088406731,-0.3697953215801513
26,26,26,01-27,0.12786241658563338,0.003760037603888643,-0.11505056273982675
27,27,27,01-28,0.16535937536604295,0.4486855371187496,0.004102720096864586
28,28,28,01-29,0.1657256526321152,0.4530316521336365,0.2046708571471583
29,29,29,01-30,0.15683262653288438,0.3475101856443014,0.2424769865274452
30,30,30,01-31,0.19219567251393416,0.7671154392230481,0.08533941642348243
31,31,31,02-01,0.07990875704606266,-0.5652409325589517,-0.13259326039268812
32,32,32,02-02,0.04840397697540548,-0.939065383019888,-0.3999774144579838
33,33,33,02-03,0.055159183085888144,-0.8589105237782737,-0.31031189173351104
34,34,34,02-04,0.030519745830369517,-1.1512732722581376,-0.39400951558993375
35,35,35,02-05,0.2021730407814204,0.885503321991138,-0.3130958658045428
36,36,36,02-06,0.14987299572623056,0.264929696084512,-0.2911043654123864
37,37,37,02-07,0.12082368497107765,-0.07975903384660546,-0.27437674023003106
38,38,38,02-08,0.05952423487867056,-0.8071163806669496,-0.07003979530376232
39,39,39,02-09,0.06361770127791147,-0.7585447726841417,0.012770373005606664
40,40,40,02-10,0.13384509818130885,0.07474839729947459,-0.06260145792189781
41,41,41,02-11,0.24404696535190645,1.3823643318473522,-0.08303246174117081
42,42,42,02-12,0.11176035295020237,-0.1873012894805149,0.19133092603096333
43,43,43,02-13,0.1104925103062538,-0.20234505676224346,0.2996184781541649
44,44,44,02-14,0.1982592723628724,0.8390639459658553,0.15030256585771914
45,45,45,02-15,0.11837456123971528,-0.10881945994493222,-0.175538358890303
46,46,46,02-16,0.05834177079624313,-0.8211470764791998,-0.2471981510500103
47,47,47,02-17,0.07928171268507392,-0.572681216640781,-0.21695199008331664
48,48,48,02-18,0.07552474574285895,-0.6172600424387585,-0.5013717909767228
49,49,49,02-19,0.12578683331903312,-0.02086809096208146,-0.589039620141627
50,50,50,02-20,0.05443909264207221,-0.8674548593945816,-0.6526571900596472
51,51,51,02-21,0.07404430396991901,-0.6348264349343575,-0.6060464609549846
52,52,52,02-22,0.02617280678505163,-1.2028524959873208,-0.6166449106576434
53,53,53,02-23,0.10285096987354383,-0.29301684201280576,-0.4538129249310981
54,54,54,02-24,0.07016551640576539,-0.6808507406547113,-0.3243393595828455
55,55,55,02-25,0.2081247204068004,0.9561238233971906,-0.3317648100313333
56,56,56,02-26,0.11990890655442045,-0.09061346730506634,-0.3249112059605341
57,57,57,02-27,0.07028953860317981,-0.6793791376252846,-0.2321402964739543
58,58,58,02-28,0.029638411381149924,-1.1617308715625256,-0.07959501905629551
59,59,59,02-29,0.14976165904958466,0.2636086149066731,-0.1944244898450651
60,60,60,03-01,0.14730180981731045,0.2344209238512414,-0.2633012561533304
61,61,61,03-02,0.15005986319851278,0.2671469986645731,-0.3178619788852921
62,62,62,03-03,0.08508056873150374,-0.5038740651546578,-0.17655565067989445
63,63,63,03-04,0.042700274689911236,-1.0067434740170549,-0.451594825011504
64,64,64,03-05,0.1010915994304698,-0.3138929023301395,-0.4719849733421776
65,65,65,03-06,0.010684902233144536,-1.3866264310829841,-0.6742450543279911
66,66,66,03-07,0.1369912942053883,0.11208003386719972,-0.7697814776157464
67,67,67,03-08,0.04778470125004774,-0.9464134872503082,-0.619968526324973
68,68,68,03-09,0.03677146534289389,-1.077092604881189,-0.7391693307618334
69,69,69,03-10,0.11845493562231756,-0.10786576627241497,-0.7297640121321699
70,70,70,03-11,0.04081632653061218,-1.029097728951302,-0.8738401030339937
71,71,71,03-12,0.015440810968755188,-1.330194519305003,-0.799864531498292
72,72,72,03-13,0.06413754344020724,-0.7523765115437429,-0.5895429056742878
73,73,73,03-14,0.08519130922809369,-0.5025600580360979,-0.0665821527787704
74,74,74,03-15,0.1431230411831272,0.1848371500628355,0.2672664909223704
75,75,75,03-16,0.3828961216160665,3.0298987511006894,0.5362762095052637
76,76,76,03-17,0.20963077540450764,0.9739941332555424,0.5608180915244309
77,77,77,03-18,0.1514687033718348,0.2838637921923562,0.5961713783796256
78,78,78,03-19,0.07654743147049291,-0.6051252194287392,0.6024926643609535
79,79,79,03-20,0.10306810983502704,-0.2904403369049295,0.2428597811989689
80,80,80,03-21,0.1463194729471796,0.22276486595080214,0.1153649460889946
81,81,81,03-22,0.20104357222464603,0.8721014521287819,-0.1437637173862398
82,82,82,03-23,0.1451615294469721,0.20902512259569656,-0.03699026172381081
83,83,83,03-24,0.020437281386604937,-1.2709081886590503,0.015965614999629958
84,84,84,03-25,0.13053867095011182,0.03551551454583463,-0.1394233852039002
85,85,85,03-26,0.12984586470200318,0.02729492343571516,-0.2933072172517765
86,86,86,03-27,0.06774521804049435,-0.7095691352703788,-0.41152817644002376
87,87,87,03-28,0.12323042309883875,-0.05120154015847644,-0.1954637715152043
88,88,88,03-29,0.08538172669128688,-0.5003006325337865,-0.1944802361711805
89,89,89,03-30,0.1296927602595447,0.02547824088986639,-0.303297177580505
90,90,90,03-31,0.1310360070339391,0.04141672660997756,-0.11663459626132062
91,91,91,04-01,0.07482131289162443,-0.6256067250202322,-0.08458436291593814
92,92,92,04-02,0.16213332290572052,0.41040635264472747,0.05787497255572471
93,93,93,04-03,0.13943699628870612,0.1410998599138184,0.041385966739084665
94,94,94,04-04,0.15741794627263356,0.3544553802961906,0.09738084777108276
95,95,95,04-05,0.12135490272460026,-0.07345579400997394,0.1711761453772254
96,96,96,04-06,0.1593504697688488,0.377386012801966,0.01736634089443619
97,97,97,04-07,0.11213676326085864,-0.1828349393833762,-0.152007749124864
98,98,98,04-08,0.08435760667903527,-0.5124524742520078,0.1558067353498996
99,99,99,04-09,0.053791018089909534,-0.8751446802019827,-0.04196870569089784
100,100,100,04-10,0.3130679197933494,2.2013422871447723,-0.15014785811835082
101,101,101,04-11,0.021347451114337074,-1.2601084402547589,-0.19034947449051465
102,102,102,04-12,0.10464842337373503,-0.271688901762752,-0.1993741787962676
103,103,103,04-13,0.09180834845447126,-0.4240446376163592,-0.15386173307399942
