,unnamed: 0,unnamed: 0,mth_day,london,london_norm,london_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.05382439714236949,-0.4057800649827434,
2,2,2,01-03,0.04622268140796449,-0.5085694066321496,
3,3,3,01-04,0.03632680733355187,-0.6423800379019489,
4,4,4,01-05,0.02790178571428572,-0.7563020070841027,-0.4966876667599279
5,5,5,01-06,0.06523932403329387,-0.251429013050642,-0.2805707479041337
6,6,6,01-07,0.053093328681797336,-0.4156654709079807,-0.2324848935678667
7,7,7,01-08,0.1497210741426378,0.8909214481520223,-0.28263344553942543
8,8,8,01-09,0.06755962099594674,-0.22005428061454765,-0.28887283712165945
9,9,9,01-10,0.01407459535538353,-0.9432713497313014,-0.26296510253662664
10,10,10,01-11,0.025133205991756304,-0.7937383565775067,0.25080483013499705
11,11,11,01-12,0.0767352571997636,-0.09598260554044513,0.05529961663220664
12,12,12,01-13,0.2810663608104633,2.6669541251217606,-0.06456643930547044
13,13,13,01-14,0.06297034490586048,-0.28210983286472024,0.5296074074209621
14,14,14,01-15,0.014371945961483213,-0.93925061624061,0.6442522347276604
15,15,15,01-16,0.2777249276070269,2.6217717306272936,0.6038076516614462
16,16,16,01-17,0.0760040865881887,-0.10586939273731724,0.052097246895484194
17,17,17,01-18,0.05878894767783665,-0.3386501039377297,0.009127347206671708
18,18,18,01-19,0.03625815808556932,-0.6433083034740112,0.029612301598630337
19,19,19,01-20,0.04390348696152003,-0.5399292309975952,-0.4321781999472484
20,20,20,01-21,0.023461651039139216,-0.8163408898888583,-0.5503572079730527
21,21,21,01-22,0.07281651597968003,-0.14897127864797874,-0.6235194248671839
22,22,22,01-23,0.023564998427651505,-0.8149434408921425,-0.5856300439328729
23,23,23,01-24,0.026324976234668087,-0.7776234053025175,-0.4553631296362381
24,24,24,01-25,0.0530706582101996,-0.4159720178681448,-0.26881991690060336
25,25,25,01-26,0.10170629236085812,0.24167225478221346,-0.29427764967316034
26,26,26,01-27,0.10623570830875073,0.30291838652495,-0.1822333154992045
27,27,27,01-28,0.06152026027802425,-0.3017176752833205,-0.17287399387012606
28,28,28,01-29,0.07328197283611712,-0.14267743584840736,-0.2143333585288304
29,29,29,01-30,0.030477949763798595,-0.7214674755280469,-0.44354307904097867
30,30,30,01-31,0.034674063800277426,-0.6647282058203708,-0.6829604881769163
31,31,31,02-01,3.1720657846433036e-17,-1.1335860682906764,-0.7917398153760759
32,32,32,02-02,3.1720657846433036e-17,-1.1335860682906764,-0.9519136866216652
33,33,33,02-03,0.013252054068380632,-0.9543936384782776,-0.9315840362970941
34,34,34,02-04,0.0022086756780634645,-1.1037206633219432,-0.968131526868638
35,35,35,02-05,0.0394987424024567,-0.5994895735806187,-0.8004497218879384
36,36,36,02-06,0.018456995201181298,-0.8840131492496349,-0.8004497218879384
37,37,37,02-07,0.0744047619047619,-0.12749523840647958,-0.4664055555848876
38,38,38,02-08,3.1720657846433036e-17,-1.1335860682906764,-0.3430448685530205
39,39,39,02-09,0.16147610653676853,1.049871359340028,-0.4320609510046967
40,40,40,02-10,0.056947009083231616,-0.36355654113074093,-0.4736564375115369
41,41,41,02-11,5.551115123125783e-17,-1.133586068290676,-0.632660370105095
42,42,42,02-12,5.551115123125783e-17,-1.133586068290676,-0.3681445539769056
43,43,43,02-13,0.0038505968425106454,-1.081518833967828,-0.5847022309325615
44,44,44,02-14,0.11737252185069848,0.4535088284784602,-0.3323788075604739
45,45,45,02-15,0.06538385374649977,-0.2494747023939076,-0.14534773498091086
46,46,46,02-16,0.16890945033412072,1.1503839991017848,0.34466552713952403
47,47,47,02-17,0.08299053332397274,-0.01139963281329755,0.6912857925574079
48,48,48,02-18,0.2174315818132038,1.8064935044319328,0.5682914821723559
49,49,49,02-19,0.1576549903648223,0.9982027585394754,0.801537879154632
50,50,50,02-20,0.06279675925741349,-0.2844570338318513,0.4628406816078377
51,51,51,02-21,0.16888132405705242,1.1500036794997488,0.2941334033118797
52,52,52,02-22,0.01862072733176524,-0.8817991861789813,-0.06475841475656392
53,53,53,02-23,0.00813074233677538,-1.0236433025890452,-0.1408485187940637
54,54,54,02-24,0.05818198239469046,-0.34685740397872833,0.029924060312603976
55,55,55,02-25,0.12389183952761385,0.5416621343144767,-0.35067423098580025
56,56,56,02-26,0.13857297773118435,0.7401784408081548,-0.03767894396984569
57,57,57,02-27,0.0,-1.1335860682906769,-0.056002738253450916
58,58,58,02-28,0.15750484663388778,0.9961725359167464,-0.016053685795516127
59,59,59,02-29,0.0,-1.1335860682906769,-0.2777961283028459
60,60,60,03-01,0.07590841214534594,-0.10716308923111956,-0.5087311373665201
61,61,61,03-02,0.0077499354172048535,-1.0287925207295017,-0.4855024890575055
62,62,62,03-03,0.03610113013367986,-0.6454316135738903,-0.8404622564254093
63,63,63,03-04,0.01030715316429602,-0.9942141784365888,-0.7958709731064421
64,64,64,03-05,0.0,-1.1335860682906769,-0.7824274956742377
65,65,65,03-06,0.019786307874950528,-0.8660383683768736,-0.5414359594865115
66,66,66,03-07,0.08187363143452488,-0.026502224637893045,-0.6227950352726425
67,67,67,03-08,0.11468412468821415,0.41715669639685615,-0.4806388896280905
68,68,68,03-09,0.0,-1.1335860682906769,-0.3190124715382193
69,69,69,03-10,0.07338551859099803,-0.14127730456927706,-0.2585503446788124
70,70,70,03-11,0.07171782983180885,-0.1638275597514497,-0.2312803393219903
71,71,71,03-12,0.04661492028013957,-0.5032656072204319,-0.22702839420947585
72,72,72,03-13,0.0939740394421168,0.1371178075030392,-0.10823341283830973
