,unnamed: 0,unnamed: 0,mth_day,historical,historical_norm,historical_ravg
0,0,0,01-01,,,
1,1,1,01-02,5.877337309784184,0.13755156187096532,
2,2,2,01-03,5.312341356846468,-0.6108938241027331,
3,3,3,01-04,4.590357187944585,-1.567300179141241,
4,4,4,01-05,4.623514952106423,-1.523376367887203,-0.9670117234592692
5,5,5,01-06,5.024053992464928,-0.9927856705557772,-1.1614212576104548
6,6,6,01-07,4.8334585416315505,-1.2452658609396259,-1.4745175514076647
7,7,7,01-08,4.99678728917023,-1.028905643036147,-1.3255527538766512
8,8,8,01-09,3.894216730598013,-2.4894715868859936,-1.01774316273056
9,9,9,01-10,5.265071810915083,-0.6735113939551611,-0.9091646051627286
10,10,10,01-11,6.017694219148357,0.3234811789893443,-0.704242059174976
11,11,11,01-12,5.515844950773772,-0.3413143251487896,-0.6400309896776163
12,12,12,01-13,5.7616257371429285,-0.015730585013110542,-0.2992120565961148
13,13,13,01-14,5.287622092187526,-0.6436392260519893,-0.13288578191264253
14,14,14,01-15,5.437907063795143,-0.444557988396984,-0.3976916026161845
15,15,15,01-16,6.018422747332008,0.3244462541456724,-0.2495464206567808
16,16,16,01-17,4.818294344562641,-1.2653537452319077,-0.2894375410214422
17,17,17,01-18,6.186847242908093,0.5475567666076332,-0.21626195354260366
18,18,18,01-19,5.5809446454836085,-0.25507730720107946,-0.22515924426969405
19,19,19,01-20,5.619060389924615,-0.20458570117895788,-0.3324131059410864
20,20,20,01-21,5.397608065253975,-0.4979417327595261,-0.5622090544279622
21,21,21,01-22,5.532631808538717,-0.31907691588268183,-0.8206947920836979
22,22,22,01-23,3.7774666502801,-2.644129436153162,-0.9648362009308696
23,23,23,01-24,5.0160732753918325,-1.0033576593267808,-1.280209566675642
24,24,24,01-25,4.9280768677490165,-1.1199257602841095,-1.5000254859549729
25,25,25,01-26,4.190622093829052,-2.0968258956475925,-1.5635355404721378
26,26,26,01-27,4.401983477716174,-1.8168372484355115,-1.120996927299831
27,27,27,01-28,5.2449721520385735,-0.7001372429856717,-0.8962074206036236
28,28,28,01-29,5.781881642850921,0.01110224288067803,-0.7231697968166041
29,29,29,01-30,6.034225011721884,0.3453793808504632,-0.4485030233070457
30,30,30,01-31,5.711825894554247,-0.08170001756199248,-0.3015638464344483
31,31,31,02-01,5.4346857357270135,-0.448825254590242,-0.25577830738668045
32,32,32,02-02,5.0675233432844085,-0.9352021871999268,-0.4139766114929611
33,33,33,02-03,5.452351165256003,-0.4254240086990647,-0.6429921084431433
34,34,34,02-04,5.0653451800170135,-0.9380875817570062,-0.8009540723646937
35,35,35,02-05,4.996932260412813,-1.0287136008506297,-0.6908261279163543
36,36,36,02-06,4.996359900591348,-1.029471801091296,-0.40326220562137616
37,37,37,02-07,5.933494419043671,0.2119424120997945,-0.2380768844272516
38,38,38,02-08,6.370002765449767,0.7901813465699421,-0.09360029381271004
39,39,39,02-09,6.200534316960356,0.5656879184656829,0.06315531077713395
40,40,40,02-10,5.719731115353575,-0.07122803806975693,0.27702698962431543
41,41,41,02-11,5.7069342233083065,-0.08817997331156555,0.4110900546834696
42,42,42,02-12,5.965060906125228,0.2537582719917931,0.7231764430313107
43,43,43,02-13,6.540713788283068,1.0163208024547192,0.5666895245040903
44,44,44,02-14,7.783553170232475,2.662699676656989,0.31518867308188386
45,45,45,02-15,5.491749328937083,-0.3732335926976391,0.1870391341966341
46,46,46,02-16,4.58059418530965,-1.5802331466029955,0.21938765667924195
47,47,47,02-17,5.12649932025812,-0.8570772066230641,-0.11569553466986784
48,48,48,02-18,6.1115788856227775,0.4478494068874401,-0.5257368333375297
49,49,49,02-19,5.023002672220252,-0.9941783456399396,-0.7289505964760759
50,50,50,02-20,5.926330089220424,0.20245188465101768,-0.4435526274712662
51,51,51,02-21,4.571321819545847,-1.592516171528917,-0.22541113467298665
52,52,52,02-22,5.873263233602996,0.1321546674258622,-0.34327762505443604
53,53,53,02-23,6.114539833903433,0.4517717501666136,-0.1405631197083766
54,54,54,02-24,5.577719571632715,-0.2593495354012557,0.05813698016321664
55,55,55,02-25,5.9411688652548325,0.2221086864364168,0.3478976618982048
56,56,56,02-26,6.826313610099918,1.3946524838805772,0.26057598233843565
57,57,57,02-27,5.883751147607695,0.14604791888101235,-0.07510730008324154
58,58,58,02-28,5.47775224659243,-0.39177540993275256,-0.029591858356630123
59,59,59,02-29,4.594110691645931,-1.5623279443634497,-0.3560265917729281
60,60,60,03-01,5.783875217885398,0.013743114958412829,-0.5787021836276448
61,61,61,03-02,4.462629695384191,-1.7364997140613707,-0.6115764633323089
62,62,62,03-03,5.817736546973925,0.05859893275227732,-0.6743557869039702
63,63,63,03-04,5.734851826398996,-0.05119775934697235,-0.7082309984578391
64,64,64,03-05,5.1934023307998896,-0.7684513513627211,-0.8732808451220692
65,65,65,03-06,4.4406777936026485,-1.7655792136866633,-0.9998812230514637
66,66,66,03-07,5.036305678577226,-0.9765559650269684,-1.065229801382359
67,67,67,03-08,3.8892114940486007,-2.4961019816377386,-0.9080133511622442
68,68,68,03-09,5.5217495613170735,-0.33349253723309324,-0.6810755638150394
69,69,69,03-10,6.446941123287681,0.8921009419737144,-0.5148262524403484
70,70,70,03-11,6.2212843953249015,0.5931753727205079,-0.5906198130757729
71,71,71,03-12,5.193680135783031,-0.7680833454385171,-0.3816458031323111
72,72,72,03-13,4.693009648002786,-1.431317328839517,-0.4165909113600888
73,73,73,03-14,4.835729212775278,-1.2422579219769658,-0.7810834360117415
74,74,74,03-15,5.363470720185767,-0.5431631865997596,-0.8289372688734495
75,75,75,03-16,4.796024662338548,-1.2948542059362014,-1.0829983100823677
76,76,76,03-17,6.0045373427854685,0.30605237555025994,-0.8301244871171308
77,77,77,03-18,4.042947194363907,-2.292449592692024,-0.9027373730743384
78,78,78,03-19,5.838365255159414,0.08592560895190186,-0.9742708762640332
79,79,79,03-20,4.506839590640109,-1.6779352377202108,-0.8008504290510503
80,80,80,03-21,5.039470007035095,-0.9723642057379286,-0.8165031904180285
81,81,81,03-22,5.581507632785459,-0.2543315226583038,-0.237265125753904
82,82,82,03-23,5.933640411703688,0.21213580734839,-0.29419636665080023
83,83,83,03-24,6.666522689296862,1.182978795292724,-0.0225096328998103
