,unnamed: 0,unnamed: 0,mth_day,whimsical,whimsical_norm,whimsical_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.4998059840551865,-0.9968195971668772,
2,2,2,01-03,3.3390591717984246,-1.2805767117134426,
3,3,3,01-04,2.8352852850130623,-2.169859817805705,
4,4,4,01-05,2.5992170777792096,-2.5865774645224664,-1.523715978411589
5,5,5,01-06,3.2609394212652214,-1.4184770202122008,-1.623258423706479
6,6,6,01-07,3.673625913899778,-0.6899852590488407,-1.6254494681953473
7,7,7,01-08,3.161464565741161,-1.5940742689362195,-1.2724728350531678
8,8,8,01-09,3.331611885389531,-1.2937229786466502,-0.8951088838984065
9,9,9,01-10,4.035040970492135,-0.05200001895262752,-0.9854190458044488
10,10,10,01-11,3.8818644356580134,-0.32239375759389755,-0.9715038324205788
11,11,11,01-12,2.953978223185953,-1.960337991648455,-0.8713303594027817
12,12,12,01-13,3.720923255435776,-0.6064939787456214,-0.7278907970076766
13,13,13,01-14,3.501950826028189,-0.9930334308294362,-0.5290397646116578
14,14,14,01-15,3.819158125983986,-0.4330856042760183,-0.5387665760880038
15,15,15,01-16,4.710928930997468,1.1411061754234848,-0.09546136152209699
16,16,16,01-17,3.848803331112805,-0.3807546264519733,-0.01822994375499581
17,17,17,01-18,4.460757714064415,0.6994932957469862,-0.11508273025049635
18,18,18,01-19,3.983430242764781,-0.14310547214301436,-0.4469721751189484
19,19,19,01-20,3.1727514673679167,-1.5741501498024395,-0.7457639956481491
20,20,20,01-21,2.6910770830923205,-2.424422273486731,-0.5497367708552022
21,21,21,01-22,3.69534559828956,-0.6516447477517189,-0.7770964043323879
22,22,22,01-23,4.515093264699681,0.7954087223057075,-1.000804499241205
23,23,23,01-24,3.6879699788411116,-0.6646645051161284,-1.083782447683632
24,24,24,01-25,3.223053964127562,-1.4853540415959183,-0.999116658328581
25,25,25,01-26,2.8907122158543737,-2.072017840457,-1.2675732606177201
26,26,26,01-27,2.9788532490103066,-1.916427537356425,-1.4629293037614075
27,27,27,01-28,2.7828706504902425,-2.262384361486556,-1.4093052202529537
28,28,28,01-29,3.851084654928831,-0.37672753655641744,-1.410157737100212
29,29,29,01-30,3.870236432275036,-0.3429200040654039,-1.2227212324886458
30,30,30,01-31,3.2201562880820966,-1.4904691426794692,-1.1729749818568154
