,unnamed: 0,unnamed: 0,mth_day,will smith,will smith_norm,will smith_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4686051293434555,-0.21715740957752008,
2,2,2,01-03,0.3614418694899672,-0.7919777967325595,
3,3,3,01-04,0.26936205556567444,-1.285891049852052,
4,4,4,01-05,0.3211441510285309,-1.0081335030738643,-0.844976864346744
5,5,5,01-06,0.4895316265004685,-0.10490833079773293,-0.8451047280417874
6,6,6,01-07,0.19928296728700154,-1.6617930960467362,-0.7473802327103183
7,7,7,01-08,0.468462104245349,-0.21792459174777964,-0.5448449142070504
8,8,8,01-09,0.4707540204290321,-0.205630824743745,-0.5564334216998085
9,9,9,01-10,0.4959129446915398,-0.07067913883244459,-0.8259522480020914
10,10,10,01-11,0.3081815393935448,-1.0776645480304126,-0.64764649896019
11,11,11,01-12,0.1880546782517772,-1.7220212886114314,-0.7123923823505424
12,12,12,01-13,0.39873127230469857,-0.5919586017953276,-0.6041809017160826
13,13,13,01-14,0.3960389952403521,-0.6063998920898938,-0.6790319780305142
14,14,14,01-15,0.591796648117534,0.4436380590630134,-0.2652635783836361
15,15,15,01-16,0.4121864222441037,-0.519785596719034,-0.04477424938670649
16,16,16,01-17,0.7710124151386764,1.4049458498508565,-0.09396434763005583
17,17,17,01-18,0.4346884698105263,-0.3990853146298541,0.07685203202781636
18,18,18,01-19,0.3437084714639669,-0.8870991912554236,0.093908101456316
19,19,19,01-20,0.587109880924559,0.41849838585733934,0.265521980635304
20,20,20,01-21,0.6108751363662723,0.5459744756340111,-0.06600102954824273
21,21,21,01-22,0.6041493707394856,0.5098976783548944,0.03819309391671572
22,22,22,01-23,0.4001791536719659,-0.5841922112504241,0.22033876952971035
23,23,23,01-24,0.5512373832895137,0.2260794261598964,0.1025538650677988
24,24,24,01-25,0.5474520213075443,0.2057748624225444,-0.24166042242206945
25,25,25,01-26,0.4553586632670785,-0.2882110409141301,-0.4479458306765311
26,26,26,01-27,0.2258457328185763,-1.5193112493051983,-0.4258295146564349
27,27,27,01-28,0.3734037259842656,-0.7278147711718751,-0.5636184949609561
28,28,28,01-29,0.4249179058835244,-0.4514943151298468,-0.6955939095699258
29,29,29,01-30,0.39711011190582185,-0.6006544556672309,-0.6918177418311714
30,30,30,01-31,0.3998276575996688,-0.5860776252312748,-0.7148875207844322
31,31,31,02-01,0.4595825890743171,-0.26555403448160325,-0.525732603196899
32,32,32,02-02,0.20004046106438544,-1.6577299230247635,-0.5739017644746962
33,33,33,02-03,0.5849876367740966,0.4071147343533245,-0.5574857591076096
34,34,34,02-04,0.3710370993329567,-0.7405092827966306,-0.5439698228051033
35,35,35,02-05,0.4154726406701492,-0.5021584234647108,-0.6882309336941841
36,36,36,02-06,0.41494624239431016,-0.5049820074162371,-0.6148006008171819
37,37,37,02-07,0.29821575597217354,-1.1311206998160883,-0.8238898100590509
38,38,38,02-08,0.2821777758054915,-1.2171479257627509,-0.7403636099113605
39,39,39,02-09,0.3511057310875817,-0.8474205210978901,-0.5578968796545158
40,40,40,02-10,0.464467396076282,-0.2393520819104888,-0.05554923298100284
41,41,41,02-11,0.6195753141251527,0.5926419580763573,0.4166108485873821
42,42,42,02-12,0.9768596254289544,2.509103872624841,1.4045036677105558
43,43,43,02-13,0.8263620915325701,1.7018397895942217,1.6699028256526989
44,44,44,02-14,1.3872097188135035,4.7102089889762935,1.5954235675592434
45,45,45,02-15,0.6479745224143559,0.7449744265549664,1.331082566642894
46,46,46,02-16,0.3811567800948285,-0.6862276304712212,0.9249629654986334
47,47,47,02-17,0.32389015050736164,-0.9934040474217402,0.5831233502876729
48,48,48,02-18,0.5225845024005256,0.07238626575927769,0.07284079725774066
49,49,49,02-19,0.4439889363871024,-0.349197901671541,-0.04009936691343095
50,50,50,02-20,0.8164205500469588,1.6485136707966983,0.2942968884210445
51,51,51,02-21,0.5216425088174915,0.06733344152793677,0.5179315122115352
52,52,52,02-22,0.7552039809792657,1.3201499015356315,0.5682142108824786
53,53,53,02-23,0.5740421893392783,0.3484036953212044,0.6438929849196118
54,54,54,02-24,0.5788294584690957,0.37408245778493737,0.6313266682909314
55,55,55,02-25,0.5286413005908861,0.10487474255125777,0.6506001922836608
56,56,56,02-26,0.8023641858221743,1.5731157710246164,0.33953660276149905
