,unnamed: 0,unnamed: 0,mth_day,space travel,space travel_norm,space travel_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.128863625705596,-0.2939553960644173,
2,2,2,01-03,3.051258331429936,-0.4431966124436979,
3,3,3,01-04,3.2558763510326694,-0.04969971994870572,
4,4,4,01-05,2.5251479027512245,-1.4549492391000227,-0.9792444815323504
5,5,5,01-06,2.7060873355622594,-1.106988171549952,-1.1367118968202945
6,6,6,01-07,1.9678500697758463,-2.5266777500873063,-1.3399295305302157
7,7,7,01-08,2.6375661651759863,-1.2387598877920831,-1.218732884423803
8,8,8,01-09,2.41722044369327,-1.6625024147032246,-1.0594993994709991
9,9,9,01-10,3.634009213300746,0.6774801566897705,-0.9381528119907449
10,10,10,01-11,3.0219554908197748,-0.4995483293831984,-0.6510589598900417
11,11,11,01-12,3.08468801408338,-0.3789086466684277,-0.4519792048506688
12,12,12,01-13,2.8635812927264355,-0.8041146374830875,-0.41576455983390864
13,13,13,01-14,3.258693894457948,-0.04428135755584581,-0.649853162322111
14,14,14,01-15,2.530209934872641,-1.4452145446026632,-0.5422478452534808
15,15,15,01-16,2.903654074549803,-0.7270514582394432,-0.5904785552037538
16,16,16,01-17,3.357683482027546,0.14608357302858296,-0.4085415242562626
17,17,17,01-18,2.9342084670940585,-0.6682929063700661,-0.520636836861452
18,18,18,01-19,3.4312238181171644,0.28750754820186003,-0.23929555107119296
19,19,19,01-20,2.9089571421305065,-0.7168532331869824,-0.06487667995503561
20,20,20,01-21,3.4079931829061256,0.2428331701388912,-0.2308513470788613
21,21,21,01-22,3.4478399830510265,0.3194617684575011,-0.24685254189429365
22,22,22,01-23,2.8398434430513966,-0.8497644297143707,-0.4018517497620047
23,23,23,01-24,2.8842848282009816,-0.7643000752626606,-0.4849641455585769
24,24,24,01-25,2.9476271510209364,-0.6424876990044065,-0.8785817308305472
25,25,25,01-26,2.6496469291653617,-1.2155276079664152,-1.0106101294510734
26,26,26,01-27,2.179908504496336,-2.11887234149293,-1.0417892941871614
27,27,27,01-28,3.03591211313938,-0.4727086232656572,-0.9821329468081004
28,28,28,01-29,2.7425646223616456,-1.0368394181308975,-1.1015650323464767
29,29,29,01-30,3.0704123004669763,-0.4063619909882957,-0.871048290194282
30,30,30,01-31,2.5749997079181,-1.3590802122346628,-0.6712211112112739
31,31,31,02-01,3.3688578835195635,0.1675728449467522,-0.3878118365082143
32,32,32,02-02,2.803368192328424,-0.9199092675948821,-0.2953049357780131
33,33,33,02-03,3.9201474750873806,1.2277470249527012,-0.20439535663909428
34,34,34,02-04,3.0311856385071496,-0.4817980137496905,-0.02329393227098442
35,35,35,02-05,3.354049682125237,0.13909548384521725,-0.027721664882613458
36,36,36,02-06,3.1400351454252737,-0.27247166602600353,0.1419876535548242
37,37,37,02-07,3.355043382379632,0.14100644927697792,-0.3441787956237543
38,38,38,02-08,3.332860322646685,0.09834664302974416,-0.5501487702501656
39,39,39,02-09,2.4033108556549188,-1.68925167011877,-0.6106129384395934
40,40,40,02-10,2.388560462407931,-1.717617861508159,-0.5711406022803329
41,41,41,02-11,3.1654018134205844,-0.2236895252913488,-0.6978473958681454
42,42,42,02-12,3.263188614863725,-0.0356376490704408,-0.5682374873285199
43,43,43,02-13,2.9597188905937584,-0.619234312249897,-0.4866336519695505
44,44,44,02-14,3.7372425169473495,0.8760060942674971,-0.4989327118087719
45,45,45,02-15,2.6579143684389845,-1.1996286579649535,-0.6980943124489798
46,46,46,02-16,2.350187464064992,-1.7914122205434868,-0.7424261228579975
47,47,47,02-17,2.5440187263188965,-1.4186591291325965,-0.6788871600645201
48,48,48,02-18,3.124873612773906,-0.30162851152454595,-0.7279692820892584
49,49,49,02-19,3.1579601013740226,-0.2380005354890326,-0.4389569056833831
50,50,50,02-20,3.584106569017654,0.5815133621190669,0.009946971402727416
51,51,51,02-21,3.5596313765589813,0.5344456004702979,0.22587077308611
52,52,52,02-22,3.7507650656660183,0.9020110419731758,0.21074918676410714
53,53,53,02-23,3.217699787514714,-0.12311631903230097,0.2986028623292067
