,unnamed: 0,unnamed: 0,mth_day,james bond,james bond_norm,james bond_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.08296768468924309,-0.8788453175694871,
2,2,2,01-03,0.10977041602031612,-0.5999418565155867,
3,3,3,01-04,0.21086039225313044,0.451978707136152,
4,4,4,01-05,0.19049414626125494,0.2400519290161925,-0.00978445827607275
5,5,5,01-06,0.1828081909565224,0.16007353019120685,0.002346871171882888
6,6,6,01-07,0.2220078021181729,0.567976258085086,-0.1008763216136076
7,7,7,01-08,0.08996263762357297,-0.8060573408817533,-0.06276856064366218
8,8,8,01-09,0.05025168162575707,-1.2192810132285297,-0.13953538952459796
9,9,9,01-10,0.23283341636075466,0.6806252729558246,-0.15051200894601294
10,10,10,01-11,0.14623021317431764,-0.22054904426942235,-0.19565724045407812
11,11,11,01-12,0.17647904652431115,0.09421381366271707,0.25187245144178905
12,12,12,01-13,0.195976956037939,0.2971048690366945,0.5584734443316689
13,13,13,01-14,0.3480093047227241,1.8791208104934496,0.6925661535823912
14,14,14,01-15,0.2270385312521129,0.6203249441107495,0.7246534323582439
15,15,15,01-16,0.3101515861515889,1.4851815284601582,0.7367372543821548
16,16,16,01-17,0.16473181316718866,-0.028025371614305825,0.6916649795560778
17,17,17,01-18,0.18344660656681905,0.1667167458061819,0.3386091362727494
18,18,18,01-19,0.1699881769511819,0.02667122008023212,0.0885899206375963
19,19,19,01-20,0.1444364797036822,-0.2392142492065201,-0.2706319441023531
20,20,20,01-21,0.08287686673308657,-0.8797903497001691,-0.5135617579292359
21,21,21,01-22,0.1030234187386101,-0.6701496599795381,-0.4799507300830097
22,22,22,01-23,0.02465791431260567,-1.4856042545756027,-0.6894576293664968
23,23,23,01-24,0.20282680383764848,0.3683829128835392,-0.5625267047380879
24,24,24,01-25,0.04918600879702762,-1.2303701756206913,-0.33261370595833445
25,25,25,01-26,0.21762514773019573,0.5223712985639342,-0.2944564847797742
26,26,26,01-27,0.2154452395857447,0.4996876429783512,-0.015438422996474613
27,27,27,01-28,0.12502496171820685,-0.4412063329081767,-0.14916299986912482
28,28,28,01-29,0.18554038134766127,0.1885041161241949,0.1270468032667696
29,29,29,01-30,0.12572090003705585,-0.4339645483523621,0.1714527511816015
30,30,30,01-31,0.2084492273275977,0.4268886431946751,-0.14460677239879702
31,31,31,02-01,0.2432297211614199,0.7888069860529255,-0.19931025347839207
32,32,32,02-02,0.033204579040154336,-1.3966694985040398,-0.22246881134922653
33,33,33,02-03,0.09348280657870923,-0.7694272193857478,-0.04378296321109035
34,34,34,02-04,0.172187102712504,0.049552768899188485,-0.3451015114414191
35,35,35,02-05,0.2287515780117364,0.6381505404764551,-0.5135268277205028
36,36,36,02-06,0.034708247647341615,-1.3810226461872974,-0.2759374074793949
37,37,37,02-07,0.1461152898555955,-0.2217449116215772,-0.2629384438409019
38,38,38,02-08,0.17019919446223702,0.028867022942607682,-0.29775754571804736
39,39,39,02-09,0.10097803941666067,-0.6914334375547893,-0.43574214643296827
40,40,40,02-10,0.1521103271298152,-0.1593618423636845,-0.4145141309954852
41,41,41,02-11,0.1491893344996846,-0.18975706381307045,-0.6111468389235025
42,42,42,02-12,0.04694837099997596,-1.2536545535623984,-0.30593059918336285
43,43,43,02-13,0.032736410549164666,-1.4015411591896811,-0.4475450816226717
44,44,44,02-14,0.34618759218357675,1.8601644613834456,-0.65041056449225
45,45,45,02-15,0.01932279761219536,-1.5411203321906422,-0.7750817302348221
46,46,46,02-16,0.035137615213897695,-1.3765547395811542,-0.6129486690356608
47,47,47,02-17,0.07730364873221991,-0.9377840582685032,-0.6135750568073183
48,48,48,02-18,0.14043467330941298,-0.2808561863674306,-0.9859382332101774
49,49,49,02-19,0.032375233894933936,-1.4052994858196255,-0.7417373869215007
50,50,50,02-20,0.13148211372882215,-0.3740145970337096,-0.6122334591111884
51,51,51,02-21,0.1601295767571369,-0.07591525445858223,-0.28419355472327723
52,52,52,02-22,0.10980988289323636,-0.5995311727192801,-0.2918273271707534
53,53,53,02-23,0.26645222487299863,1.030455368058964,-0.21201426675529333
54,54,54,02-24,0.13603302226114486,-0.32665882105228783,-0.3364976813367447
55,55,55,02-25,0.0783956312096777,-0.9264211233268652,-0.06309009197063745
56,56,56,02-26,0.059704685720001274,-1.1209150845224178,0.4232233756226407
57,57,57,02-27,0.3177770322737947,1.5645302817380613,0.1875684829269134
58,58,58,02-28,0.39021936577303656,2.3183496328403885,0.4290509290251128
59,59,59,02-29,0.1305730625583561,-0.38347398811539946,0.632740096527587
60,60,60,03-01,0.2752723654980404,1.1222358555369087,0.6257149929152678
61,61,61,03-02,0.1958432816114846,0.29571388168797963,0.5299223443039894
62,62,62,03-03,0.05565399454573396,-1.1630657061963328,0.3795067045468525
63,63,63,03-04,0.26254276702979784,0.9897743900703913,0.2866686218232569
64,64,64,03-05,0.30348935607359706,1.4158557942975671,-0.14684268800139208
65,65,65,03-06,0.07704240691579496,-0.9405024844569736,-0.410494189002084
66,66,66,03-07,0.025308730289524385,-1.4788320034109848,-0.3826809509808564
67,67,67,03-08,0.04382120946538099,-1.2861951243161718,-0.6595357632947927
68,68,68,03-09,0.07169117264269728,-0.9961862780689678,-0.7895374968276078
69,69,69,03-10,0.10290763469852113,-0.6713544838132264,-0.6618366599868676
70,70,70,03-11,0.2285300524503179,0.6358453931006767,-0.4492833625617241
71,71,71,03-12,0.15067500812472895,-0.17429746341253272,-0.10159749503780728
72,72,72,03-13,0.14786745873754698,-0.2035122188601244,0.09854802045524327
73,73,73,03-14,0.2442976939014124,0.7999200808273299,0.313948237695978
74,74,74,03-15,0.1870955450074265,0.2046868148893356,0.6032564970702478
75,75,75,03-16,0.2271079037710321,0.6210468196311816,0.44711482501629735
76,76,76,03-17,0.3953458714846403,2.3716949493462955,0.36541944407326
77,77,77,03-18,0.06064335481001256,-1.111147495736235,0.31657392094867914
78,78,78,03-19,0.1007617110039384,-0.6936845045183488,0.10946539948934954
79,79,79,03-20,0.21613325102027853,0.5068469420798453,-0.0426690570260027
80,80,80,03-21,0.0676762871163803,-1.0379643138666421,-0.5382237671535978
81,81,81,03-22,0.13938682030856994,-0.2917599194609319,-0.19229897372942287
82,82,82,03-23,0.10960786654469876,-0.6016333114192747,-0.2277185689787811
83,83,83,03-24,0.2601043998010588,0.9644012648088136,-0.38599223174487457
84,84,84,03-25,0.08033868953830456,-0.9062020760144976,-0.16690610770185502
85,85,85,03-26,0.1248722868743092,-0.4427950345167158,-0.2447441328737693
86,86,86,03-27,0.19400185867226047,0.2765524303914756,-0.2428109273494141
87,87,87,03-28,0.09450523293477407,-0.7587880704924177,-0.4538039596305589
88,88,88,03-29,0.11072255737172353,-0.5900340782731434,-0.4779301059912432
89,89,89,03-30,0.13844532388445635,-0.3015569288780553,-0.2707687630793186
90,90,90,03-31,0.06642749711675346,-1.0509589541786033,-0.21283210044200426
91,91,91,04-01,0.2443220017384687,0.8001730229548317,-0.032944875503339736
92,92,92,04-02,0.2274082738602065,0.6241724062153615,0.15947489489937133
93,93,93,04-03,0.198228627582606,0.32053527913956936,0.03163479373637456
94,94,94,04-04,0.2216722470471897,0.5644845441431231,0.09850905527188633
95,95,95,04-05,0.06473242254157616,-1.068597535856036,0.1086903954737466
96,96,96,04-06,0.10498735273404534,-0.6497133849655328,-0.04044328646477234
97,97,97,04-07,0.2501925863125621,0.8612610641659935,-0.22425029517684072
98,98,98,04-08,0.14141744403742426,-0.2706296854157521,-0.3851685384207289
99,99,99,04-09,0.0922450764428299,-0.7823067731328411,-0.2687322351888042
100,100,100,04-10,0.12888641161216816,-0.4010249153202061,-0.16822149854365373
101,101,101,04-11,0.13186986732442532,-0.3699797164644878,-0.21296709528565752
102,102,102,04-12,0.16294207857377035,-0.04664896509463,-0.1379847377598119
103,103,103,04-13,0.2243921705731671,0.5927874837139706,0.025438701985693108
104,104,104,04-14,0.18465244676721765,0.17926445973932165,0.1152240654050151
105,105,105,04-15,0.18647541404022666,0.1982338653401889,0.11508469125859652
106,106,106,04-16,0.18065686216371074,0.13768726519572588,0.28041034254382696
107,107,107,04-17,0.13178950386561045,-0.3708159613429994,0.20643578509072014
108,108,108,04-18,0.2582692357941608,0.9453049426167532,0.11268909685396833
109,109,109,04-19,0.1817382677225144,0.1489401389953296,-0.02294975122357532
110,110,110,04-20,0.1305978870605829,-0.3832156696811895,0.00011113983412495049
111,111,111,04-21,0.10826573698549743,-0.615599223125073,0.10576722503505527
112,112,112,04-22,0.19395382588597665,0.2760526115419275,-0.20167653504837746
113,113,113,04-23,0.19271104971733896,0.2631205498625825,-0.04660195077876085
114,114,114,04-24,0.08099644463280753,-0.899357617883843,0.025699018208733285
115,115,115,04-25,0.2711546357249131,1.079387644613029,0.3144440362657968
116,116,116,04-26,0.17228679488751458,0.050590144243775316,0.14169940309159834
117,117,117,04-27,0.2747567897589224,1.1168708852173077,0.02993154312533366
118,118,118,04-28,0.09434886635573952,-0.7604151875032626,0.1352540398065869
119,119,119,04-29,0.12826544024074998,-0.40748660993500574,0.061679710673960636
120,120,120,04-30,0.14172564256384154,-0.2674226377963236,-0.04177297883492747
121,121,121,05-01,0.2287315054599656,0.6379416698172714,0.02463443495180595
122,122,122,05-02,0.11263573214546188,-0.5701259928095533,0.11908639978474013
123,123,123,05-03,0.3130474598723326,1.5153153679377085,0.028263556369523105
124,124,124,05-04,0.1488100901973435,-0.19370339850565751,-0.11795712873553565
125,125,125,05-05,0.07589677629695488,-0.9524236704263079,-0.2939468937977193
126,126,126,05-06,0.05741445352860219,-1.144746748426676,-0.08405534763531697
127,127,127,05-07,0.12725539529289742,-0.4179969205558304,-0.2446429319229101
128,128,128,05-08,0.2336596885896705,0.6892232841648605,-0.2620387886846314
129,129,129,05-09,0.22045228316490734,0.5517898622121497,-0.10463357336866808
130,130,130,05-10,0.13877959850040175,-0.29807853907598497,-0.11812720876422078
131,131,131,05-11,0.16665699161191924,-0.007992378530528295,-0.1567784475890313
132,132,132,05-12,0.04963399179851498,-1.2257085607999922,0.04510654981944493
133,133,133,05-13,0.10496900058298753,-0.6499043535046934,-0.14098802737010985
134,134,134,05-14,0.3500670502954048,1.900533268615718,-0.17415113000991775
135,135,135,05-15,0.11314971469049195,-0.5647776009251789,-0.1337300534726468
136,136,136,05-16,0.1196576759512702,-0.4970571549148322,0.1515189960604739
137,137,137,05-17,0.1899638788864053,0.2345340806930973,0.08369590155556962
138,138,138,05-18,0.21410926094412008,0.4857857363987319,-0.3046687612495877
139,139,139,05-19,0.0658620456562659,-1.056842920534119,0.3390869923829536
140,140,140,05-20,0.1261350773543219,-0.4296547082152263,0.6911842782393797
141,141,141,05-21,0.4843407879510181,3.2977569208700688,0.4963524265237926
142,142,142,05-22,0.32267779451593714,1.6155265602237243,0.3526190278170435
143,143,143,05-23,0.07762337748418417,-0.9344570296004252,0.3823400701359896
144,144,144,05-24,0.13123224706379796,-0.3766146558417629,0.2896787363493749
145,145,145,05-25,0.08299926817356296,-0.8785166666204424,-0.161583301904111
146,146,146,05-26,0.0727063355622319,-0.9856227109349144,-0.4753222875061116
147,147,147,05-27,0.22414204121227227,0.5901846913491532,-0.21492064189782487
148,148,148,05-28,0.14177516159632586,-0.26690735338827903,-0.015703300284124158
149,149,149,05-29,0.2277715754097601,0.6279528440492949,0.18976826246074172
150,150,150,05-30,0.2461014321987368,0.8186893938404417,0.1867942834875992
151,151,151,05-31,0.20147465184107602,0.35431270984875324,-0.053893573133895284
152,152,152,06-01,0.07099153233031366,-1.00346658477377,0.3644829920670319
153,153,153,06-02,0.08536086012615418,-0.8539424483798134,0.7470448409594755
154,154,154,06-03,0.3830120676553112,2.243352037817284,0.7065369865793474
155,155,155,06-04,0.4483576322762493,2.9233239374039575,0.7747879507794179
156,156,156,06-05,0.22274450861708972,0.5756422675596732,0.7627700111933989
157,157,157,06-06,0.2408283174347985,0.7638184950491759,1.023825636089395
158,158,158,06-07,0.06406196025559033,-1.0755742222898836,0.7144438833644863
159,159,159,06-08,0.2358861440386517,0.7123913009961624,0.7702963090399683
160,160,160,06-09,0.2046218254040045,0.38706152146783257,0.8223599085862091
161,161,161,06-10,0.4805622715570653,3.2584384914568485,0.8846155367447658
162,162,162,06-11,0.25276450188989,0.8880238648371177,0.8834995785092241
163,163,163,06-12,0.2767250582441607,1.1373522640005171,0.9840846450683852
164,164,164,06-13,0.06341849612680042,-1.082269971703134,1.0860952939585211
165,165,165,06-14,0.29388372868064955,1.315901700351129,0.2824000551099792
166,166,166,06-15,0.2634414041524161,0.9991254148086488,0.002647431733294125
167,167,167,06-16,0.01714971702966883,-1.5637329416344057,-0.2884475676057295
168,168,168,06-17,0.09145848492198147,-0.7904918754229925,0.13994123960954422
169,169,169,06-18,0.1088790007670561,-0.6092177320336251,0.20550373193462665
170,170,170,06-19,0.31042848434944553,1.4880628715885085,0.03782303009406587
171,171,171,06-20,0.3316872151030382,1.7092766543016238,0.4121698588270402
172,172,172,06-21,0.166756319273464,-0.006958796234715649,0.7453252871224705
173,173,173,06-22,0.2329989740576422,0.6823480307634407,0.8921984939151758
174,174,174,06-23,0.283556684112818,1.2084406943495891,0.5941375728714942
175,175,175,06-24,0.1935664353336116,0.27202150872260633,0.4988967820993044
176,176,176,06-25,0.13856586012445488,-0.3003026546735813,0.3858916929749189
177,177,177,06-26,0.2767711523798307,1.1378319096684844,0.1425340812447379
178,178,178,06-27,0.10159732057047878,-0.6849893309810281,-0.07088242555099332
179,179,179,06-28,0.09267840593141727,-0.7777976396176454,-0.19693091102930396
180,180,180,06-29,0.16050022712270615,-0.0720583464247985,-0.16890056871622638
181,181,181,06-30,0.1208865837850306,-0.4842694041472576,-0.27555173226594426
182,182,182,07-01,0.15472822106389622,-0.13212060079511573,-0.31364144675341016
183,183,183,07-02,0.21527584202474734,0.497924928370177,0.01059482376636726
184,184,184,07-03,0.07963470210686219,-0.9135276179058234,0.08584858858310783
185,185,185,07-04,0.27963379788730003,1.1676199835010193,0.5127168482487076
186,186,186,07-05,0.20389172393123914,0.3794642424756449,0.6253965059192058
187,187,187,07-06,0.3670198207340408,2.076940153846341,0.3469518921483878
188,188,188,07-07,0.2196995752294004,0.5439573452278734,0.29134066303679745
189,189,189,07-08,0.05472402645495788,-1.1727427542547313,0.035069834252509424
190,190,190,07-09,0.04756913732893401,-1.2471949925753654,-0.14218823082742962
191,191,191,07-10,0.1318674386042381,-0.3700049892047089,-0.4945263561001373
192,192,192,07-11,0.10168430900743597,-0.6840841480039893,-0.7107900377051477
193,193,193,07-12,0.1638608335986332,-0.03708859778990523,-0.5189855072155648
194,194,194,07-13,0.09500143058484332,-0.7536247444021886,-0.4831182878060079
195,195,195,07-14,0.16531896735749566,-0.02191557131723385,-0.4859419887522143
196,196,196,07-15,0.06825025993231132,-1.0319916761180246,-0.019483253175940518
197,197,197,07-16,0.13023928603414492,-0.3869471948819471,0.006641942351496114
198,198,198,07-17,0.3706455069668986,2.1146682654536533,0.2247096010380244
199,199,199,07-18,0.1789246824454206,0.11966257537471454,0.08481351804839632
200,200,200,07-19,0.2207397526340256,0.5547812077169809,0.024490219035288068
201,201,201,07-20,0.08465455869497594,-0.8612920692550023,0.15730821802446218
202,202,202,07-21,0.03346770462784654,-1.393931470196674,-0.16479264874009045
203,203,203,07-22,0.20682245490668005,0.4099607990530978,0.11353109608790313
204,204,204,07-23,0.18492139381089265,0.1820630648663376,-0.0931369794501186
205,205,205,07-24,0.3394068047000704,1.789605044342676,-0.2269883980121671
206,206,206,07-25,0.1015744568913889,-0.6852272455111492,0.18347998547664232
207,207,207,07-26,0.00747551767959918,-1.6644005806272937,0.08858906464216959
208,208,208,07-27,0.2701447346147403,1.0688788307361825,-0.02511737536376496
209,209,209,07-28,0.1521081280078904,-0.15938472595373854,-0.404661323773539
210,210,210,07-29,0.11935799454917775,-0.5001755751692697,-0.29224925980740785
211,211,211,07-30,0.1205608763106232,-0.4876586461159681,0.4440561071581217
