,unnamed: 0,unnamed: 0,mth_day,post apocalyptic,post apocalyptic_norm,post apocalyptic_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.2050598065144728,-1.1801201932466303,
2,2,2,01-03,0.5701529097167038,1.2029018494600632,
3,3,3,01-04,0.417844319562933,0.20875891866641014,
4,4,4,01-05,0.16616666891952114,-1.4339820257103773,-0.39548262797196254
5,5,5,01-06,0.2871047264362481,-0.6445996617689453,-0.34443696176846866
6,6,6,01-07,0.3052971653433568,-0.5258546552322952,-0.7211382329985582
7,7,7,01-08,0.25198279844305216,-0.8738461960256675,-0.6507135607661111
8,8,8,01-09,0.2238757029710852,-1.0573057779204742,-0.4723996961976999
9,9,9,01-10,0.4825811830914137,0.6313069520610928,-0.3963482230294321
10,10,10,01-11,0.3300791153658499,-0.3640988382999094,-0.4524037444859115
11,11,11,01-12,0.35701394551481,-0.1882908227593396,-0.3766418293634158
12,12,12,01-13,0.253768936279424,-0.8621877839711708,-0.29909830426528883
13,13,13,01-14,0.321625845467155,-0.41927470529069344,-0.4445765359439912
14,14,14,01-15,0.2951564692517682,-0.5920446273317121,-0.4014817359082825
15,15,15,01-16,0.34885241827069874,-0.2415624380111213,-0.3061484976534972
16,16,16,01-17,0.3696933883225009,-0.10553003808565704,-0.005944020756185793
17,17,17,01-18,0.4446476488603929,0.3837086067693726,0.15976707799623993
18,18,18,01-19,0.5297275688932104,0.9390390774126974,0.2703129589811208
19,19,19,01-20,0.4739533813296193,0.5749918872238609,0.4186382929258292
20,20,20,01-21,0.39677417486682826,0.07123065857757288,0.39355164719217256
21,21,21,01-22,0.4851983407579446,0.6483895656571297,0.4006532176020539
22,22,22,01-23,0.34663285130094795,-0.2560499124875971,0.1626352280483018
23,23,23,01-24,0.4511756649645356,0.4263180292286608,-0.12204884107870105
24,24,24,01-25,0.3109329672484,-0.4890688599098153,-0.2403298525089436
25,25,25,01-26,0.21226165955663207,-1.1331125275381562,-0.33062794698474496
26,26,26,01-27,0.2880460622290193,-0.6384554100038824,-0.24331802330731644
27,27,27,01-28,0.4021931206602565,0.10660099880232148,-0.21479273937480006
28,28,28,01-29,0.4268912385197329,0.26780962957697385,0.04921693640586791
29,29,29,01-30,0.4773971205214089,0.5974697328237593,0.21940145709801606
30,30,30,01-31,0.5536200513259749,1.0949891947741923,0.2837522803931371
31,31,31,02-01,0.368701323973437,-0.11200540338526728,0.4480773805832802
32,32,32,02-02,0.3471996277841639,-0.2523504702331563,0.4133404246534483
33,33,33,02-03,0.5532465973481036,1.0925515999431803,0.3653961781860456
34,34,34,02-04,0.3949597931307931,0.05938789399798225,0.21756384345733104
35,35,35,02-05,0.4333250639232373,0.3098042540193432,0.3712906071029621
36,36,36,02-06,0.4177273112527005,0.20799518640190487,0.3290831086766933
37,37,37,02-07,0.510012432755809,0.8103551784885182,0.15109289394941242
38,38,38,02-08,0.3084009940257945,-0.5055954607907684,0.04412120476504264
39,39,39,02-09,0.3896316613470791,0.024610311579495395,-0.013352054372312941
40,40,40,02-10,0.2966276117429611,-0.5824422411082364,-0.20787477521259912
41,41,41,02-11,0.3804935999580025,-0.03503530080479035,-0.5990366606396195
42,42,42,02-12,0.238915107616708,-0.959141138639812,-0.8266356008432449
43,43,43,02-13,0.15044251511599022,-1.536616134073604,-1.0248978526464392
44,44,44,02-14,0.09918395312062626,-1.8711891020125213,-0.8281527847329805
45,45,45,02-15,0.2073819478451226,-1.1649631992396705,-0.9581247368478096
46,46,46,02-16,0.4774826758514034,0.5980281663725167,-0.8878821121627806
47,47,47,02-17,0.26101875882823,-0.8148670134937646,-0.8495405394972466
48,48,48,02-18,0.30348462656466996,-0.5376853905296388,-0.8145770472722053
49,49,49,02-19,0.1856874524147172,-1.3065666980804005,-0.7669341804285216
50,50,50,02-20,0.1313236387293973,-1.6614081486622736,-0.7417899974395104
51,51,51,02-21,0.2511769655739252,-0.8791059981775682,-0.41201713683577257
52,52,52,02-22,0.5005961031645206,0.7488932643065843,-0.4502030084054511
53,53,53,02-23,0.5641577014112654,1.163770150128662,-0.29184356100749426
54,54,54,02-24,0.2683828152511142,-0.7668006199477098,-0.009799687404781135
55,55,55,02-25,0.33125708887408073,-0.35641001369265923,0.0947139778925386
56,56,56,02-26,0.39058839887194463,0.03085509295400532,-0.10000465832297238
57,57,57,02-27,0.3472496439796135,-0.2520240063936499,-0.4400225092388578
58,58,58,02-28,0.32160380714744896,-0.4194185529864814,-0.4044120027168381
59,59,59,02-29,0.2516011993471006,-0.8763369553666506,-0.3714152394556795
60,60,60,03-01,0.3011172594141916,-0.5531375808155911,-0.5261717484578631
61,61,61,03-02,0.3615888872680961,-0.15842943412570798,-0.4605115220721414
62,62,62,03-03,0.2483307115326117,-0.8976839610590966,-0.4333117239212361
63,63,63,03-04,0.4076068594275144,0.14193735192068013,-0.22109463043702635
64,64,64,03-05,0.3466068290299719,-0.2562197640810493,-0.03753748724104905
65,65,65,03-06,0.4466786996576868,0.396965605538608,-0.1505686157510796
66,66,66,03-07,0.4698495140640174,0.5482052783602727,-0.01746926872579015
67,67,67,03-08,0.25768665373448113,-0.8366162051858914,-0.004349187390862218
68,68,68,03-09,0.3706803652969379,-0.09908787890735997,-0.08880185433143795
69,69,69,03-10,0.4196673048358847,0.22065783993024773,-0.1526851078913917
70,70,70,03-11,0.2689749338284866,-0.7629357657245037,-0.10389143728026863
71,71,71,03-12,0.3879549408332809,0.01366608417888542,0.2409522475562067
72,72,72,03-13,0.5147023915467835,0.8409673020270111,0.4670033109229288
73,73,73,03-14,0.5746792339801274,1.2324459038329607,0.2916167778868771
74,74,74,03-15,0.5784745427598912,1.257218501292972,0.3820272447811887
75,75,75,03-16,0.2584457656512538,-0.8316613582860621,0.4222698856043973
76,76,76,03-17,0.3520834506500479,-0.22047296435863428,0.2614994472653726
77,77,77,03-18,0.4249474075983221,0.25512192911813697,0.3078916715926056
78,78,78,03-19,0.3669164864620561,-0.12365532800713736,0.5962215630394588
79,79,79,03-20,0.6173246166258848,1.5107992497963587,0.7250679971580861
80,80,80,03-21,0.8435176340811842,2.9871978499740917,0.7931199375146658
81,81,81,03-22,0.3768859906073299,-0.05858275357429829,0.8505815011474643
82,82,82,03-23,0.4146392146466668,0.18783867778084293,1.5136619063868868
83,83,83,03-24,0.4777681206397909,0.5998913109149276,1.5015867811828427
84,84,84,03-25,0.976443578909308,3.854827103429398,0.8626394960009692
85,85,85,03-26,0.6062247320592461,1.4383484985720936,0.9988403532655604
86,86,86,03-27,0.25617456393971416,-0.8464858611171501,1.18264911502435
87,87,87,03-28,0.5020866628958339,0.7586223900132483,1.117797522786304
88,88,88,03-29,0.5836027660288119,1.2906912483335815,0.44568984993847977
89,89,89,03-30,0.4181542304613319,0.2107817574866507,0.31255313835797
90,90,90,03-31,0.3586183010012664,-0.17781893365754692,0.3607366950818121
91,91,91,04-01,0.4838407314668067,0.6395282290890353,0.26177169068048084
92,92,92,04-02,0.30046660303721423,-0.5573845207740977,0.1872951562657529
93,93,93,04-03,0.41111451093638623,0.16483236360526102,0.2167559680461092
94,94,94,04-04,0.5151412866687551,0.8438320418452141,0.12451371311546378
95,95,95,04-05,0.4452356564900989,0.3875466281687879,0.048982078828589966
96,96,96,04-06,0.2738259394650312,-0.7312724632414191,0.5618648843857761
97,97,97,04-07,0.4144093667772651,0.1863384233677924,0.6611301127945904
98,98,98,04-08,0.7719267197399281,2.51991231256902,0.4422634166204775
99,99,99,04-09,0.5023626394816568,0.7604237340581469,0.7222140009998581
100,100,100,04-10,0.31395123505748224,-0.4693681351994639,1.006985548657476
101,101,101,04-11,0.7025761907260032,2.067250134445072,1.0655435512519624
102,102,102,04-12,0.5355980746147309,0.9773568227042868,0.7480909919151149
103,103,103,04-13,0.4682379655096439,0.5376864389347112,0.5535862957135679
104,104,104,04-14,0.4801130362807395,0.6151969565479345,0.6191954308207203
105,105,105,04-15,0.32356700473468025,-0.4066044431511352,0.07469318158830059
106,106,106,04-16,0.3742614855849456,-0.07571332455654968,0.04348469688839055
107,107,107,04-17,0.2020503567801358,-1.1997633609494462,0.12465636644259827
108,108,108,04-18,0.5069101254783781,0.7901059145048265,0.03641097567481275
109,109,109,04-19,0.5428538512175025,1.0247164562599576,0.16910977196249868
110,110,110,04-20,0.3989947344404999,0.0857246119412214,0.2604672451360037
111,111,111,04-21,0.4455484580145103,0.3895883345749805,0.3480171002489181
112,112,112,04-22,0.4582405242607572,0.47243151448447995,0.17865766886807108
113,113,113,04-23,0.2825292975081225,-0.6744642302719599,-0.0956696096086224
114,114,114,04-24,0.35122891250268484,-0.2260506737802553,-0.2515458189292344
115,115,115,04-25,0.29068245977291435,-0.6212472146002033,-0.3056441641675285
116,116,116,04-26,0.25570777874379863,-0.8495326439824504,-0.4753979916136402
117,117,117,04-27,0.3958193349417228,0.06499826314521552,-0.3822448382518762
118,118,118,04-28,0.3021967683942864,-0.5460914501921902,-0.2114804672178403
119,119,119,04-29,0.3681589892804005,-0.11554531010137632,-0.02829281728050453
120,120,120,04-30,0.5082015959774391,0.7985355524239602,-0.14688566734648587
121,121,121,05-01,0.4590750630775352,0.4778786850238114,-0.16180783656084746
122,122,122,05-02,0.14669301294077375,-1.5610897443783385,-0.01510214362432011
123,123,123,05-03,0.3821023462592544,-0.02453475214095408,-0.14837862350550093
124,124,124,05-04,0.4370538592606241,0.3341427074269739,-0.3739059719975033
125,125,125,05-05,0.24564650869480906,-0.9152041893884616,-0.3203419668336617
126,126,126,05-06,0.3008888358544297,-0.5546285385280536,0.0591741251172457
127,127,127,05-07,0.5083130017488751,0.7992627160068604,0.04631618541197257
128,128,128,05-08,0.4955577030084201,0.7160068073271061,-0.2716891275858148
129,129,129,05-09,0.3702828707605215,-0.10168239037259287,-0.3539320526656864
130,130,130,05-10,0.144732064976368,-1.5738891705597506,-0.3407279796098477
131,131,131,05-11,0.17004588680613966,-1.4086617398676906,-0.19321533752992065
132,132,132,05-12,0.3130264894400162,-0.4754041001930214,-0.12634839669279774
