,unnamed: 0,unnamed: 0,mth_day,seen more than once,seen more than once_norm,seen more than once_ravg
0,0,0,01-01,,,
1,1,1,01-02,21.0682084152944,-0.5836218383200742,
2,2,2,01-03,20.731509675769328,-0.7544764880233056,
3,3,3,01-04,19.722696653459007,-1.266389291100654,
4,4,4,01-05,17.039110196055365,-2.628150326424926,-1.7089361162275851
5,5,5,01-06,18.46538076754268,-1.904402565393144,-1.9855936604895108
6,6,6,01-07,16.07658226799348,-3.116576188103408,-2.3711273454599864
7,7,7,01-08,17.79699818151182,-2.2435671038916274,-2.2181822518319763
8,8,8,01-09,16.172943455903944,-3.067678597846157,-1.9821356585517729
9,9,9,01-10,21.531125759621773,-0.3487187293325933,-1.7608801008202448
10,10,10,01-11,19.830134867541183,-1.2118707667437063,-1.3330267538961047
11,11,11,01-12,21.081515623592047,-0.5768692190039757,-1.0309203903764848
12,12,12,01-13,21.135537919285266,-0.5494561065585669,-0.6837207663632136
13,13,13,01-14,21.369116305645065,-0.4309289227739084,-0.5618035307189744
14,14,14,01-15,20.278246155194847,-0.9844808537665296,-0.5863850448508259
15,15,15,01-16,22.972680191032254,0.38278468453284187,-0.4738482114596217
16,16,16,01-17,19.5394820288322,-1.3593598515348158,-0.3054285104104955
17,17,17,01-18,22.412155791200355,0.09835178134324916,-0.3176692243258979
18,18,18,01-19,23.126939422946787,0.46106209973619,-0.3734213406744857
19,19,19,01-20,21.22438159856996,-0.5043732062663223,-0.5341306111061784
20,20,20,01-21,19.61903082802534,-1.3189935518580562,-0.4848546800822461
21,21,21,01-22,21.072447137556697,-0.5814709380573146,-0.8206067876545332
22,22,22,01-23,20.122122673151825,-1.0637042653912203,-1.1951981475864908
23,23,23,01-24,18.44220899927516,-1.9161608640904744,-1.5509502178351358
24,24,24,01-25,18.69775570643177,-1.786486059855556,-1.823384637201274
25,25,25,01-26,17.01795442163769,-2.638885627758192,-2.0981499945009654
26,26,26,01-27,16.397754997493887,-2.953600068054888,-1.9547182120822009
27,27,27,01-28,17.823610200593507,-2.23006308185546,-1.7298166674424234
28,28,28,01-29,21.818065994522897,-0.2031135708786405,-1.7452738678615638
29,29,29,01-30,21.101454155165893,-0.566751596251806,-1.4477109532095058
30,30,30,01-31,18.514989130043567,-1.8792292623703999,-1.126043096417946
31,31,31,02-01,20.536350618642985,-0.8535081398458444,-0.6734118471566379
32,32,32,02-02,20.201169026280493,-1.0235929273055284,-0.7559698190498748
33,33,33,02-03,23.17554079284793,0.4857244137123882,-0.7971170118077082
34,34,34,02-04,20.841897123878233,-0.6984614022380602,-0.4949894794707155
35,35,35,02-05,20.61492804795294,-0.8136347527988064,-0.4863917467868478
36,36,36,02-06,22.08735755514804,-0.06646406834844326,-0.4624197768802618
37,37,37,02-07,20.638010565122407,-0.8019217437426384,-0.6237259079710501
38,38,38,02-08,20.484614588885893,-0.8797611078660124,-0.5690902583305608
39,39,39,02-09,21.26825043427924,-0.4821123728323419,-0.3186033190053266
40,40,40,02-10,21.487911302563056,-0.37064750439512456,-0.446148656952174
41,41,41,02-11,23.57669596769497,0.6892868831525985,-0.5085801398920259
42,42,42,02-12,20.57925620957991,-0.8317360960295272,-0.07539708580687343
43,43,43,02-13,19.89981813141196,-1.17651064138175,-0.09131316261192657
44,44,44,02-14,25.60658891785257,1.7193372166449026,-0.2512931390852544
45,45,45,02-15,21.080058084544987,-0.5776088336626608,-0.6250439610569489
46,46,46,02-16,19.596301450982853,-1.3305273632350911,-0.5427278441122546
47,47,47,02-17,19.15745080674991,-1.5532180486775702,-0.5447118170826529
48,48,48,02-18,21.55256537732049,-0.3378393943613607,-0.8813587762379896
49,49,49,02-19,19.87635955303981,-1.1884144792041398,-0.8980800236068127
50,50,50,02-20,21.626061363837557,-0.3005445382871184,-0.6287299585162679
51,51,51,02-21,20.88234536479816,-0.6779363178755989,-0.39135080039323306
52,52,52,02-22,22.781107749125987,0.28557302730817824,-0.4658478334461073
53,53,53,02-23,21.96423177999384,-0.12894309993936148,-0.2312563057089506
54,54,54,02-24,20.67170938057137,-0.7848215926786062,0.11080303024855176
55,55,55,02-25,22.650179469426913,0.21913468721880056,0.2726317229552968
56,56,56,02-26,25.67058508478004,1.7518114774578957,0.057221325616751674
57,57,57,02-27,22.795814513504162,0.2930358383648713,0.03012898161672818
58,58,58,02-28,20.234086311062867,-1.0068893567230923,-0.009385249003931432
59,59,59,02-29,21.64389078518573,-0.2914971639395024,-0.2803876259479343
60,60,60,03-01,20.204491485136106,-1.021906976402564,-0.7825991207795558
61,61,61,03-02,19.445836167661298,-1.4068795744452167,-1.032727388749767
62,62,62,03-03,19.73241562043648,-1.261457491531833,-1.0023217560627808
63,63,63,03-04,19.838287538682856,-1.2077337694563959,-1.1211887245986982
64,64,64,03-05,20.59360376819802,-0.8244555606011756,-1.022289043331981
65,65,65,03-06,20.238402838089407,-1.0046989751550073,-1.0872833321673332
66,66,66,03-07,21.373885402589615,-0.4285088888022584,-0.8000019797282727
67,67,67,03-08,18.677341011157136,-1.7968453074573318,-0.8111350252221949
68,68,68,03-09,23.129242201040537,0.4622306231025306,-0.7182339130651192
69,69,69,03-10,19.70664994878794,-1.2745320424199296,-0.6447438257172288
70,70,70,03-11,21.69207035666124,-0.2670488876587211,-0.7992332585372407
71,71,71,03-12,21.107352667219647,-0.5637584510676654,-0.6215758318699879
72,72,72,03-13,19.547195966014442,-1.35544548572233,-0.6952852862609352
73,73,73,03-14,20.777969764194808,-0.7309007474538143,-0.5530756371617374
