,unnamed: 0,unnamed: 0,mth_day,epic,epic_norm,epic_ravg
0,0,0,01-01,,,
1,1,1,01-02,9.540596494595702,-0.487008252485645,
2,2,2,01-03,9.53431974393104,-0.4923144290474556,
3,3,3,01-04,8.263793319420724,-1.5663793226638854,
4,4,4,01-05,8.270543077034771,-1.5606732802283951,-1.268630732592606
5,5,5,01-06,8.41752581071133,-1.4364184901160122,-1.4854725965055653
6,6,6,01-07,7.6692473663718035,-2.0689906210142444,-1.806165150824654
7,7,7,01-08,8.001564804729082,-1.7880594359633994,-1.6069760483674986
8,8,8,01-09,7.2582094260476575,-2.4164697549619882,-1.4524603598661123
9,9,9,01-10,9.677534814839273,-0.37124470792095215,-1.3258606122345122
10,10,10,01-11,9.367215725452184,-0.6335791492200779,-0.8500995702624069
11,11,11,01-12,9.316065511570752,-0.6768200043264104,-0.599580747381479
12,12,12,01-13,11.045953815883534,0.7855756308183877,-0.2927750427250631
13,13,13,01-14,9.779618176731985,-0.2849464986778319,-0.08254732246123272
14,14,14,01-15,9.435758048704855,-0.5756355270234929,-0.1836979278460996
15,15,15,01-16,11.169622725060902,0.8901216136620302,0.16938378767294768
16,16,16,01-17,8.649300908048698,-1.2404827815292792,0.2705795889792508
17,17,17,01-18,11.822057387357287,1.4416702887878732,0.2382445062510089
18,18,18,01-19,11.764189410622576,1.3927504386562062,0.1425951171490691
19,19,19,01-20,9.55012043992412,-0.4789569950472831,-0.01742428669920265
20,20,20,01-21,8.75688802661651,-1.1495318616351318,-0.2457238664423884
21,21,21,01-22,10.033887544261539,-0.06999480942760032,-0.7806110031397613
22,22,22,01-23,7.028948261804005,-2.6102802599883934,-1.27336582041684
23,23,23,01-24,8.025704418312,-1.7676525313963645,-1.6345796843952167
24,24,24,01-25,8.266869910416327,-1.5637784650062676,-1.9264344850090485
25,25,25,01-26,6.986410769428753,-2.646240178917544,-2.1922478854267875
26,26,26,01-27,6.685453208270313,-2.9006606653181213,-1.8100847964954645
27,27,27,01-28,8.147281150773251,-1.6648752119340349,-1.557507941359982
28,28,28,01-29,9.741344724134326,-0.31730172640045395,-1.4940840989811752
29,29,29,01-30,9.818364641599848,-0.25219140058347017,-1.1708522245225517
30,30,30,01-31,8.717019625755754,-1.1832354107334273,-0.8302336441854429
31,31,31,02-01,9.280543871727184,-0.7068489321658036,-0.4541674364812627
32,32,32,02-02,9.102988179776624,-0.8569491832954674,-0.6323825895298821
33,33,33,02-03,10.816405095294497,0.5915220342910458,-0.7937992075286764
34,34,34,02-04,8.47646550198213,-1.386592644692171,-0.6474784386837813
35,35,35,02-05,8.672712755527895,-1.2206911085762353,-0.5595409154578019
36,36,36,02-06,9.755528961888077,-0.3053107976640567,-0.27552729863897585
37,37,37,02-07,9.904679048076199,-0.17922379280992848,-0.4887311532590207
38,38,38,02-08,11.118770320504137,0.84713251761749,-0.2781522658175869
39,39,39,02-09,9.303194118683097,-0.6877010934292231,0.07877127862528127
40,40,40,02-10,9.971045815677057,-0.12311932004356844,-0.0019141164315759351
41,41,41,02-11,11.2059719511673,0.920850158080974,-0.13870398929695082
42,42,42,02-12,9.182865650195843,-0.7894231680051998,-0.02979459705044448
43,43,43,02-13,8.933815094992198,-0.9999630300021779,0.009070246512401531
44,44,44,02-14,11.89175300459861,1.5005888710965285,-0.12552429793474776
45,45,45,02-15,9.579036729448232,-0.4545120320521471,-0.4871885620000114
46,46,46,02-16,9.01576317122205,-0.9306865867264642,-0.3862418663887907
47,47,47,02-17,8.639065573198899,-1.2491354263106085,-0.2994151282012398
48,48,48,02-18,9.899333221215024,-0.18374299433787533,-0.3232623677388207
49,49,49,02-19,9.550066492148758,-0.4790026008768721,-0.2988971779676932
50,50,50,02-20,11.72249760021365,1.3575054338710424,0.002959814770189325
51,51,51,02-21,9.75196827740076,-0.30832089342538155,0.31788125777290616
52,52,52,02-22,11.158188389527307,0.8804553697008307,0.3810357164062088
53,53,53,02-23,10.87421552004798,0.6403932317056928,0.7799497864443755
54,54,54,02-24,10.347570989693338,0.1951837574619408,0.7486252343053789
55,55,55,02-25,12.381352777203242,1.914481819352128,0.9345450934521801
56,56,56,02-26,11.500172088235265,1.1695581210370627,0.7745260123221933
57,57,57,02-27,11.071531528883057,0.8071982614554248,0.4282079574839741
58,58,58,02-28,10.022455499215852,-0.07965911707908957,0.2763880213546073
59,59,59,02-29,8.41622861866748,-1.4375150973236228,-0.2514286212413034
60,60,60,03-01,9.270031400979915,-0.7157358593142594,-0.4047328040001116
61,61,61,03-02,8.63518252790036,-1.2524180362233364,-0.4615433397428894
62,62,62,03-03,10.412098082610516,0.2497330244842132,-0.5773040797816217
63,63,63,03-04,10.66831965250142,0.4663350469987587,-0.5042157502543511
64,64,64,03-05,9.200845482832973,-0.7742235573114838,-0.4069061412538853
65,65,65,03-06,8.934971878257961,-0.9989851201599989,-0.5089346802564599
66,66,66,03-07,9.960684807465864,-0.13187820531146446,-0.5713620833517447
67,67,67,03-08,7.911036590569801,-1.8645892702387847,-0.8635945896589031
68,68,68,03-09,9.9690205792817,-0.1248313940874947,-0.7138265501494905
69,69,69,03-10,8.594204073987497,-1.2870599908441929,-0.6839529663239509
70,70,70,03-11,10.263821767830713,0.1243846797449919,-0.8404137379522402
71,71,71,03-12,9.146999165644901,-0.8197436172067615,-0.6324745488922809
72,72,72,03-13,8.85020696240556,-1.0706428350812,-0.7966018302812287
73,73,73,03-14,9.386881686869575,-0.6169541358790303,-0.6910642381413751
74,74,74,03-15,8.804129802791051,-1.1095950824211802,-0.7016994699432785
75,75,75,03-16,9.343255460303984,-0.6538344380050716,-1.0773097856402047
76,76,76,03-17,10.18833837879852,0.06057328893357141,-0.4599587121929273
77,77,77,03-18,6.481110907414387,-3.073405511388319,-0.3906058578827853
78,78,78,03-19,13.231846414600634,2.633463605602464,-0.22512082082839835
79,79,79,03-20,9.8791124703536,-0.20083701001817825,-0.003633047652062608
80,80,80,03-21,9.978657228582252,-0.11668486009485858,0.05251480151087267
81,81,81,03-22,10.915261417480226,0.6750922010529429,0.8507923956700131
82,82,82,03-23,10.586846847690373,0.3974603839111831,0.3195341434090335
83,83,83,03-24,12.14687347074744,1.7162600535665242,0.3083980657126147
84,84,84,03-25,9.461249395286137,-0.5540859079634137,0.24162132255444224
85,85,85,03-26,9.800074335528837,-0.2676534761966913,0.2797318649240605
86,86,86,03-27,9.504710353140505,-0.5173453190438932,0.22718290700272595
87,87,87,03-28,11.185750387490142,0.9037554552706524,-0.02952186013909168
88,88,88,03-29,10.213881452304983,0.08216663638317583,0.13775320468282207
89,89,89,03-30,10.324915457466046,0.17603145071561838,-0.001593812913221887
90,90,90,03-31,10.648481514766331,0.4495644809680688,0.06275625169123339
91,91,91,04-01,8.81106108827692,-1.103735581772955,-0.23553291691305345
92,92,92,04-02,9.961433916035974,-0.13124493141716154,-0.521608589049161
93,93,93,04-03,9.068647744385029,-0.8859795563550684,-0.5324109949151025
94,94,94,04-04,8.183463906668626,-1.6342873964334694,-0.4660593346091046
95,95,95,04-05,10.24824555316584,0.11121701551996926,-0.3997534744199509
96,96,96,04-06,11.119411371406867,0.8476744428040565,-0.1325071581525732
97,97,97,04-07,9.281665879314573,-0.7059004206380325,-0.17902710385574394
98,98,98,04-08,11.858210407040078,1.4722329661871043,0.16407827099370584
99,99,99,04-09,8.738473167593927,-1.1650992305740933,0.04480989941868275
100,100,100,04-10,10.618648862784068,0.42434485266322935,-0.14699704523615215
101,101,101,04-11,9.401740177587492,-0.6043932139301692,-0.16785291148357706
102,102,102,04-12,9.758064623904378,-0.30316722512495303,-0.2031351715080152
103,103,103,04-13,9.13364169941133,-0.8310356181225818,0.25323677823670204
104,104,104,04-14,11.607795126116645,1.260539406040475,0.2215853807358553
105,105,105,04-15,11.97756584254562,1.5731324678942105,0.3595097362745455
106,106,106,04-16,10.394003571033938,0.2344364676581487,0.3597733543688167
107,107,107,04-17,10.380656103451702,0.22315291930197187,0.3974167535716701
108,108,108,04-18,9.759935649147307,-0.30158551655932553,0.03941293293189285
109,109,109,04-19,9.400815128204334,-0.6051752229054614,-0.2245254638873288
110,110,110,04-20,9.066868687303574,-0.8874835177981885,-0.12830230763035996
111,111,111,04-21,10.104267257359007,-0.010497913021119354,-0.15379298689473409
112,112,112,04-22,11.076945896404776,0.8117754051999617,0.03063754516568273
113,113,113,04-23,10.199736411671868,0.07020884371572711,0.2044738395421246
114,114,114,04-24,11.068928425255706,0.8049976758031754,0.4035924306118486
115,115,115,04-25,10.634615470382347,0.4378425433531899,0.6011819545254768
116,116,116,04-26,10.48010972926818,0.3072280286201554,0.4907993682855738
117,117,117,04-27,11.506655769435243,1.1750392304606505,0.557119209319635
118,118,118,04-28,10.293507241308,0.14947988776054294,0.5918643024140908
119,119,119,04-29,10.670440431534503,0.4681278899200951,0.5957898394316624
120,120,120,04-30,11.315531172413412,1.0134682343699104,0.3384387833358584
121,121,121,05-01,10.662476907102944,0.4613957654586197,0.2376940398642617
122,122,122,05-02,8.65356469038644,-1.2368783079546688,0.3712294525765005
123,123,123,05-03,10.791621550523958,0.5705707696310696,0.08138077207380641
124,124,124,05-04,11.241272715073011,0.9506923640339764,-0.06206346035640872
125,125,125,05-05,8.613244018858714,-1.2709641930960696,-0.14318456496277435
126,126,126,05-06,10.29743800786051,0.15280283978861967,0.1852130094566443
127,127,127,05-07,10.086721153793722,-0.025330862179574292,0.04701958130977716
128,128,128,05-08,10.984361266225193,0.733507138561843,0.0288900510174749
129,129,129,05-09,9.810795886090881,-0.25858979925013315,0.3156857974552214
130,130,130,05-10,11.112598661369756,0.8419151822801627,0.5721032418468864
131,131,131,05-11,10.648772280430094,0.4498102855304095,0.576453927092971
132,132,132,05-12,12.117356752479825,1.6913075061386098,0.457702652997016
133,133,133,05-13,10.117600073323057,0.0007732492969335942,0.8177595242289333
