,unnamed: 0,unnamed: 0,mth_day,great cinematography,great cinematography_norm,great cinematography_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.3645306213847035,-0.3681518707904852,
2,2,2,01-03,1.4516352010127669,-0.06997161811496777,
3,3,3,01-04,1.0797883180971612,-1.3428943275502858,
4,4,4,01-05,0.9433510027753572,-1.8099525847709843,-0.9336820174066331
5,5,5,01-06,1.3142405144102034,-0.5403071910820951,-0.8798587900654177
6,6,6,01-07,1.0424202033281025,-1.4708145121309817,-0.9657702790213264
7,7,7,01-08,1.4588678462622493,-0.04521250674319145,-0.649992208825051
8,8,8,01-09,1.3010561322063128,-0.5854405518504204,-0.4232890907470533
9,9,9,01-10,1.6332599007402882,0.5517740936273675,-0.28565065807016915
10,10,10,01-11,1.340698841004818,-0.4497338763029979,-0.19938534158523047
11,11,11,01-12,1.5554826029404316,0.28552340497920964,-0.3306445579475317
12,12,12,01-13,1.1936194338904162,-0.9532226132213492,-0.4834562097271641
13,13,13,01-14,1.2288067588302307,-0.8327678049169986,-0.6417442083342484
14,14,14,01-15,1.0332195889523312,-1.502310462528215,-0.7255019438838843
15,15,15,01-16,1.3558248367789996,-0.3979538980151381,-0.6823979970989932
16,16,16,01-17,1.1938947059854121,-0.9522802896008128,-0.6722915745676028
17,17,17,01-18,1.6310318949807887,0.5441470856885564,-0.7568579613513644
18,18,18,01-19,1.2113331961850304,-0.8925840780330065,-0.6888073129650003
19,19,19,01-20,1.0805852819476622,-1.3401661256195685,-0.6295007229608497
20,20,20,01-21,1.1524935462568435,-1.094006572210031,-0.7199818891926616
21,21,21,01-22,1.459772879182203,-0.042114357990234164,-0.8087641455419287
22,22,22,01-23,1.0353062573240162,-1.495167286991684,-0.8831247719241885
23,23,23,01-24,1.4754211652625595,0.011453547592954671,-0.7982517574255562
24,24,24,01-25,1.0809995933970271,-1.3387478363265648,-0.9149108232307632
25,25,25,01-26,1.2293441923718507,-0.8309280386277748,-1.0764779411227992
26,26,26,01-27,0.9480224829536068,-1.7939609670412728,-0.9398865551311538
27,27,27,01-28,1.176590426432359,-1.0115170653424503,-1.0302919992824098
28,28,28,01-29,1.2747131627282593,-0.6756189710418118,-0.8671808434381926
29,29,29,01-30,1.3169654364564096,-0.5309791173145814,-0.3951840631624079
30,30,30,01-31,1.3668883174484967,-0.3600809012612623,-0.003708695280841871
31,31,31,02-01,2.0566239487505134,2.001052643026933,0.1185959945045736
32,32,32,02-02,1.634170483327846,0.5548912402481231,0.09311916617112123
33,33,33,02-03,1.3909567064534374,-0.27768892662995764,-0.0009325962190160537
34,34,34,02-04,1.2300593319866924,-0.8284799410425259,0.07463126593934674
35,35,35,02-05,1.15211872069781,-1.0952896916554051,-0.11084363778869843
36,36,36,02-06,1.4993308596219317,0.09330227168891447,0.22220533705212966
37,37,37,02-07,1.7315377626099229,0.8882032206586624,0.28007307760254185
38,38,38,02-08,2.2179131830290943,2.553185089293092,0.4117452268724781
39,39,39,02-09,1.4923828438875886,0.06951751667251556,0.5406393443357955
40,40,40,02-10,1.4608441765490656,-0.03844704542290851,0.4680834432998538
41,41,41,02-11,1.3780344441724313,-0.32192498687550064,0.40018749776693796
42,42,42,02-12,1.372160441006414,-0.3420331345267356,0.1965392016009048
43,43,43,02-13,1.6125349566019025,0.4808275474611671,0.13836705370730076
44,44,44,02-14,1.860974068442916,1.331295312296893,0.044178400704893116
45,45,45,02-15,1.3904231646090026,-0.2795153706891086,-0.301279806913497
46,46,46,02-16,1.2957575294241896,-0.6035789634373544,-0.2590927454411119
47,47,47,02-17,0.7725417929925541,-2.394674232585841,-0.4425610786404489
48,48,48,02-18,1.4461026867921039,-0.08891076569242495,-0.6790213618068637
49,49,49,02-19,1.2909657333888482,-0.6199824517348549,-0.4616662603072779
50,50,50,02-20,1.446524619578366,-0.08746638670159604,0.005934839438045386
51,51,51,02-21,1.7713865163318103,1.0246152383084055,0.5446864453929269
52,52,52,02-22,2.1153328740985304,2.202027635034585,0.3718788221976958
53,53,53,02-23,1.7168242880183642,0.8378354031434477,0.42354512605971095
54,54,54,02-24,1.1432187384444148,-1.1257565048638114,0.5172543127459462
55,55,55,02-25,1.3815224682186489,-0.30998462856276393,0.31711808017107984
56,56,56,02-26,1.6107708949172246,0.4747887334158155,-0.12923089789300649
57,57,57,02-27,1.4206030774483125,-0.1762021571407922,-0.2567658775599889
58,58,58,02-28,1.3330066183622766,-0.4760662333499325,-0.015785571868111987
59,59,59,02-29,1.4932907570332343,0.07262552514155349,-0.1037400332167635
60,60,60,03-01,1.5655905361256357,0.3201253292874499,-0.3225830004686528
61,61,61,03-02,1.2273626340892425,-0.8377113966546729,-0.3792047552081629
62,62,62,03-03,1.2271997262165748,-0.8382690700955205,-0.5133399692386135
63,63,63,03-04,1.3213608083818478,-0.5159326855778535,-0.5102996116904888
64,64,64,03-05,1.0979047027939688,-1.2808775175326352,-0.5205298581928727
65,65,65,03-06,1.4986196625614605,0.0908676704303014,-0.6371581584921345
66,66,66,03-07,1.5476597446714209,0.25874385027314617,-0.4830191171014435
67,67,67,03-08,1.0229454942052465,-1.537481198450244,-0.5971778343119124
68,68,68,03-09,1.4973628161758423,0.08656517824862589,-0.34871004177137205
