,unnamed: 0,unnamed: 0,mth_day,al pacino,al pacino_norm,al pacino_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.0376664220477467,-0.5593612829935836,
2,2,2,01-03,1.4673669581948263,1.0105200510569885,
3,3,3,01-04,1.0540184962715988,-0.4996201052719709,
4,4,4,01-05,0.5550486885886624,-2.3225719553206905,-0.6522522649379237
5,5,5,01-06,1.013105195836428,-0.6490940324946102,-0.5767933093460161
6,6,6,01-07,0.9462386748854564,-0.893386264603675,-1.0893323963895152
7,7,7,01-08,1.1615920448511456,-0.10660754944213872,-0.822615515820328
8,8,8,01-09,0.6256282265264691,-2.064714471204005,-0.5928256424274193
9,9,9,01-10,1.492045437904237,1.1006811781431525,-0.5454494512097129
10,10,10,01-11,0.9324307097252548,-0.9438327149632384,-0.29935550967548835
11,11,11,01-12,1.090910725433989,-0.3648368851883718,-0.38025793273110414
12,12,12,01-13,1.3503967331775153,0.5831773846016725,0.01311650709542008
13,13,13,01-14,1.028726660155224,-0.5920220877758335,-0.27224482386077403
14,14,14,01-15,1.2716638371183049,0.2955321677551402,-0.30105837690277465
15,15,15,01-16,1.023398868582441,-0.6114868075940126,-0.20256833856954226
16,16,16,01-17,0.8851104482943949,-1.116714033215242,-0.1903833758990713
17,17,17,01-18,1.2526601062017957,0.2261033448110228,0.1614606828467349
18,18,18,01-19,1.3704079972604788,0.6562871606244979,0.05364454459830103
19,19,19,01-20,1.6065572671087325,1.5190422646990038,0.2149900110811741
20,20,20,01-21,1.0945982790823092,-0.3513646617354631,0.3606779671964231
21,21,21,01-22,1.2883752025848598,0.3565859913032258,0.3435178272018777
22,22,22,01-23,1.1243725816610104,-0.2425862965237481,0.12375246531386208
23,23,23,01-24,1.2244781492751928,0.1231425048437502,-0.160929854627405
24,24,24,01-25,1.0094891490077285,-0.6623050107035955,-0.2916265644735155
25,25,25,01-26,1.1390258319980466,-0.18905165494859869,-0.4329892930457717
26,26,26,01-27,0.8799561462965307,-1.1355449208121262,-0.4978821245360406
27,27,27,01-28,1.0562163548763521,-0.4915903801303118,-0.3802496891600299
28,28,28,01-29,1.0177996176592394,-0.6319432854653614,-0.3865445034209637
29,29,29,01-30,1.417664931433838,0.8289371170998143,-0.4517977028771743
30,30,30,01-31,0.9991512272647248,-0.700073896269198,-0.2314502599097193
31,31,31,02-01,1.031861038646566,-0.5805708516858623,-0.0922705980846415
32,32,32,02-02,1.2418309415237092,0.18653973699260312,-0.2404990632417417
33,33,33,02-03,1.2847899700018834,0.3434875908201553,-0.2862656747273726
34,34,34,02-04,0.7743652271658259,-1.5213140764079625,-0.33236306558130685
35,35,35,02-05,1.3425028014060771,0.5543374481860294,-0.2824062273071817
36,36,36,02-06,0.9234458609980576,-0.976658241392804,-0.473824459305558
37,37,37,02-07,1.1139047437024785,-0.2808298220411116,-0.6496997319953008
38,38,38,02-08,0.9274663517907936,-0.9619696549976544,-0.4026101269602033
39,39,39,02-09,0.9959514546417341,-0.7117640453183016,-0.13654522790652207
40,40,40,02-10,1.1801584554450708,-0.03877644619737727,-0.07968564328478915
41,41,41,02-11,1.7794589991524317,2.1507268425081167,-0.1042921726065286
42,42,42,02-12,1.0168258896681934,-0.6355007336624063,-0.04301166740324922
43,43,43,02-13,1.0734936427628081,-0.4284689979715484,-0.16186752436364452
44,44,44,02-14,1.0281068220100469,-0.594286623777978,-0.1495431423744318
45,45,45,02-15,0.8007554572665952,-1.4248991870806735,-0.5404086735594791
46,46,46,02-16,1.2003986867297451,0.03516984573789897,-0.6420380129464018
47,47,47,02-17,1.1375437486094857,-0.1944663446021667,-0.2553053946930525
48,48,48,02-18,0.8499208605721759,-1.2452767699839429,0.04577374762318378
49,49,49,02-19,1.7086214443537333,1.891926711548548,0.3785797281223797
50,50,50,02-20,1.5225666237920663,1.2121882301194395,0.5346208881313311
51,51,51,02-21,1.347319984731136,0.5719366959145016,0.3956970082990192
52,52,52,02-22,1.456663801789832,0.9714168057916084,0.6145620696068287
53,53,53,02-23,0.909390202149188,-1.0280096235960383,0.6551578970979065
54,54,54,02-24,1.2093611525788568,0.06791359786291411,0.629165815942982
55,55,55,02-25,1.7752916383100181,2.1355016764950143,0.4848899226582449
56,56,56,02-26,1.4798800424603475,1.0562357431898923,0.5612798675396088
57,57,57,02-27,1.1103768705496666,-0.29371866379392125,0.6259265171609468
58,58,58,02-28,1.582118380654366,1.4297564750797909,0.4517361859049894
59,59,59,02-29,1.0155588636902255,-0.6401297258680102,-0.002928355233863625
60,60,60,03-01,0.9232898026920592,-0.9772283896728308,-0.3917576848776384
61,61,61,03-02,1.0285997978878778,-0.5924855703381036,-0.2681606187234346
62,62,62,03-03,0.8413088289793523,-1.276740234672756,-0.6297415439616157
63,63,63,03-04,1.3133593168303734,0.4478637331313014,-0.4486244652644877
