,unnamed: 0,unnamed: 0,mth_day,star wars,star wars_norm,star wars_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1452624354738543,0.6543705737945564,
2,2,2,01-03,0.8269280257846959,-0.5396616829837676,
3,3,3,01-04,0.9473668003764916,-0.08791101622461749,
4,4,4,01-05,0.8023821226066292,-0.6317302727255677,-0.4233807358063244
5,5,5,01-06,0.734844576326575,-0.8850550982786318,-0.5948530959170388
6,6,6,01-07,0.6907903583839484,-1.0502969184199182,-0.597746678174403
7,7,7,01-08,0.870970586703549,-0.3744635868697303,-0.7376136566098813
8,8,8,01-09,0.8222993729427516,-0.5570231765279525,-0.7796584567883036
9,9,9,01-10,0.7236317793374559,-0.9271128868374878,-0.6292722209581568
10,10,10,01-11,0.7351261172383513,-0.8839990737961009,-0.4821854513729471
11,11,11,01-12,0.9754064874638824,0.017262316702248686,-0.1439696307049497
12,12,12,01-13,0.9260743536186892,-0.16777630090865994,-0.0938287266463514
13,13,13,01-14,1.4119898079616713,1.6548313371382541,-0.14124001488111304
14,14,14,01-15,0.9025061261732278,-0.2561777521763628,-0.08753036716661923
15,15,15,01-16,0.6477913937843677,-1.2115806162460576,-0.001867756905629187
16,16,16,01-17,0.8210415298383659,-0.5617411875091382,0.3786549777938136
17,17,17,01-18,1.1124347276059443,0.5312379782681889,0.07681090292573656
18,18,18,01-19,1.5347688646900437,2.1153601072879966,-0.0791244616081488
19,19,19,01-20,0.9291518200639708,-0.15623311207020812,0.12244093793354338
20,20,20,01-21,0.653067677906379,-1.1917899393796751,0.12444522262899732
21,21,21,01-22,0.9702208865184644,-0.0021882189959045273,-0.2920040996655317
22,22,22,01-23,0.8242476381244076,-0.5497154793364144,-0.6903086897027507
23,23,23,01-24,0.4462710703404051,-1.9674579554989853,-0.611030120226984
24,24,24,01-25,0.8976300144143092,-0.2744674329353169,-0.6578668688605033
25,25,25,01-26,1.0559679750135658,0.31943830478439184,-0.6571387832156105
26,26,26,01-27,0.5781463415185017,-1.4728104311807904,-0.6967885463574298
27,27,27,01-28,0.9713855521093028,0.002180294873452969,-0.4384461697181507
28,28,28,01-29,0.7608227991098148,-0.7876140581873309,-0.5782059766750948
29,29,29,01-30,0.8595225591421544,-0.4174036956633101,-0.8512577953591043
30,30,30,01-31,0.674066427785832,-1.113026274676981,-0.7582419624736271
31,31,31,02-01,0.619186862835643,-1.3188726073196648,-0.6338140721466209
32,32,32,02-02,0.7269369964706704,-0.9147154338679264,-0.6006341105015461
33,33,33,02-03,1.1704237880929147,0.7487476368354894,-0.7386134111882862
34,34,34,02-04,0.8138983677663558,-0.5885342883168827,-0.6757549272320551
35,35,35,02-05,0.6388071187471928,-1.2452794997837504,-0.4786143187518836
36,36,36,02-06,0.7746165675525029,-0.7358753709395934,-0.4863825305405544
37,37,37,02-07,0.9345383394982092,-0.13602895643863647,-0.8775908272009453
38,38,38,02-08,0.7145107537119072,-0.9613247045999516,-1.0088101651430568
39,39,39,02-09,0.5446363616180181,-1.598502143126857,-0.572591039235082
40,40,40,02-10,0.603996347549698,-1.3758503159695514,-0.44149338936001775
41,41,41,02-11,1.336595091321955,1.372035255664098,-0.20509862631026266
42,42,42,02-12,0.9843239322289786,0.05071052831079237,0.1692821006061167
43,43,43,02-13,1.3126818289484603,1.2823396218598941,0.4450312821060472
44,44,44,02-14,1.3133803421608037,1.2849596568983244,0.5290076911388258
45,45,45,02-15,0.9857322486850574,0.05599294587272592,0.27961142829246594
46,46,46,02-16,0.7383272943671318,-0.8719918617728789,0.2605207061050359
