,unnamed: 0,unnamed: 0,mth_day,twist,twist_norm,twist_ravg
0,0,0,01-01,,,
1,1,1,01-02,3.129808302691808,-0.9870862480385478,
2,2,2,01-03,3.9113662911976816,0.2429834555851557,
3,3,3,01-04,3.158544343971439,-0.94185949033151,
4,4,4,01-05,2.590644818840288,-1.8356588127612703,-0.8620825347960489
5,5,5,01-06,3.2726313969327854,-0.7623014415528806,-1.007680290833213
6,6,6,01-07,3.1924015625328086,-0.8885726716772413,-1.4386922169477143
7,7,7,01-08,2.5747515168650468,-1.860672784261532,-1.5525971203757487
8,8,8,01-09,2.268235923851558,-2.343088101101853,-1.3735007915906767
9,9,9,01-10,2.724309014338101,-1.6252889108997153,-1.315926440478081
10,10,10,01-11,3.273406939043848,-0.7610808400508394,-1.1571907960942784
11,11,11,01-12,3.492119905165437,-0.4168553348773066,-0.8371312723778811
12,12,12,01-13,3.7975434202502014,0.06384119462557547,-0.6261302461860409
13,13,13,01-14,3.794902261921322,0.05968435803685286,-0.3555699562070938
14,14,14,01-15,3.072627108110584,-1.0770819439508112,-0.4129505276572938
15,15,15,01-16,3.755755713899446,-0.0019271710260327813,-0.2728939084097916
16,16,16,01-17,3.054657169645471,-1.1053642687520389,-0.16862672636988565
17,17,17,01-18,4.026052426030923,0.4234843806077064,-0.21216724531831047
18,18,18,01-19,4.195037231319047,0.6894442868650114,-0.2272005897913697
19,19,19,01-20,3.628914398107177,-0.2015587556536964,-0.16052492146137834
20,20,20,01-21,3.015316060945044,-1.1672820107891664,-0.12449246789424387
21,21,21,01-22,4.009940827484916,0.3981268389539154,-0.3302793424221643
22,22,22,01-23,3.192022321463612,-0.8891695473492323,0.9904414720046938
23,23,23,01-24,3.2415389537790107,-0.8112368665598159,0.7564355169423291
24,24,24,01-25,9.229970943093804,8.61376917342616,0.6695255169094416
25,25,25,01-26,2.736822398776611,-1.6055944860278852,0.3141717943368393
26,26,26,01-27,2.683992374458112,-1.6887420109864906,0.3981763488745228
27,27,27,01-28,2.655239350956824,-1.7339954964816982,0.4083816184263345
28,28,28,01-29,3.5122696886317826,-0.3851422201231317,-1.0630825545654317
29,29,29,01-30,3.280444114614584,-0.7500052492489456,-0.7959256044849695
30,30,30,01-31,3.620364060748946,-0.21501586452443755,-0.4779256153370621
31,31,31,02-01,3.755294675128805,-0.0026527855451116203,-0.1161557634844818
32,32,32,02-02,3.89629163423742,0.2192579239009536,0.0008483360294271787
33,33,33,02-03,4.0344007930264505,0.4366236146337837,0.16894685199062573
34,34,34,02-04,3.9583199655891264,0.3168823769603222,0.1886206275770954
35,35,35,02-05,3.921279691420144,0.2585858465182455,0.0282689684715365
36,36,36,02-06,3.695365646895065,-0.09697321100561948,-0.096601605502929
37,37,37,02-07,3.1439921459716813,-0.9647627401784652,-0.1904533957384438
38,38,38,02-08,3.4202522959874675,-0.5299655199458394,-0.2527056254029739
39,39,39,02-09,3.67661318386223,-0.12648712677930524,-0.2361909706503376
40,40,40,02-10,3.720998158930763,-0.05663100102685821,-0.2507131384825976
41,41,41,02-11,3.984237881405553,0.3576737750340637,-0.16451441651279755
42,42,42,02-12,3.6400033389886612,-0.18410621799917976,0.05236693593673277
43,43,43,02-13,3.472604254160488,-0.4475704083596649,0.12797252259555178
44,44,44,02-14,4.247060824311693,0.7713225947513426,-0.10279009063699056
45,45,45,02-15,3.964841485338793,0.32714639317360883,-0.4342166389561533
46,46,46,02-16,2.841270628259585,-1.4412066804221122,-0.5468465728486999
47,47,47,02-17,2.720753060933897,-1.6308855148809132,-0.6036474269591405
48,48,48,02-18,3.210628527207082,-0.8598858213544596,-0.6200344181540748
49,49,49,02-19,3.256064519120145,-0.7883755330223091,-0.7206647389717209
50,50,50,02-20,4.184589321250135,0.6730006475817365,-0.5515522892570719
51,51,51,02-21,3.581212341937013,-0.2766355317322683,-0.33384069530700683
52,52,52,02-22,3.4859715861365954,-0.4265319821342169,-0.3652811338486435
53,53,53,02-23,3.5507266873426633,-0.32461595118052305,-0.3229829722329809
54,54,54,02-24,3.0907693395596416,-1.0485284526042795,-0.09979709813344027
55,55,55,02-25,3.4173161913421937,-0.5345865633283331,0.03563936492125256
56,56,56,02-26,5.035432337594469,2.01211589217898,0.02907449770703512
57,57,57,02-27,4.097531617130335,0.5359832465958888,-0.004478391788632907
58,58,58,02-28,3.4609445926273485,-0.4659211854195216,0.1612996679151644
59,59,59,02-29,3.422814283294952,-0.5259332881545312,-0.028846057317344083
60,60,60,03-01,3.722758729260808,-0.053860094381495714,-0.7173464389849569
61,61,61,03-02,2.6924308774551107,-1.675460914723384,-0.9049706519635408
62,62,62,03-03,2.4106885277284893,-2.1188863978266967,-0.982010769813754
63,63,63,03-04,3.3822589684736752,-0.5897620312756159,-1.0513580471284127
64,64,64,03-05,3.1672474824690084,-0.9281618925207988,-1.1192155851150265
65,65,65,03-06,3.1584442964231303,-0.9420169520424848,-1.0912565996630257
66,66,66,03-07,3.4640680189496336,-0.461005322301177,-1.0172205610041276
67,67,67,03-08,2.799017853946721,-1.5077070020113812,-1.0847363866246778
68,68,68,03-09,2.6929333010810703,-1.6746701658733092,-0.9550390963051616
69,69,69,03-10,3.1248709552146168,-0.9948569849989172,-0.6107702611336807
70,70,70,03-11,3.661687527800584,-0.1499781506037019,-0.6920649882957672
71,71,71,03-12,4.4708872784552804,1.1235960589863996,-0.4363842328348457
72,72,72,03-13,3.1541512235854703,-0.9487736852736959,-0.17820595597726618
73,73,73,03-14,3.773739870182141,0.02637753075414837,-0.13647903972132314
74,74,74,03-15,3.677176523114528,-0.1256005047278322,-0.2842031325645397
75,75,75,03-16,3.283944890485806,-0.7444954874632589,-0.7712152430253002
76,76,76,03-17,3.0985245890682007,-1.0363227076630013,-0.5432431568513568
77,77,77,03-18,2.614269538947964,-1.7984766037781637,-0.5561200513851171
78,78,78,03-19,4.023240534121489,0.4190588317699645,-0.5181576255014807
79,79,79,03-20,3.724649775074392,-0.050883836448413634,-0.3284742584436817
80,80,80,03-21,3.821899234965797,0.10217405057398593,-0.09697293509570164
81,81,81,03-22,4.007067573894647,0.3936047148835356,0.09644882036578603
82,82,82,03-23,3.9810682762069822,0.3526852324248788,-0.06939401582864392
83,83,83,03-24,3.351643938234855,-0.6379460710092376,-0.0971817456978457
84,84,84,03-25,3.391004199469615,-0.5759981853966152,-0.1068204106341348
85,85,85,03-26,3.618715669725375,-0.2176102156636243,-0.2277848482196116
86,86,86,03-27,3.7851541193485474,0.04434206095625141,-0.40719756140391583
87,87,87,03-28,3.5459194507848464,-0.3321819106293252,-0.3053584784313359
88,88,88,03-29,3.2971000157956096,-0.7237910466809467,-0.3847383072130733
89,89,89,03-30,3.7398811996104806,-0.02691157317375788,-0.4721237149441775
90,90,90,03-31,3.088387498345297,-1.0522771580870398,-0.5753035804088141
91,91,91,04-01,3.2855796045582233,-0.7419226620502495,-0.7774860303969847
92,92,92,04-02,3.3918054438907994,-0.5747371318315682,-0.7308076674599177
93,93,93,04-03,2.7751469890693743,-1.5452766105583486,-0.9041207259658354
94,94,94,04-04,3.4750501628630555,-0.4437208690585444,-0.7667537090774686
95,95,95,04-05,3.0791664206578075,-1.0667899242092642,-0.8852640632141942
96,96,96,04-06,3.6120665504675378,-0.2280750567568391,-0.8284244874540629
97,97,97,04-07,2.8337870904103304,-1.4529847868706025,-0.6349891545106182
98,98,98,04-08,3.608492796003026,-0.23369967727078075,-0.6050177328273831
99,99,99,04-09,3.5125731492741514,-0.3846646128976803,-0.6343959848922409
100,100,100,04-10,3.5893090734324504,-0.2638923389591344,-0.8517646671618114
101,101,101,04-11,2.9671688280564075,-1.243059436598411,-0.680848914661679
102,102,102,04-12,2.7834001932116634,-1.5322871503742617,-0.7148705716304286
103,103,103,04-13,3.4853627108867236,-0.4274902718698071,-0.9074629148662532
104,104,104,04-14,3.47879332755274,-0.4378296190832779,-1.020973962153513
105,105,105,04-15,2.7783606866587607,-1.5402186723126268,-0.8649478924729003
106,106,106,04-16,3.1565752265796605,-0.9449586226826944,-0.5800440262325758
107,107,107,04-17,3.5619810772231983,-0.3069030185147337,-0.6129976296873321
108,108,108,04-18,3.869528362828557,0.17713604706768482,-0.6761859451392845
109,109,109,04-19,3.3597349422119254,-0.6252118925983434,-0.606665167819939
110,110,110,04-20,3.237902916661957,-0.8169595117949939,-0.3084033881304749
111,111,111,04-21,3.043392100997347,-1.1230940083965526,-0.17783710809254005
112,112,112,04-22,4.293627261414222,0.8446120554540897,-0.17354054457550402
113,113,113,04-23,4.059733938996112,0.4764946617128756,-0.08857363937750289
114,114,114,04-24,3.8859079884545022,0.20291542816990105,-0.06469803053563165
115,115,115,04-25,3.683651042188161,-0.11541046141033665,0.08494660157155731
116,116,116,04-26,3.328922991861766,-0.6737058587437665,0.13328450640637649
117,117,117,04-27,3.613876638495596,-0.2252262157534189,0.03877072052165203
118,118,118,04-28,4.477904016918379,1.1346394844630048,-0.0037051870042728494
119,119,119,04-29,3.699422629005158,-0.0905880535954712,-0.03961629489711757
120,120,120,04-30,3.7239787022614057,-0.0519400169856482,-0.15634661229647606
121,121,121,05-01,3.5467484918673127,-0.3308771087674049,0.01105731441043508
122,122,122,05-02,2.8839164440432183,-1.3740877631399169,-0.13698181426995373
123,123,123,05-03,4.2520642591138635,0.7791973444880478,-0.3953676732892135
124,124,124,05-04,3.9135400790500174,0.2464047123806719,-0.5747646048502884
125,125,125,05-05,2.714388049394542,-1.64090320771103,-0.6052808214967897
126,126,126,05-06,3.0400706055318323,-1.1283216063520969,-0.2939310749549132
127,127,127,05-07,3.4304126801871067,-0.5139744086464132,-0.5896231005158742
128,128,128,05-08,4.070863236955321,0.4940107161113421,-0.6832571168662614
129,129,129,05-09,3.1248088001727377,-0.994954808877718,-0.17137942977110007
