,unnamed: 0,unnamed: 0,mth_day,jodie foster,jodie foster_norm,jodie foster_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.002933389744705,0.10944647404402724,
2,2,2,01-03,0.9288240275315436,-0.22078184354763766,
3,3,3,01-04,1.0116603823638666,0.1483335998294491,
4,4,4,01-05,0.7913980703049938,-0.8331463450503662,-0.5053796555062947
5,5,5,01-06,0.784916196543618,-0.8620293121025444,-0.7601339052285692
6,6,6,01-07,0.6699979185478095,-1.3741005062106963,-0.9275035637138864
7,7,7,01-08,0.6599039044655772,-1.4190790242896196,-0.7943690587521613
8,8,8,01-09,0.7034588849906386,-1.22499979445954,-0.5705374830513407
9,9,9,01-10,1.190927502577559,0.9471406295997988,-0.5470510795151804
10,10,10,01-11,1.0927898244585468,0.509843109154557,-0.4754641054453929
11,11,11,01-12,0.8165409051592739,-0.7211108908855823,-0.17835285251436006
12,12,12,01-13,0.7663905906803458,-0.9445786617919716,-0.06275723153636859
13,13,13,01-14,1.0599675747465511,0.3635884932965776,-0.3659310104638041
14,14,14,01-15,0.8591096990902258,-0.5314260685915911,-0.5158625784020094
15,15,15,01-16,0.7827005723144473,-0.8719020439648141,-0.3497261425721885
16,16,16,01-17,0.8909052685266883,-0.3897462984746752,-0.11113300175882464
17,17,17,01-18,1.040245499414093,0.2757077240933426,-0.21200196033471708
18,18,18,01-19,1.0876589596028,0.486980183088212,-0.10604077874010556
19,19,19,01-20,0.9241463785205764,-0.24162525815877706,-0.07680703669582205
20,20,20,01-21,1.0017876313390228,0.10434102097607804,-0.2408368398589309
21,21,21,01-22,0.8220641373861415,-0.6964995916991129,-0.3754479389384702
22,22,22,01-23,0.6700372790394921,-1.373925117453329,-0.4120009123035247
23,23,23,01-24,0.8589901284813166,-0.5319588703838928,-0.11521245580738387
24,24,24,01-25,1.0384399665830342,0.2676623428978855,-0.4385136882063552
25,25,25,01-26,1.3237753997425783,1.5391054808180675,-0.4846174471228243
26,26,26,01-27,0.5664588568010956,-1.83546637341775,-0.1014585229044966
27,27,27,01-28,0.7599849033486705,-0.9731221451979276,-0.10856199392351816
28,28,28,01-29,1.1859651141904408,0.9250284278566372,-0.3509064268740489
29,29,29,01-30,0.8494252242255227,-0.5745796964980222,-0.7428081950149247
30,30,30,01-31,0.7121204402712654,-1.1864042548052989,-0.5197094483955764
31,31,31,02-01,0.7960752261364441,-0.8123051280271876,-0.28379104977965164
32,32,32,02-02,0.8668638482887105,-0.4968738937016606,-0.33841689888489945
33,33,33,02-03,1.0776517015799894,0.4423882464976211,0.2301060907511091
34,34,34,02-04,1.1124107891028854,0.5972733332251505,0.21756875313990207
35,35,35,02-05,1.61494787484586,2.8365582413180284,0.535040261948001
36,36,36,02-06,0.6952387730479258,-1.261628280472541,0.8660015420685951
37,37,37,02-07,1.2235542117704503,1.0925239248214065,0.7268247980839281
38,38,38,02-08,1.3125069639221305,1.4888937870219043,0.5191878547333575
39,39,39,02-09,0.8902486380239077,-0.3926722174103812,0.2720583183058616
40,40,40,02-10,0.8328252909998088,-0.6485483268782731,0.5526059103217215
41,41,41,02-11,1.2821851524559094,1.3537810227530531,0.3323611378886489
42,42,42,02-12,1.0729992861322528,0.42165727162261857,0.17398085443547628
43,43,43,02-13,0.9269921288788074,-0.22894470977702885,-0.09356186225225248
44,44,44,02-14,1.0992461167702885,0.5386120863028687,0.0049300995111910715
45,45,45,02-15,0.529999336999012,-1.9979285175367536,-0.14635399241731695
46,46,46,02-16,0.965445834070936,-0.057596556297611776,-0.17412807721258225
47,47,47,02-17,1.0784794076381854,0.4460764711820047,-0.3023093372840827
48,48,48,02-18,1.0356011660938036,0.25501276285102703,-0.5673278179831369
49,49,49,02-19,0.75439460906239,-0.9980322702060318,-0.4485812326379445
50,50,50,02-20,0.7423957281202088,-1.0514987978914567,-0.398457662502729
51,51,51,02-21,0.6898929603400237,-1.2854490054655994,-0.2860587008323811
52,52,52,02-22,1.032937789485142,0.2431448645136812,-0.4169544400549416
53,53,53,02-23,1.2298258837410203,1.120470241204092,-0.341872402777647
54,54,54,02-24,0.8593485693277214,-0.5303616724843355,-0.2045643258884776
55,55,55,02-25,0.8554934234257081,-0.5475400465422648,0.4064939309441629
56,56,56,02-26,0.9272826102480104,-0.22765033655644026,0.17956748558036648
57,57,57,02-27,1.5126898304427734,2.380900535530244,-0.13445084278946404
58,58,58,02-28,0.7273787582453226,-1.1184138076690973,-0.05826996794724824
59,59,59,02-29,0.8069966447142108,-0.7636397290148911,0.2047101524050237
60,60,60,03-01,0.9619269809292064,-0.07327642343104053,0.1472988717130416
61,61,61,03-02,1.209599136760921,1.030340675571367,-0.4762970566051151
62,62,62,03-03,0.8499776699518006,-0.5721180207083331,-0.2769455573136204
63,63,63,03-04,0.6730108435511417,-1.3606750343786969,-0.18800080142014272
64,64,64,03-05,0.9958078119947044,0.0776951880798705,-0.15069409506764314
65,65,65,03-06,0.9267617668492848,-0.2299711936540248,-0.3540458474479548
66,66,66,03-07,1.0121608839612803,0.15056381468395688,-0.3715413123693567
67,67,67,03-08,0.9357836968784754,-0.1897698387105028,-0.21878262405846985
68,68,68,03-09,0.8264198280973462,-0.6770908102367443,-0.3018797195444384
69,69,69,03-10,0.8787021491145384,-0.4441229045133761,-0.2332835989318212
70,70,70,03-11,0.8839166308904935,-0.4208873848359409,-0.3911669921866453
71,71,71,03-12,1.0191272208958544,0.1816055300216786,-0.2966443396679776
72,72,72,03-13,0.7995691050945231,-0.7967365448449879,0.05655754701798621
73,73,73,03-14,1.0630595200533357,0.3773660764015029,-0.06112058924763999
74,74,74,03-15,1.3020101726022428,1.4421205098790386,-0.32206167051242485
75,75,75,03-16,0.720247204571663,-1.1501917221071332,-0.6113663583806862
76,76,76,03-17,0.532556506802201,-1.9865338724246504,-0.5508384371077915
77,77,77,03-18,0.6295751789712272,-1.5542225971878894,-0.6676272398841142
78,78,78,03-19,0.8810706372648076,-0.43356901720761937,-0.7274338654911284
79,79,79,03-20,0.9058020731357594,-0.3233667402564332,-0.41457884460117617
80,80,80,03-21,1.2214798732230532,1.083280756236953,-0.07373536990079378
81,81,81,03-22,1.1415100368889513,0.7269384032325801,0.3004372276340663
82,82,82,03-23,0.9915061094670581,0.058526975777643986,0.4663150393201718
83,83,83,03-24,1.133402823369164,0.6908129880212709,0.6410114099336784
84,84,84,03-25,1.1044269911782147,0.5616978529090133,0.7057850526524341
85,85,85,03-26,1.1410327166167318,0.7248114834246069,0.26733299756728474
86,86,86,03-27,1.3086983174519191,1.4719226125494862,0.26413033215832665
87,87,87,03-28,0.5511293741938311,-1.9037739272783152,0.03605756435097742
88,88,88,03-29,0.9871936841867972,0.03931098332389574,-0.22534525221577995
89,89,89,03-30,0.826300255963787,-0.6776236188228245,-0.6136016138327894
90,90,90,03-31,0.7524451352713422,-1.0067190464915308,-0.9276448689087468
91,91,91,04-01,0.618241124221228,-1.6047266862774503,-0.5160548299524941
92,92,92,04-02,0.8858355143327279,-0.4123369179062577,-0.5412913704279501
93,93,93,04-03,1.1053400276494574,0.565766306459201,-0.07926059935758778
94,94,94,04-04,0.9532123963419076,-0.11210825952884,0.5341974664562762
95,95,95,04-05,1.4484299270337149,2.094561007599349,0.8930389505360311
96,96,96,04-06,1.5784733753728053,2.6740293483916524,1.0064115574476842
97,97,97,04-07,1.101425250550305,0.5483222182010798,0.8153863239730909
98,98,98,04-08,1.0384930147907343,0.2678987235636609,0.6867387137578035
99,99,99,04-09,0.8481223852134593,-0.5803850943883591,0.439271306631008
100,100,100,04-10,0.7799869307700905,-0.8839939208205652,-0.36289638839385024
101,101,101,04-11,1.1152122579168775,0.609756564838576,-0.5737941002405367
102,102,102,04-12,0.4983454802271873,-2.1389768217574967,-0.5190113895925058
103,103,103,04-13,0.8174490907014228,-0.7170640528790391,-0.3969956009823845
104,104,104,04-14,1.1122585557239122,0.5965949874518458,-0.4447918206317341
105,105,105,04-15,1.0124180278121044,0.15170963727236936,-0.4186348921748421
106,106,106,04-16,0.7156287791691714,-1.1707712387166629,0.08510139249162693
107,107,107,04-17,1.1504328586127728,0.7666981355799278,0.0944665442421414
108,108,108,04-18,1.1766320981498974,0.8834408862413174,0.07207263131711204
109,109,109,04-19,0.8300593737017735,-0.6608731423759523,-0.0012947798242412267
110,110,110,04-20,1.082104898101192,0.4622315099016698,0.06576978488221648
111,111,111,04-21,0.9136279769787344,-0.28849482957575023,-0.09291476434058654
112,112,112,04-22,0.8059319758255744,-0.7683838504779167,-0.35330348251572435
113,113,113,04-23,0.9367623141528068,-0.18540915975689026,-0.032691169314306844
114,114,114,04-24,0.826015737223693,-0.6788914228095094,-0.04967611222648279
115,115,115,04-25,1.261767488057193,1.262800736832553,0.2182366818409017
116,116,116,04-26,1.0592344799197062,0.3603218524286141,0.2322202679742981
117,117,117,04-27,1.2743755913907282,1.3189819348285567,0.4380221700545763
118,118,118,04-28,0.8247610330794755,-0.6844823336775384,0.6940349977341085
119,119,119,04-29,1.213876908382442,1.0494022527247788,0.5487509099090407
120,120,120,04-30,1.1707399119901696,0.8571855432676835,0.2611277637615257
121,121,121,05-01,1.066140816783952,0.3910962098821467,0.0926362237722454
122,122,122,05-02,0.6719466529849046,-1.3654170244564765,0.2324556582665812
123,123,123,05-03,1.0474998226864982,0.3080326948928751,-0.03237209262238633
124,124,124,05-04,1.0130294866927034,0.15443427328847625,-0.26079538515076844
