,unnamed: 0,unnamed: 0,mth_day,space opera,space opera_norm,space opera_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.213687515899132,0.14828469384110546,
2,2,2,01-03,1.8770073839708623,-0.6119107132872705,
3,3,3,01-04,2.234093140343181,0.19435887675504585,
4,4,4,01-05,1.5624460679489598,-1.3221636953404394,-0.628443976987716
5,5,5,01-06,1.9863898550593588,-0.3649342978225673,-0.7899861394868748
6,6,6,01-07,1.3444862045775392,-1.8142987260721704,-0.8906785115527235
7,7,7,01-08,1.7844186510346796,-0.8209682811538462,-0.8633985162358432
8,8,8,01-09,1.6094357507296573,-1.2160649456823631,-0.7370055836354523
9,9,9,01-10,2.306584757652351,0.35803884865632696,-0.7848250027661344
10,10,10,01-11,1.898312258328463,-0.5638060997380939,-0.5816525710714044
11,11,11,01-12,1.859318461120255,-0.6518508126066596,-0.20337048199971167
12,12,12,01-13,1.8843799250531548,-0.5952641359037911,0.01883267932256668
13,13,13,01-14,2.789634382099349,1.4487242532763107,-0.22265844244600608
14,14,14,01-15,2.1999001679099344,0.11715402225130678,-0.09502095665478437
15,15,15,01-16,1.664866099732451,-1.0909078819551097,-0.05015364563782456
16,16,16,01-17,2.2374856220627497,0.20201881500923646,0.12654157219144704
17,17,17,01-18,1.978545165602876,-0.3826469465049007,-0.1339916524286307
18,18,18,01-19,2.353915273664968,0.4649071710718386,-0.3105016737882853
19,19,19,01-20,2.0973148052042534,-0.1144750944441558,0.044183282319932585
20,20,20,01-21,1.7308569451744835,-0.9419061059066208,-0.13326329403237572
21,21,21,01-22,2.6073767491975146,1.037201854694198,-0.3908517760664789
22,22,22,01-23,1.7659536750688158,-0.8626606431046134,-0.5933263313529873
23,23,23,01-24,1.2940507056162278,-1.92817783870952,-0.6173416032259548
24,24,24,01-25,1.8158760325954608,-0.7499401606472121,-0.7648406658962895
25,25,25,01-26,2.03349859563498,-0.2585667256819605,-1.009149357896292
26,26,26,01-27,1.3389050595397032,-1.8269004819286287,-0.973858396733324
27,27,27,01-28,1.9581709117313584,-0.42865029730581744,-0.7608474137455435
28,28,28,01-29,1.8597329745658224,-0.6509148761268055,-0.8290353211738019
29,29,29,01-30,1.860088583630285,-0.6501119407828363,-0.8778629519288819
30,30,30,01-31,1.6346790920174037,-1.1590676052167626,-0.6061472296259739
31,31,31,02-01,1.903748062993924,-0.5515325102124409,-0.22326904305967832
32,32,32,02-02,2.060940086645408,-0.1966061481111808,-0.18858742361646386
33,33,33,02-03,2.9755999345075623,1.8686188220919562,-0.05406533988861967
34,34,34,02-04,1.9518930594608552,-0.44282515946751866,-0.13814070758668284
35,35,35,02-05,2.2175565120502307,0.15702056158422856,-0.21926521271846466
36,36,36,02-06,1.4112641203687668,-1.6635198114051415,-0.32453192311616624
37,37,37,02-07,1.6881744709863773,-1.0382795410031316,-0.9192399348334734
38,38,38,02-08,1.7812129827032912,-0.8282064104973904,-1.1399442590951503
39,39,39,02-09,1.395271745468904,-1.6996292482118875,-1.0659044964166111
40,40,40,02-10,1.3654115286903383,-1.7670511050375808,-0.9423136537376948
41,41,41,02-11,2.4143036917842866,0.6012591376554643,-0.7360738056159734
42,42,42,02-12,1.7396842673053037,-0.9219747553316432,-0.1049728429323873
43,43,43,02-13,2.236219291752532,0.19915954772719704,0.2068805645992519
44,44,44,02-14,3.4582488083655685,2.9583993656041265,0.2886594818493433
45,45,45,02-15,2.2239653582334085,0.17149119697794768,0.04074305286558008
46,46,46,02-16,1.5827241016724758,-1.2763776015370325,0.3724076075371882
47,47,47,02-17,1.755510950591021,-0.8862394362471149,0.2196893833420888
48,48,48,02-18,2.6210223941265096,1.0680125726980054,-0.4262968350188756
49,49,49,02-19,1.830398435264452,-0.7171497974433992,-0.4270566852722724
50,50,50,02-20,1.7416581277416423,-0.9175179445616602,-0.23480611924274275
51,51,51,02-21,2.2219461946249948,0.1669320954575669,-0.02582389882777144
52,52,52,02-22,2.0935949540388017,-0.12287420535985424,-0.2629190008354792
53,53,53,02-23,2.3108431260833155,0.3676538862427129,-0.1208079650317702
54,54,54,02-24,1.9909853577936552,-0.35455803934824115,-0.008191300501560271
55,55,55,02-25,2.2080326211661503,0.1355164173788548,-0.20499840956450247
56,56,56,02-26,2.0409163956749805,-0.24181795738040066,-0.2936392171446829
57,57,57,02-27,1.6989671593211697,-1.0139105589200863,-0.4807527977826879
58,58,58,02-28,1.8580481576981835,-0.6547190508409366,-0.4794600058446665
59,59,59,02-29,1.8136228764681848,-0.7550275975853176,-0.6702930795626397
60,60,60,03-01,1.9944207168302983,-0.34680128772011226,-0.8640182413474516
61,61,61,03-02,1.7009284963595046,-1.0094820249289849,-0.9561934060939904
62,62,62,03-03,1.5261270737511652,-1.4041689280892726,-0.9109852038963612
63,63,63,03-04,1.4540284527488427,-1.566961547399319,-0.7325688573126375
64,64,64,03-05,1.9781807183851805,-0.3834698376551614,-0.5942657893126032
65,65,65,03-06,2.2877318111660023,0.3154704819170244,-0.6212872886502973
66,66,66,03-07,2.3619359220817766,0.4830171202800935,-0.4825765990342452
67,67,67,03-08,1.6291237850186628,-1.1716110209551491,-0.3692293379546762
68,68,68,03-09,1.8947254591810883,-0.5719047903929603,-0.4528212191116632
69,69,69,03-10,1.7552281479019562,-0.8868779809219052,-0.6973345933202569
70,70,70,03-11,1.7560505241312132,-0.8850211245970838,-0.9038238887128331
71,71,71,03-12,1.63798206802234,-1.1516097633345372,-1.0140683993256128
72,72,72,03-13,1.8132282406410656,-0.7559186520753641,-1.0675606931962835
