,unnamed: 0,unnamed: 0,mth_day,train,train_norm,train_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.046951386566746,1.9029742814818853,
2,2,2,01-03,1.5111732949711918,0.018861970309948527,
3,3,3,01-04,1.1445860965684351,-1.270275201334707,
4,4,4,01-05,1.3958713823053788,-0.3866076757302263,-0.5007958951254642
5,5,5,01-06,1.2062637196831942,-1.0533802389291451,-0.9808755029433052
6,6,6,01-07,0.8755547086981703,-2.21634850655054,-1.1080811687030645
7,7,7,01-08,1.227840547264622,-0.9775033654251608,-0.8813938401121746
8,8,8,01-09,1.2941352497226684,-0.7443720242486076,-0.7299133505603473
9,9,9,01-10,1.5313595502988304,0.08984877021063266,-0.6821540814059414
10,10,10,01-11,1.6543270819729512,0.5222752615807371,-0.6346219687054954
11,11,11,01-12,1.2877504864703495,-0.7668246240027098,-0.4880027197017846
12,12,12,01-13,0.9566539016108558,-1.931155830347864,-0.2468711835213627
13,13,13,01-14,1.4780020083089032,-0.09778787140289627,0.042984613397230274
14,14,14,01-15,1.7055533807295982,0.7024171928339237,-0.03925705504457715
15,15,15,01-16,2.025910914748082,1.8289835517221904,0.055384687586507116
16,16,16,01-17,1.5140065164542913,0.028825250929892562,0.3599749223233018
17,17,17,01-18,1.4492280330629508,-0.19897416821620412,0.2884121755701549
18,18,18,01-19,1.476345133555774,-0.1036144219270956,0.23847735093828945
19,19,19,01-20,1.3559017970081615,-0.5271643519217781,-0.05312592229651384
20,20,20,01-21,1.620354685662068,0.4028082450427312,-0.1678189678413218
21,21,21,01-22,1.5283780098027908,0.07936391231337091,0.021146165834930064
22,22,22,01-23,1.3183174780772,-0.6593330223389553,-0.04774072990261016
23,23,23,01-24,1.7716399554271332,0.9348166338413072,-0.2562018358019778
24,24,24,01-25,1.3588104537534516,-0.5169357963523369,-0.2967275941550424
25,25,25,01-26,1.000225886941451,-1.7779309873179838,-0.2459024775847807
26,26,26,01-27,1.5512097201243331,0.15965369492434348,-0.20072050781053505
27,27,27,01-28,1.6150957191442212,0.3843146117349409,-0.43056282655287137
28,28,28,01-29,1.3954068619636075,-0.38824120369348103,-0.42999994438032535
29,29,29,01-30,1.3794834639903704,-0.4442372786127112,-0.1782478036265552
30,30,30,01-31,1.3597708421583623,-0.5135585033170609,-0.08172744786456393
31,31,31,02-01,1.4297648716241156,-0.2674181427953629,-0.11061018248378524
32,32,32,02-02,1.7158925525764517,0.7387758294962912,-0.043653772371018716
33,33,33,02-03,1.5658160567506716,0.2110182040196128,-0.14951661003427527
34,34,34,02-04,1.509647751164083,0.013497256983118185,-0.048494726001432176
35,35,35,02-05,1.198860508136439,-1.0794143045922504,0.11888540209669073
36,36,36,02-06,1.532134172886256,0.09257280087999764,-0.12869663909726198
37,37,37,02-07,1.7153485018727308,0.7368626257933745,0.09552358415051153
38,38,38,02-08,1.2934685831845671,-0.7467164176674251,0.1097299011771543
39,39,39,02-09,1.948380140419647,1.5563395435062544,0.3046974662112126
40,40,40,02-10,1.5338865400515722,0.09873515914297484,0.2352458157645843
41,41,41,02-11,1.5315137665358975,0.0903910856120995,-0.035633862486555555
42,42,42,02-12,1.4136359097610265,-0.3241371017997721,0.039248658593405886
43,43,43,02-13,1.2531741520587103,-0.8884154437134646,-0.13256321739828567
44,44,44,02-14,1.4212329866127158,-0.2974212911876564,-0.3456253364679613
45,45,45,02-15,1.6552350710314343,0.5254682875561046,-0.6226593898172851
46,46,46,02-16,1.1703603907782818,-1.1796375552750793,-0.4684723693311181
47,47,47,02-17,1.0588388345893276,-1.5718132344838427,-0.4157199975578621
48,48,48,02-18,1.6767094869412495,0.6009850211172295,-0.4779519920083848
49,49,49,02-19,1.343180140262994,-0.5719012130739272,-0.720690954089795
50,50,50,02-20,1.3150528856967143,-0.6708132578907934,-0.4473530263121945
51,51,51,02-21,1.2410743532588238,-0.9309654849323564,-0.08060048427107258
52,52,52,02-22,1.6367290008775617,0.4603900113905238,-0.3810902917763765
53,53,53,02-23,1.6845912673847596,0.6287020177628885,-0.3969592396613867
54,54,54,02-24,1.164014395503841,-1.2019538239145944,-0.4725948650882448
55,55,55,02-25,1.3161045740251036,-0.6671149003839882,-0.14235801297125567
56,56,56,02-26,1.1860035371810775,-1.1246270104519416,-0.3102810981290965
57,57,57,02-27,1.8045237910209788,1.0504556277695782,-0.63431746171986
58,58,58,02-28,1.3502189784105554,-0.5471484995565212,-0.5694956321324047
59,59,59,02-29,1.1317210903912205,-1.3155161637816928,-0.5351988831937686
60,60,60,03-01,1.2746132678030084,-0.8130228463898622,-0.10495495830323742
61,61,61,03-02,1.37462161651344,-0.4613344067521717,-0.27397241554822105
62,62,62,03-03,1.9200848367880432,1.4568365388912456,-0.314847211041159
63,63,63,03-04,1.5161465531500882,0.0363508842996764,-0.22765912278302544
64,64,64,03-05,1.280478486422762,-0.7923972725141492,-0.2493304402653517
65,65,65,03-06,1.2804812272253712,-0.7923876342328917,-0.2181677170413729
66,66,66,03-07,1.2376377104940497,-0.9430507512838202,-0.3395153581735505
67,67,67,03-08,1.427791390774334,-0.2743580674082982,-0.4111217252956589
68,68,68,03-09,1.7130417411087413,0.7287506920981799,-0.2727214685863542
69,69,69,03-10,1.3939719168655549,-0.39328731843297376,-0.09151322665650537
70,70,70,03-11,1.5166167197213585,0.03800426774167907,0.03443524074612105
71,71,71,03-12,1.5896583568482987,0.2948618173462012,0.04635342746360519
72,72,72,03-13,1.4525307264917755,-0.18735994686806165,-0.11038236493397087
