,unnamed: 0,unnamed: 0,mth_day,aviation,aviation_norm,aviation_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.8932667749588626,-0.0003972454877201343,
2,2,2,01-03,0.5993589833736933,-1.2199722315320738,
3,3,3,01-04,0.8739689008588875,-0.0804740764190391,
4,4,4,01-05,0.6773439631461777,-0.8963723361201957,-0.7051918757756082
5,5,5,01-06,0.8299432413417608,-0.2631592403665694,-0.8634621307859746
6,6,6,01-07,0.466619662136208,-1.7707761247280511,-0.802636379460605
7,7,7,01-08,0.6644156014467161,-0.9500187755499182,-0.7218829003789191
8,8,8,01-09,0.6873100931362769,-0.8550177235798566,-0.7267875616904553
9,9,9,01-10,0.9907345461269892,0.4040467980710769,-0.7977982564238879
10,10,10,01-11,0.6702520588793198,-0.9258003039894136,-0.6512531600515817
11,11,11,01-12,0.7272651934635006,-0.6892234087671647,-0.6479917621063568
12,12,12,01-13,0.6785168204181374,-0.8915055464942127,-0.5789818850979568
13,13,13,01-14,0.6691314259521226,-0.9304503878785688,-0.7989324785813969
14,14,14,01-15,0.7870950548542375,-0.440958461529456,-0.4529515337479272
15,15,15,01-16,0.6726965709554603,-0.9156567628295652,-0.4173797360391402
16,16,16,01-17,1.1705238581052375,1.1500853650114058,-0.4553070584238306
17,17,17,01-18,0.7787003013999818,-0.4757926225144425,-0.1225004626438536
18,18,18,01-19,0.6236757371372555,-1.1190694808023554,0.07034916104124317
19,19,19,01-20,1.1503537503354493,1.0663891868012936,0.1516049643669604
20,20,20,01-21,1.0659463316707156,0.7161392805811246,-0.2501786093633473
21,21,21,01-22,0.7901885529109112,-0.4281219428752618,-0.1320655567714908
22,22,22,01-23,0.5895641424589683,-1.260616077370441,0.05565923554823506
23,23,23,01-24,0.9494860923938602,0.2328856930366968,-0.3117556002164949
24,24,24,01-25,0.8951167543825959,0.007279273115999752,-0.7548109409621716
25,25,25,01-26,0.6190895761226525,-1.1380998277870862,-0.7972646355744021
26,26,26,01-27,0.4253096267268144,-1.9421927638929348,-0.767473933188922
27,27,27,01-28,0.7288025531771085,-0.6828441105486444,-0.8250824239764881
28,28,28,01-29,0.6326400647175234,-1.0818718630575597,-0.9441901552156159
29,29,29,01-30,0.8661869865692398,-0.11276525168869925,-0.6603040059939996
30,30,30,01-31,0.7228927059241002,-0.7073671143187684,-0.6709612598730962
