,unnamed: 0,unnamed: 0,mth_day,cannibalism,cannibalism_norm,cannibalism_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.1053521087834637,-0.7830536001037779,
2,2,2,01-03,0.9953049279319302,-1.1533934438895916,
3,3,3,01-04,1.2369870640907947,-0.3400647983184903,
4,4,4,01-05,1.0755708936189667,-0.8832758001313376,-0.941982449461813
5,5,5,01-06,1.2330768730951085,-0.35322369535983106,-1.1089626909672383
6,6,6,01-07,0.7024647468611033,-2.138883358967849,-1.0583587823243292
7,7,7,01-08,0.8076411525806326,-1.7849350491363298,-0.8067781541932576
8,8,8,01-09,1.085527207489429,-0.8497699920321357,-0.6459836027131943
9,9,9,01-10,1.6855330039442629,1.1694189704679383,-0.7474878392963867
10,10,10,01-11,1.3622533132978218,0.08149150874904154,-0.4309564364424419
11,11,11,01-12,1.0521038246710606,-0.9622491148589852,-0.11171113802402584
12,12,12,01-13,1.26681215564605,-0.2396949418441801,-0.16284384041707514
13,13,13,01-14,1.3768271963816097,0.13053674137416688,-0.4168778629443793
14,14,14,01-15,0.9943621355897406,-1.1565662063904314,-0.5216502488662398
15,15,15,01-16,1.2326128795462037,-0.3547851646958866,-0.11155435498736216
16,16,16,01-17,1.1754534445514608,-0.5471428067821209,-0.14250388194613994
17,17,17,01-18,1.78326841995983,1.4983262484142803,-0.32790528586753914
18,18,18,01-19,1.2116318949046998,-0.42539210359684654,-0.224071571629666
19,19,19,01-20,1.0462729419071743,-0.9818716821542284,-0.25483075035895913
20,20,20,01-21,1.1794884360020224,-0.5335639209631923,-0.3708264667906562
21,21,21,01-22,1.1777719928104269,-0.5393402370716458,-0.7230016393815166
22,22,22,01-23,0.9686433732341851,-1.2431171053723031,-0.7197518473754564
23,23,23,01-24,1.1553713320309238,-0.6147247871308822,-0.5490977372399559
24,24,24,01-25,1.217425985731626,-0.4058933515604849,-0.685278695510934
25,25,25,01-26,1.3505340799336891,0.0420529786587739,-0.7243090780106529
26,26,26,01-27,0.9366898693096068,-1.3506496705890605,-0.304909767589906
27,27,27,01-28,1.1081842835689355,-0.7735225320699599,-0.3063030447785233
28,28,28,01-29,1.7163951348227664,1.2732787571521793,-0.43878103811873226
29,29,29,01-30,1.1528872424144565,-0.6230844502625863,-0.4998544817214013
30,30,30,01-31,0.9812294769856232,-1.2007613116017386,-0.3855925151596036
31,31,31,02-01,1.2416455483947078,-0.3243876829572405,-0.27882584049163905
32,32,32,02-02,1.1404088184262509,-0.6650778712182739,-0.4039383860243648
33,33,33,02-03,1.2985397922173259,-0.1329224840621723,-0.2286439541967761
34,34,34,02-04,1.493330566058756,0.522603483955825,-0.18036720845803744
35,35,35,02-05,1.4654216623310052,0.4286821407029455,0.10923340979898456
36,36,36,02-06,1.067302631549685,-0.9111008371693065,0.2302890412365528
37,37,37,02-07,1.7579777575287312,1.4132160265848914,0.23633129382533186
38,38,38,02-08,1.356240269285932,0.06125591740713542,0.13868867308421048
39,39,39,02-09,1.3093125925175697,-0.09666896852949806,0.19806678349230689
40,40,40,02-10,1.3192424360805448,-0.0632522404909031,0.4015490727602449
41,41,41,02-11,1.5712875651931548,0.7849508031515238,0.2695522291303001
42,42,42,02-12,1.4300935004701292,0.3097928984383213,0.4995100304120269
43,43,43,02-13,1.5226390960287741,0.6212349648052233,0.2476309713839189
44,44,44,02-14,1.7662346272331209,1.4410027250974955,0.4427826293289783
45,45,45,02-15,0.8602345768513215,-1.607943322698146,0.4104146434934539
46,46,46,02-16,1.6671805284416326,1.1076577071794536,0.4547368224565952
47,47,47,02-17,1.5135783181195088,0.590742888138377,0.4793822099555498
48,48,48,02-18,1.5091160133204355,0.5757259722171687,0.08289466291550858
49,49,49,02-19,1.5665796354132775,0.7691072897989509,0.210202162844232
50,50,50,02-20,1.0593325070324484,-0.9379225571427512,-0.055540734841400284
51,51,51,02-21,1.087212554568168,-0.8440983231258057,-0.14608486809712645
52,52,52,02-22,1.1933845184416705,-0.4867996789343399,-0.1656235015295018
53,53,53,02-23,1.35214616155359,0.04747808860402007,-0.13500243009695145
54,54,54,02-24,1.4742803633680424,0.4584941716229165,0.08636362990543371
55,55,55,02-25,1.6211742890917704,0.9528337183942532,0.5069802932239057
56,56,56,02-26,1.454008552533449,0.3902738028715593,0.5258978231232336
57,57,57,02-27,1.837134748370468,1.6796016567850258,0.2852428587217942
58,58,58,02-28,1.2271127958986263,-0.3732944995383725,-0.011336210954822096
59,59,59,02-29,0.923079710810776,-1.3964516978046164,-0.1960638105336588
60,60,60,03-01,0.9455061944775112,-1.3209802464367817,-0.2459096302035871
61,61,61,03-02,1.2918213679805486,-0.15553187907876664,-0.7160221756950363
62,62,62,03-03,1.36513787835751,0.09119888485198947,-0.6419382581745504
63,63,63,03-04,0.9989657879030176,-1.141073616163669,-0.34434371021649496
64,64,64,03-05,1.3591978481505058,0.07120900558454317,-0.07746868936739777
65,65,65,03-06,1.453664387384401,0.3891155899437165,-0.08009470394097924
66,66,66,03-07,1.4213206796365454,0.2802698786578015,-0.2755819062719214
67,67,67,03-08,1.2871394169745185,-0.1712879665202555,-0.12078406272439285
68,68,68,03-09,1.0166015401257191,-1.0817243291336636,-0.03737887699830469
