,unnamed: 0,unnamed: 0,mth_day,adam sandler,adam sandler_norm,adam sandler_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.060365475112018875,-0.531780351270651,
2,2,2,01-03,0.0987848012770434,0.03576155148927061,
3,3,3,01-04,0.04672396806355617,-0.7332968181014915,
4,4,4,01-05,0.07430807560302832,-0.32581604106646483,-0.371592985152198
5,5,5,01-06,0.0774662355149862,-0.2791627479307721,-0.2281083337841921
6,6,6,01-07,0.06960688135098653,-0.3952635040330789,-0.12143818538354875
7,7,7,01-08,0.11864399439429453,0.32912755693738405,0.008019626870837515
8,8,8,01-09,0.14211053849799518,0.6757824418931309,0.029595141352524407
9,9,9,01-10,0.09930526882135113,0.04345005542482608,-0.0706569135358043
10,10,10,01-11,0.08307130584931499,-0.1963629541763435,-0.028008583881911082
11,11,11,01-12,0.03674730663866745,-0.8806750772607443,-0.05942339102512807
12,12,12,01-13,0.08692916271275089,-0.13937352610971945,-0.21298206763416705
13,13,13,01-14,0.10588438264216828,0.1406387140780821,-0.2465139471657672
14,14,14,01-15,0.07974029742762456,-0.2455696177611029,-0.3415546695650292
15,15,15,01-16,0.08568577524331504,-0.15774122176477454,-0.225157771792547
16,16,16,01-17,0.04446904058861517,-0.7666072885719155,-0.4032918036742788
17,17,17,01-18,0.08402371416070044,-0.18229369062585105,-0.3130127772541124
18,18,18,01-19,0.014577259475218653,-1.2081777174001098,-0.3714283196905732
19,19,19,01-20,0.14255261113804146,0.6823128725990799,-0.23445720689486715
20,20,20,01-21,0.05601391775000717,-0.5960628723798678,-0.10872681252318496
21,21,21,01-22,0.14131871968770762,0.6640854550094617,-0.19829884690112795
22,22,22,01-23,0.09553639269142036,-0.012224922341822184,-0.09562707269742933
23,23,23,01-24,0.04764264146143898,-0.7197258968935089,-0.3378995148270671
24,24,24,01-25,0.05627899492655427,-0.5921470721779181,-0.3480809996476489
25,25,25,01-26,0.04414989659261363,-0.7713217801787466,-0.5420422524680925
26,26,26,01-27,0.0518785495849716,-0.6571517813033589,-0.4640601555604111
27,27,27,01-28,0.0625383448898561,-0.4996820619131994,-0.251196454911615
28,28,28,01-29,0.12721003231054945,0.4556676591042658,-0.2306097030428055
29,29,29,01-30,0.1341005389750929,0.5574563069992674,0.047516213700986284
