,unnamed: 0,unnamed: 0,mth_day,arnold schwarzenegger,arnold schwarzenegger_norm,arnold schwarzenegger_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.3581305918960826,0.4465265015388155,
2,2,2,01-03,0.15549033845912236,-1.1948251703960366,
3,3,3,01-04,0.255988422913333,-0.3808077372976118,
4,4,4,01-05,0.36846626804100063,0.5302437247129166,-0.34154604843801395
5,5,5,01-06,0.2407892137702181,-0.5039187525870789,-0.4743291835687926
6,6,6,01-07,0.18614904407616625,-0.9464948565990884,-0.27215333030416194
7,7,7,01-08,0.25977065374826397,-0.3501723092458564,-0.08743579524509974
8,8,8,01-09,0.30525336674208703,0.01822994919174713,-0.04182467964672868
9,9,9,01-10,0.3928190927520317,0.7274974730567615,0.24758675230544344
10,10,10,01-11,0.40225298730086895,0.8039104183031429,0.1807449753868683
11,11,11,01-12,0.4551725427829765,1.2325498391259542,0.1606535807974606
12,12,12,01-13,0.13663557960700728,-1.3475455181105394,0.2551259025650539
13,13,13,01-14,0.24488782749799354,-0.4707206767823026,0.06659169872759542
14,14,14,01-15,0.3752343301874017,0.5850638797973068,-0.035137915946510466
15,15,15,01-16,0.2531612016355403,-0.4037077499679893,-0.3465959487614801
16,16,16,01-17,0.3268961387275061,0.19353273025850765,-0.2205226798564628
17,17,17,01-18,0.2244580562395676,-0.6361983577638639,-0.009536647649386887
18,18,18,01-19,0.23002514236569235,-0.5911059046804352,-0.40114932077731796
19,19,19,01-20,0.4011770509562464,0.7951955164601526,-0.699405195648401
20,20,20,01-21,0.08514479231930047,-1.7646121589702797,-1.025823228640619
21,21,21,01-22,0.03222629619254348,-2.193242999194487,-0.8763856689842452
22,22,22,01-23,0.08509993845082613,-1.7649754676948015,-0.6382207392999839
23,23,23,01-24,0.33515486355839696,0.2604270001743798,-0.8220133154404577
24,24,24,01-25,0.4064473041835411,0.8378836734251326,-0.643794633832664
25,25,25,01-26,0.2650315502237902,-0.3075599403826905,-0.19986798995482724
26,26,26,01-27,0.2171613958018392,-0.6953000693235175,0.06955988120752903
27,27,27,01-28,0.36106773521254615,0.4703168640725333,0.023031802573511558
28,28,28,01-29,0.284680319775058,-0.14840824072066436,-0.19809370772607748
29,29,29,01-30,0.30068889819260425,-0.018741471629724952,0.20436375159073808
30,30,30,01-31,0.2426471988874065,-0.4888693883724017,0.3169838862459044
31,31,31,02-01,0.5631544313151434,2.107184815518203,0.8104700101950154
32,32,32,02-02,0.3005854651911564,-0.019579261392519767,0.7511928800092834
33,33,33,02-03,0.7266206691799117,3.4312336077671994,0.6505927722639392
34,34,34,02-04,0.2407704147038581,-0.5040710218350564,0.6870319349717758
35,35,35,02-05,0.22616873894383896,-0.6223421181017902,0.33805762417766244
36,36,36,02-06,0.2696397366563865,-0.2702344121253823,0.466220142421373
37,37,37,02-07,0.3046495271262213,0.013338950753521914,-0.11506904747956664
38,38,38,02-08,0.39552265246952795,0.7493958480697436,-0.22495112501199568
39,39,39,02-09,0.29602706474106816,-0.056501531638438726,-0.26112275655226275
40,40,40,02-10,0.15937457825972925,-1.16336348702963,-0.2973062697144423
41,41,41,02-11,0.19937437656112947,-0.8393719073433934,-0.43094599448700005
42,42,42,02-12,0.2428365728879043,-0.4873354910984595,-0.06522644960633239
43,43,43,02-13,0.2056550648417308,-0.7884993978818241,-0.1426021496246925
44,44,44,02-14,0.6664316935799198,2.9437131173537487,-0.04420400542041658
45,45,45,02-15,0.2387105308269209,-0.5207557317485995,-0.11431167948876185
46,46,46,02-16,0.2322636192381667,-0.5729746218039744,-0.2004351642132884
47,47,47,02-17,0.1474416783441595,-1.260017951753465,-0.272841361359273
48,48,48,02-18,0.17904006271938172,-1.0040763994456183,-0.826795053362715
49,49,49,02-19,0.1520197212735626,-1.2229365807577322,-0.8442491338067932
50,50,50,02-20,0.2560870302418385,-0.3800090346669031,-0.9986333398878904
51,51,51,02-21,0.22578131153099354,-0.6254802144130696,-0.9032255096744196
52,52,52,02-22,0.11790255262996514,-1.4992798582905569,-0.6315228931396595
53,53,53,02-23,0.21811562552406247,-0.6875709704726397,-0.5359308917374088
54,54,54,02-24,0.3803054759108858,0.6261392997629425,-0.6835586523909697
55,55,55,02-25,0.22283009441387955,-0.6493845723442282,-0.4517164663908302
56,56,56,02-26,0.14673084285792287,-1.2657755985882688,0.0032225138800295503
57,57,57,02-27,0.3975198614045829,0.7655729015877673,0.4142397149563004
58,58,58,02-28,0.4549014487352663,1.2303540233346009,0.4606244957466403
59,59,59,02-29,0.5225791888804646,1.7785322359849849,0.7559861380174652
60,60,60,03-01,0.4146652925023862,0.9044479845049824,1.0005345835437889
61,61,61,03-02,0.4416210789495532,1.1227852812807206,0.7980271569605639
62,62,62,03-03,0.3278816339762657,0.2015150745696722,0.7628710220268299
63,63,63,03-04,0.2475112181112763,-0.4494716579115808,0.4958250734412541
64,64,64,03-05,0.4288593218176221,1.0194172137321966,0.3669785509253991
65,65,65,03-06,0.324763231608235,0.17625654447152933,-0.07422217586792075
66,66,66,03-07,0.3192214247797345,0.13136884940985225,-0.10800911822170672
67,67,67,03-08,0.11479888006546905,-1.5244190794791983,-0.13090217855394656
68,68,68,03-09,0.3028537450290045,-0.0012065795530434994,-0.4969825094098847
69,69,69,03-10,0.2305530404324949,-0.5868300199050198,-0.33498721475966
70,70,70,03-11,0.15768302623867686,-1.1770647714034324,-0.3909939779748632
71,71,71,03-12,0.4447622596952013,1.1482283123728774,-0.22485136446059248
72,72,72,03-13,0.27773406450403954,-0.20467172988136675,-0.017209382125752008
73,73,73,03-14,0.23787006054998996,-0.5275633983935745,0.027147152014006148
