,unnamed: 0,unnamed: 0,mth_day,boxing,boxing_norm,boxing_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.4359083951852329,-0.6268500244268411,
2,2,2,01-03,0.4823549323298399,-0.34828515086111345,
3,3,3,01-04,0.6456624574134018,0.6311579438006045,
4,4,4,01-05,0.3990456217805975,-0.8479359103514206,-0.4764781550976228
5,5,5,01-06,0.5544563187112936,0.08414565703164334,-0.5783114273480429
6,6,6,01-07,0.2484562418204213,-1.7511014457786092,-0.6596150225108879
7,7,7,01-08,0.33403332095366417,-1.2378496579293612,-0.4319820138694912
8,8,8,01-09,0.4010179625019445,-0.8361067218381848,-0.02369359428633152
9,9,9,01-10,0.8733889081148029,1.9969559956489853,-0.015847964845703392
10,10,10,01-11,0.8075016414461417,1.6017946071475375,0.2323412829758509
11,11,11,01-12,0.5623051687383444,0.1312194336754121,0.383344861048019
12,12,12,01-13,0.49674736992166707,-0.26196595884928325,0.3520707735408011
13,13,13,01-14,0.4850988851388626,-0.3318281894963526,0.03669284385227567
14,14,14,01-15,0.3697310371590415,-1.0237512468814929,-0.2736003991404201
15,15,15,01-16,0.5578815175734518,0.10468841751783298,-0.4968327066046742
16,16,16,01-17,0.497081024835693,-0.2599648508086371,-0.24338826141289946
17,17,17,01-18,0.3389812256769796,-1.2081744111101125,-0.19462379852052514
18,18,18,01-19,0.7502958526218712,1.2587007123013652,0.058451942250893424
19,19,19,01-20,0.533883365566896,-0.03924141214210671,0.25027353966382354
20,20,20,01-21,0.6229106640878145,0.4947031977470186,0.1959145680853147
21,21,21,01-22,0.7497818566650275,1.2556180019954135,0.5797512920107594
22,22,22,01-23,0.4426997392074147,-0.5861186802796898,0.3240359956566677
23,23,23,01-24,0.7229755124023141,1.094845932442556,0.12562855961158634
24,24,24,01-25,0.4944755865878173,-0.2755910658231849,0.051759186208736506
25,25,25,01-26,0.3353944843937338,-1.229686028412595,-0.2489509279352237
26,26,26,01-27,0.5490109677258157,0.05148695732991971,0.12656070580041348
27,27,27,01-28,0.4489483027233972,-0.5486426828683479,0.1507111179756361
28,28,28,01-29,0.8183655183405988,1.6669511221341335,0.11476451236948144
29,29,29,01-30,0.7471358381848693,1.2397484054938916,0.22499290287736012
30,30,30,01-31,0.4585142251037781,-0.4912706994601132,0.023286785708772004
31,31,31,02-01,0.4456681230312291,-0.5683156853653224,0.04490120153558199
32,32,32,02-02,0.34722205133923983,-1.1587497456816094,-0.18017876141470013
33,33,33,02-03,0.4705715911454108,-0.418956187907488,-0.1831583269794144
34,34,34,02-04,0.5931931613411,0.3164713444324409,-0.2711566682033881
35,35,35,02-05,0.7441550495253765,1.221871012105606,-0.39170425054889785
36,36,36,02-06,0.3704797610594365,-1.0192607468039556,-0.2650879712899311
37,37,37,02-07,0.3250710565863345,-1.2916011794383806,-0.3227313499004458
38,38,38,02-08,0.4738903058632818,-0.3990520701278093,-0.5830591689484179
39,39,39,02-09,0.4129045502546534,-0.7648164595705758,-0.7541531220543559
40,40,40,02-10,0.3327584791987399,-1.2454955698553922,-0.5508308224879799
41,41,41,02-11,0.572990863321313,0.19530729346997736,-0.28210992618333225
42,42,42,02-12,0.5738855232775154,0.2006730505943012,-0.3546538117592699
43,43,43,02-13,0.5939022612960186,0.3207241983895052,-0.2998742021485191
44,44,44,02-14,0.4013166414334363,-0.8343153835834356,-0.44840519369479664
45,45,45,02-15,0.4677066465847021,-0.4361388019060711,-0.7559840642708902
46,46,46,02-16,0.1841665165221882,-2.1366815191330577,-0.8579080609181254
47,47,47,02-17,0.2652857333619608,-1.6501659299865832,-0.8772969675432901
48,48,48,02-18,0.4719196874072807,-0.4108709292891105,-1.1243374609117236
49,49,49,02-19,0.5745053956345654,0.20439075863851786,-1.1129241443436684
50,50,50,02-20,0.1541747393425044,-2.3165583437940365,-0.5795218081892899
51,51,51,02-21,0.4791246482545268,-0.3676589024977403,-0.2314202059768173
52,52,52,02-22,0.7177878113126575,1.0637324977932134,-0.015729472431175996
53,53,53,02-23,0.6135302293093782,0.4384436832882519,-0.0016656631157010947
54,54,54,02-24,0.6876989607766788,0.8832734719847376,0.2763304598711795
55,55,55,02-25,0.5885749780640618,0.28877361453136724,0.4625484227724621
56,56,56,02-26,0.4322849781624099,-0.6485816058727528,0.2913089554849128
57,57,57,02-27,0.6654190525742448,0.7496488749099549,0.03137003666458812
58,58,58,02-28,0.5464780511942359,0.03629569406791777,-0.2952358911787902
59,59,59,02-29,0.35348460703600504,-1.1211898296336962,-0.3849255387084303
60,60,60,03-01,0.3609589630508637,-1.0763620950755322,-0.4700786647524977
