,unnamed: 0,unnamed: 0,mth_day,art,art_norm,art_ravg
0,0,0,01-01,,,
1,1,1,01-02,1.5782798319384042,-1.2725626164594894,
2,2,2,01-03,2.186827380853824,0.2895621769926785,
3,3,3,01-04,1.8270187409181045,-0.6340566895094213,
4,4,4,01-05,1.7816341166108138,-0.7505577698248137,-0.6769759213890228
5,5,5,01-06,1.8104204729390188,-0.6766639861532152,-0.7068131739940452
6,6,6,01-07,1.6776131819856157,-1.0175766433798752,-0.9749520810831148
7,7,7,01-08,1.5085387190058184,-1.4515861320896235,-0.986179293358742
8,8,8,01-09,1.5600838247875681,-1.3192712655417391,-0.9536413748691692
9,9,9,01-10,1.800776436051844,-0.7014199631631841,-1.1159433990366754
10,10,10,01-11,1.8576877224173551,-0.5553302588873763,-0.9673459587242677
11,11,11,01-12,1.4310583397529355,-1.6504761311582534,-0.5654174344444706
12,12,12,01-13,2.0249424419382014,-0.1259920015054284,-0.5394130404208344
13,13,13,01-14,2.447999968125869,0.9599850135891592,-0.3638149256360925
14,14,14,01-15,1.620866075900078,-1.1632449013999226,-0.5739259655197863
15,15,15,01-16,2.2112166369666704,0.352168725545267,-0.06610030273715124
16,16,16,01-17,1.3665775671061673,-1.8159964981895391,0.19072610114869012
17,17,17,01-18,2.6180418521768445,1.3964778455375562,0.049300332919571636
18,18,18,01-19,2.625244335499855,1.4149664218096203,0.10304551208593038
19,19,19,01-20,2.1174336588141194,0.11143040421444776,0.008402335111496434
20,20,20,01-21,1.7464891907170281,-0.8407738264017702,0.15823161244754105
21,21,21,01-22,1.9899992018010195,-0.21569033630133666,-0.2576292843578193
22,22,22,01-23,1.7167861030469695,-0.9170208341732712,-0.5925880114672536
23,23,23,01-24,1.6460153002594242,-1.0986875352946055,-0.8598414713267495
24,24,24,01-25,1.84231720999226,-0.5947859408469853,-0.9682105445694326
25,25,25,01-26,1.4927597328190705,-1.4920903549425273,-1.1936176617025946
26,26,26,01-27,1.4931890670271737,-1.4909882658578684,-1.051265907519521
27,27,27,01-28,1.4631362422688037,-1.5681330391003094,-0.9921916111310676
28,28,28,01-29,2.0495167969903627,-0.06291030907482888,-0.998330461811471
29,29,29,01-30,1.7840946077070103,-0.7442417569638844,-0.9938140173790708
