,unnamed: 0,unnamed: 0,mth_day,dystopic future,dystopic future_norm,dystopic future_ravg
0,0,0,01-01,,,
1,1,1,01-02,2.14853216620202,-1.273402653136638,
2,2,2,01-03,2.670286870228351,-0.07651152765044407,
3,3,3,01-04,2.223475615469171,-1.101484415219513,
4,4,4,01-05,2.145766180053949,-1.279747750264265,-1.1845864092701048
5,5,5,01-06,2.2029261358935828,-1.1486243634510862,-1.2530390871179216
6,6,6,01-07,1.7325093293623068,-2.227747745898683,-1.5370665596526984
7,7,7,01-08,1.9694907851952583,-1.6841187202235393,-1.1146637820554093
8,8,8,01-09,1.927398899657771,-1.7806763628591042,-0.7250655190245401
9,9,9,01-10,3.32829107367878,1.4329322503642234,-0.4405867766236661
10,10,10,01-11,3.164779800031812,1.0578418279209505,-0.2074415439205972
11,11,11,01-12,2.9469944252270373,0.5582480909541564,0.24255251274959544
12,12,12,01-13,2.3423122728074404,-0.8288763496802696,0.5197063729394072
13,13,13,01-14,3.146472605105692,1.0158456197976171,0.1227561883891458
14,14,14,01-15,2.652308595521792,-0.11775320172023368,0.09958743069689836
15,15,15,01-16,2.2900481375766946,-0.9487688569373448,-0.08184866871194052
16,16,16,01-17,3.1041807628012568,0.9188292817674658,0.015322670367749166
17,17,17,01-18,2.4724392898551555,-0.5303685054988768,-0.28658952129362125
18,18,18,01-19,2.5964687395826664,-0.24584831520213146,-0.4565868775867366
19,19,19,01-20,2.356806262789564,-0.7956275301706056,-0.5556380489600418
20,20,20,01-21,2.2076720612742347,-1.137737339478926,-1.146132582162268
21,21,21,01-22,2.030974876009916,-1.5430758851771753,-1.3003825616993974
22,22,22,01-23,1.5597129636523108,-2.624137917445893,-1.3171360800278091
23,23,23,01-24,2.0689908021569776,-1.4558683827216516,-1.3995088219011431
24,24,24,01-25,2.552649079745407,-0.3463694251725992,-1.4434232219785992
25,25,25,01-26,2.141356262497345,-1.2898639814106132,-1.1741926870471209
26,26,26,01-27,2.0928117653274354,-1.4012237399436622,-0.7731142587801519
27,27,27,01-28,2.7351607208717645,0.07230732441169227,-0.7656483668386062
28,28,28,01-29,2.608753526369021,-0.2176673478440764,-0.9442818131630902
29,29,29,01-30,2.08851821358467,-1.411073031072377,-0.8318587423068085
30,30,30,01-31,2.0854244228074195,-1.4181701031195038,-0.4642923125705635
31,31,31,02-01,2.4354043917448065,-0.6153255562729223,-0.058050846467484825
32,32,32,02-02,3.05420003034183,0.8041748384738078,-0.047115631951237226
33,33,33,02-03,3.7977054656516263,2.5097561210301644,0.2997418605207433
34,34,34,02-04,2.6373551234160617,-0.15205606074659078,0.6396587008663385
35,35,35,02-05,2.9957412239508936,0.6700719237595064,0.9057541129075584
36,36,36,02-06,2.974493812586904,0.6213309389540672,0.7025194967007616
37,37,37,02-07,3.131390166871683,0.9812469159743964,0.13892305620355447
38,38,38,02-08,2.522629790899336,-0.415232858766972,-0.003484122646236737
39,39,39,02-09,2.3235909648069644,-0.8718225219530789,-0.15153417349198547
40,40,40,02-10,2.2648820695024137,-1.0064991338453382,-0.22261459389215324
41,41,41,02-11,2.608508957881269,-0.21822838131498595,-0.2566128779279005
42,42,42,02-12,2.788579440335752,0.1948484165530604,0.2405041700285049
43,43,43,02-13,3.042465965262608,0.7772572117599128,0.3266824355417882
44,44,44,02-14,3.822864136529948,2.567469428971461,0.34606041747669725
45,45,45,02-15,2.5489945013138664,-0.3547529288733791,-0.01964366493487986
46,46,46,02-16,2.3155661443382214,-0.8902312422358838,-0.05197101320191237
