movieId,timestamp
1,1/1/2007 19:38
2,1/1/2016 17:19
3,1/1/2012 16:08
4,1/4/2018 17:32
5,1/1/2012 16:20
6,1/1/2012 15:52
7,1/1/2012 11:18
8,1/1/2020 14:57
9,1/5/2012 14:26
10,1/1/2007 20:10
11,1/1/2012 15:58
12,1/1/2010 10:17
13,1/4/2010 6:32
14,1/1/2017 12:40
15,1/1/2011 11:56
16,1/1/2007 19:48
17,1/1/2010 20:40
18,1/1/2010 9:04
19,1/1/2007 20:32
20,1/3/2010 14:01
21,1/1/2012 15:52
22,1/1/2016 10:14
23,1/1/2011 18:58
24,1/1/2012 19:03
25,1/1/2012 15:54
26,1/2/2012 17:51
27,1/1/2020 8:05
28,1/2/2013 20:09
29,1/1/2010 17:53
30,1/1/2017 21:17
31,1/1/2016 21:01
32,1/1/2010 6:54
33,1/9/2015 15:36
34,1/1/2007 23:08
35,1/1/2017 23:23
36,1/1/2010 22:55
37,1/9/2015 15:37
38,1/2/2016 16:10
39,1/1/2012 15:50
40,1/1/2018 11:06
41,1/1/2010 17:58
42,1/2/2007 9:09
43,1/1/2010 3:01
44,1/1/2020 5:30
45,1/1/2017 21:26
46,1/5/2019 12:36
47,1/1/2007 16:45
48,1/2/2010 22:32
49,1/5/2017 22:15
50,1/1/2007 13:21
51,1/9/2015 15:41
52,1/1/2015 6:35
53,1/9/2015 15:42
54,1/3/2018 9:48
55,1/9/2015 15:42
56,1/4/2015 23:41
57,1/1/2017 13:22
58,1/1/2010 20:06
59,1/5/2009 7:55
60,1/2/2018 1:52
61,1/2/2020 22:57
62,1/1/2011 21:48
63,1/5/2019 12:39
64,1/4/2015 18:33
65,1/1/2011 5:49
66,1/1/2019 5:43
67,1/9/2015 15:44
68,1/2/2020 14:07
69,1/3/2015 20:16
70,1/1/2012 16:21
71,1/6/2019 19:31
72,1/1/2020 18:07
73,1/2/2019 9:44
74,1/2/2019 23:54
75,1/6/2010 21:41
76,1/1/2009 23:31
77,1/7/2019 23:27
78,1/2/2012 19:02
79,1/1/2009 22:54
80,1/5/2009 14:00
81,1/1/2016 17:50
82,1/3/2012 17:11
83,1/5/2007 12:02
84,1/9/2015 15:47
85,1/1/2016 13:03
86,1/2/2017 16:25
87,1/3/2019 23:45
88,1/1/2015 16:02
89,1/2/2013 19:35
90,1/8/2009 6:57
91,
92,1/2/2020 22:58
93,1/5/2019 12:44
94,1/2/2012 6:11
95,1/2/2011 20:41
96,1/1/2012 19:50
97,1/1/2017 2:02
98,1/9/2015 15:50
99,1/4/2015 13:51
100,1/5/2019 12:45
101,1/1/2010 11:44
102,1/3/2016 3:59
103,1/1/2012 19:05
104,1/1/2009 18:05
105,1/1/2011 17:49
106,1/9/2009 8:22
107,1/5/2009 18:07
108,1/9/2015 15:51
109,1/6/2008 20:35
110,1/1/2007 18:24
111,1/1/2009 17:08
112,1/1/2012 16:21
113,1/9/2015 16:11
114,1/8/2010 12:47
115,1/5/2019 8:34
116,1/2/2007 22:18
117,1/1/2011 18:51
118,1/4/2011 7:55
119,1/9/2015 16:15
120,1/9/2015 16:16
121,1/1/2009 23:50
122,1/1/2020 6:07
123,1/1/2016 10:28
124,1/9/2015 16:17
125,1/1/2011 19:59
126,1/9/2015 16:18
127,1/1/2018 16:30
128,1/9/2015 16:18
129,1/9/2015 16:18
130,1/3/2012 4:29
131,1/9/2015 16:19
132,1/3/2010 1:49
133,1/6/2013 10:25
134,1/9/2015 16:19
135,1/2/2014 12:23
136,1/9/2015 16:20
137,1/9/2015 16:20
138,1/7/2019 23:30
139,1/9/2015 16:20
140,1/5/2019 12:50
141,1/1/2012 15:52
142,1/5/2018 12:47
143,1/2/2017 14:38
144,1/5/2019 12:50
145,1/1/2020 17:15
146,1/9/2015 16:21
147,1/1/2009 17:15
148,1/1/2009 17:55
149,1/3/2012 23:13
150,1/1/2012 13:18
151,1/1/2012 16:21
