,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,zombies,zombies_norm,zombies_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,0.5169605479679203,-0.1291489613312409,
2,2,2,2,01-03,0.3671943764962237,-0.881513411563915,
3,3,3,3,01-04,0.19775096389911606,-1.7327283335415615,
4,4,4,4,01-05,0.2952855565751051,-1.2427541325838622,-1.1119811372363608
5,5,5,5,01-06,0.3608379477845451,-0.9134455291183056,-1.3287653905852899
6,6,6,6,01-07,0.1898745070793509,-1.7722964552792786,-1.2967918613277247
7,7,7,7,01-08,0.25804123579644184,-1.4298544814248146,-1.11744249294333
8,8,8,8,01-09,0.4053824094145485,-0.6896722360185251,-1.1056669412548663
9,9,9,9,01-10,0.41195939639874535,-0.6566321232351929,-0.926160853458509
10,10,10,10,01-11,0.30934985182033803,-1.1721008224530802,-0.7078674023072914
11,11,11,11,01-12,0.5752335603109635,0.16359099765983884,-0.5818436201712177
12,12,12,12,01-13,0.4505963508040338,-0.4625357483719728,-0.5728012352419248
13,13,13,13,01-14,0.4085595067679052,-0.6737117886083727,-0.38467157286606457
14,14,14,14,01-15,0.41618230862362016,-0.6354179264427672,-0.2052051342702581
15,15,15,15,01-16,0.6366546961214956,0.4721458510199685,-0.31971946756696284
16,16,16,16,01-17,0.5236981087682205,-0.09530219087824147,-0.10249886239402539
17,17,17,17,01-18,0.4384617609163156,-0.5234950021203897,-0.14435148266774486
18,18,18,18,01-19,0.7100368258939057,0.8407878826656521,-0.16342417918364063
19,19,19,19,01-20,0.3585722429955521,-0.9248275102506897,-0.32360612719081244
20,20,20,20,01-21,0.3934025661521845,-0.7498541055381416,-0.3156471087586339
21,21,21,21,01-22,0.4453391408650494,-0.4889458370230623,-0.07863499708652712
22,22,22,22,01-23,0.5332040740133202,-0.04754808028517022,-0.2850400476744052
23,23,23,23,01-24,0.7215404992584274,0.8985776679122509,-0.2869069386216195
24,24,24,24,01-25,0.4635140600502368,-0.3976424208616164,-0.22018641959588467
25,25,25,25,01-26,0.3563424956200641,-0.9360288559339756,-0.19065882766452144
