,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,dreamlike,dreamlike_norm,dreamlike_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,4.412239437911126,-1.0576693915724469,
2,2,2,2,01-03,4.597202760741205,-0.7951522795392746,
3,3,3,3,01-04,4.194744901688104,-1.3663578204925655,
4,4,4,4,01-05,3.34332241666483,-2.574775621754449,-1.6990315937488976
5,5,5,5,01-06,3.79296410371296,-1.9366024135339344,-1.6862468447278767
6,6,6,6,01-07,3.421631548008804,-2.463632035600714,-1.8674304073583041
7,7,7,7,01-08,4.466286421183846,-0.980960897446322,-1.6896594417612254
8,8,8,8,01-09,3.831256948064102,-1.8822536553218403,-1.3760733186483316
9,9,9,9,01-10,4.946264105405213,-0.2997320269100923,-1.0569942233182579
10,10,10,10,01-11,4.668994428103855,-0.6932588830770866,-0.725855638109779
11,11,11,11,01-12,5.141857421808166,-0.02212784155349357,-0.6046631237181481
12,12,12,12,01-13,4.821505847166996,-0.4768005243498409,-0.42705007537893036
13,13,13,13,01-14,4.9786226264025535,-0.2538058110965364,-0.35152979588128436
14,14,14,14,01-15,4.58210856328338,-0.8165753652865341,-0.33111124269458725
15,15,15,15,01-16,5.265522878185919,0.15338965007578378,-0.08632100317360969
16,16,16,16,01-17,4.755312994132806,-0.5707475639569043,-0.01596902296008777
17,17,17,17,01-18,6.176697758443817,1.4466135955723718,-0.16598257092206867
18,18,18,18,01-19,5.118915854320924,-0.05468864306870935,-0.3261215779945832
19,19,19,19,01-20,4.344446726347597,-1.1538870988684218,-0.23206850886572417
20,20,20,20,01-21,3.9051277150612096,-1.7774094077216211,-0.3888815238245235
21,21,21,21,01-22,5.6631282316893365,0.717708064848938,-0.6308777888520258
22,22,22,22,01-23,4.0923926362526535,-1.5116256537097004,-0.6481931617512595
23,23,23,23,01-24,5.153668830265616,-0.005363994592642581,-0.7150853657542166
24,24,24,24,01-25,5.0457158511056015,-0.1585808804641117,-0.7270614488847552
25,25,25,25,01-26,4.061662776120739,-1.5552403228861644,-0.9876015648842827
26,26,26,26,01-27,3.8544993324809433,-1.8492659065048531,-0.7430780155110307
27,27,27,27,01-28,4.561705961440128,-0.8455326311482274,-0.5654419147064985
28,28,28,28,01-29,5.126105551620242,-0.04448435747018762,-0.5899147970047457
29,29,29,29,01-30,5.904617898802531,1.0604526102345508,-0.4415739955282831
30,30,30,30,01-31,4.942257781022737,-0.3054181742535949,-0.24174087223387672
31,31,31,31,02-01,4.688767211481813,-0.6651955140273885,-0.06432181214777148
32,32,32,32,02-02,4.699285370460268,-0.6502671667384151,0.025255290897333357
33,33,33,33,02-03,5.3117374995617785,0.21898172936840388,-0.07029698914356004
34,34,34,34,02-04,5.504788948684766,0.4929782608004414,-0.11456201323850305
35,35,35,35,02-05,5.500674694868747,0.4871389299891904,0.27284773786123334
36,36,36,36,02-06,4.755129272446436,-0.5710083188232529,0.30170342592553
37,37,37,37,02-07,6.326525473528973,1.65926299257103,0.2749738500977191
38,38,38,38,02-08,4.821271565697236,-0.4771330383526351,0.09142504294135718
39,39,39,39,02-09,5.1987393534677615,0.05860427440153825,-0.1673307792640034
40,40,40,40,02-10,4.728844165271603,-0.6083145821377302,-0.35541717281819807
