,unnamed: 0,unnamed: 0,mth_day,stupid,stupid_norm,stupid_ravg
0,0,0,01-01,,,
1,1,1,01-02,4.809146604364612,-0.9167414791065188,
2,2,2,01-03,5.3891712016058095,-0.14494142442448038,
3,3,3,01-04,4.0141019721078255,-1.9746543565414063,
4,4,4,01-05,4.348714139787883,-1.5294082574258026,-1.280954202488582
5,5,5,01-06,4.331217233340428,-1.5526902241167695,-1.5542974060625359
6,6,6,01-07,4.320245578718565,-1.567289473316516,-1.8555561446371849
7,7,7,01-08,3.5766062804830487,-2.5568007005502404,-1.4946520759382877
8,8,8,01-09,4.030756072346928,-1.9524938558723743,-1.3238400225180216
9,9,9,01-10,5.6414657108369815,0.19077005565197808,-1.127875098656058
10,10,10,01-11,5.118928071917091,-0.5045359369042058,-0.931327056933782
11,11,11,01-12,5.2148487543301325,-0.37690068094498747,-0.42517067585454194
12,12,12,01-13,5.206506454552337,-0.3880012229828607,-0.3647742411645196
13,13,13,01-14,5.858931729637084,0.4801375859252,-0.5162105922989612
14,14,14,01-15,4.3030915107292165,-1.5901152477322404,-0.6217184113896079
15,15,15,01-16,4.9586193593117684,-0.7178480511546712,-0.3821968089760135
16,16,16,01-17,4.643179489864494,-1.1375828514480864,-0.23687480434338226
17,17,17,01-18,6.294883046587963,1.060228933536579,-0.410094400787419
18,18,18,01-19,5.861782416475282,0.4839308048129268,-0.3532799518294932
19,19,19,01-20,5.0778618705286105,-0.5591799927390203,-0.2505080340612012
20,20,20,01-21,4.559275306061112,-1.249228553984686,-0.32825602480263166
21,21,21,01-22,5.422031403788629,-0.10121654454491956,-0.7911004831205006
22,22,22,01-23,4.2926036114938535,-1.6040707958966691,-1.0807391304958478
23,23,23,01-24,4.207856732770908,-1.7168378163706344,-1.3121631474070818
24,24,24,01-25,4.555763801133913,-1.2539010794391567,-1.41841121758058
25,25,25,01-26,4.034340652410696,-1.947724094206424,-1.7907753030909965
26,26,26,01-27,4.080188834873236,-1.886716975025676,-1.4510607240746325
27,27,27,01-28,3.742992947532664,-2.335401057607418,-1.3597515456692244
28,28,28,01-29,5.82442116456806,0.4342166782015141,-1.3469943579123322
29,29,29,01-30,4.619581783380087,-1.1689827459381852,-1.025632681521959
