,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,stand-up comedy,stand-up comedy_norm,stand-up comedy_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,0.0021803593232164664,0.0511989475371665,
2,2,2,2,01-03,0.0054508983080411655,0.4881202544118792,
3,3,3,3,01-04,0.0,-0.2400819237126421,
4,4,4,4,01-05,0.0,-0.2400819237126421,-0.07016808215025377
5,5,5,5,01-06,0.0,-0.2400819237126421,-0.11871489402522185
6,6,6,6,01-07,0.0,-0.2400819237126421,-0.24008192371264206
7,7,7,7,01-08,0.0,-0.2400819237126421,-0.24008192371264206
8,8,8,8,01-09,0.0,-0.2400819237126421,-0.24008192371264206
9,9,9,9,01-10,0.0,-0.2400819237126421,-0.24008192371264206
10,10,10,10,01-11,0.0,-0.2400819237126421,-0.24008192371264206
11,11,11,11,01-12,0.0,-0.2400819237126421,-0.24008192371264206
12,12,12,12,01-13,0.0,-0.2400819237126421,-0.24008192371264206
13,13,13,13,01-14,0.0,-0.2400819237126421,-0.24008192371264206
14,14,14,14,01-15,0.0,-0.2400819237126421,-0.24008192371264206
15,15,15,15,01-16,0.0,-0.2400819237126421,-0.24008192371264206
16,16,16,16,01-17,0.0,-0.2400819237126421,-0.24008192371264206
17,17,17,17,01-18,0.0,-0.2400819237126421,-0.24008192371264206
18,18,18,18,01-19,0.0,-0.2400819237126421,-0.24008192371264206
19,19,19,19,01-20,0.0,-0.2400819237126421,0.4617064879834361
20,20,20,20,01-21,0.0,-0.2400819237126421,1.3491957708857927
21,21,21,21,01-22,0.03151908121809751,3.9706485464638273,1.3491957708857927
22,22,22,22,01-23,0.039859374024694826,5.084853773701497,1.3491957708857927
23,23,23,23,01-24,7.434529182757741e-18,-0.24008192371264106,1.3491957708857927
24,24,24,24,01-25,7.434529182757741e-18,-0.24008192371264106,1.3491957708857927
25,25,25,25,01-26,7.434529182757741e-18,-0.24008192371264106,0.6474073591897146
26,26,26,26,01-27,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
27,27,27,27,01-28,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
28,28,28,28,01-29,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
29,29,29,29,01-30,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
30,30,30,30,01-31,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
31,31,31,31,02-01,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
32,32,32,32,02-02,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
33,33,33,33,02-03,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
34,34,34,34,02-04,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
35,35,35,35,02-05,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
36,36,36,36,02-06,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
37,37,37,37,02-07,7.434529182757741e-18,-0.24008192371264106,-0.24008192371264178
38,38,38,38,02-08,7.434529182757741e-18,-0.24008192371264106,0.04303219413763937
39,39,39,39,02-09,7.434529182757741e-18,-0.24008192371264106,0.25536778252535014
40,40,40,40,02-10,0.012715366520439956,1.4586027833890458,0.2553677825253502
41,41,41,41,02-11,0.009536524890329964,1.0339316066136237,0.25536778252535025
42,42,42,42,02-12,7.930164461608259e-18,-0.2400819237126409,0.25536778252535025
43,43,43,43,02-13,7.930164461608259e-18,-0.2400819237126409,0.2553677825253503
44,44,44,44,02-14,7.930164461608259e-18,-0.2400819237126409,0.03816305369388203
45,45,45,45,02-15,7.930164461608259e-18,-0.2400819237126409,-0.17417253469382873
46,46,46,46,02-16,0.002960156296252449,0.15537441040023614,-0.17417253469382873
47,47,47,47,02-17,7.930164461608259e-18,-0.2400819237126409,-0.17417253469382873
48,48,48,48,02-18,7.930164461608259e-18,-0.2400819237126409,-0.17417253469382873
49,49,49,49,02-19,7.930164461608259e-18,-0.2400819237126409,-0.17417253469382873
