,unnamed: 0,unnamed: 0,mth_day,martial arts,martial arts_norm,martial arts_ravg
0,0,0,01-01,,,
1,1,1,01-02,0.494699904833715,-1.5714915217248318,
2,2,2,01-03,0.6337818938868193,-1.085942454290801,
3,3,3,01-04,0.4945192346310302,-1.5721222593855742,
4,4,4,01-05,0.8225786520472047,-0.4268341794994333,-1.1261816416312043
5,5,5,01-06,0.7646026555518658,-0.6292341539571048,-0.8739941488673265
6,6,6,01-07,0.5233516919761388,-1.4714652809294804,-0.7269226558876474
7,7,7,01-08,0.9281235127908763,-0.05836656514156498,-0.4596362465105334
8,8,8,01-09,0.8865472329458122,-0.2035134964127258,-0.5877204664260722
9,9,9,01-10,0.9538926898349006,0.031596196877109906,-0.5847798213941048
10,10,10,01-11,0.602445908310585,-1.1953394989926664,-0.6711926896380179
11,11,11,01-12,0.7696566134841492,-0.6115902837652999,-0.8187404052028189
12,12,12,01-13,0.3748376767974753,-1.9899424903929592,-0.8408773927566792
13,13,13,01-14,0.6745397108145833,-0.9436528585303708,-1.0450242521174227
14,14,14,01-15,0.8485013611631047,-0.3363354217358883,-1.0019202441173354
15,15,15,01-16,0.6030344162245512,-1.193284959287351,-0.8367631980182723
16,16,16,01-17,0.6765268806064805,-0.9367154509921428,-0.4419563031658494
17,17,17,01-18,1.0535048012561972,0.3793519928290789,-0.2963569882069009
18,18,18,01-19,1.053375010024855,0.37889887872157735,-0.4517871643305256
19,19,19,01-20,0.9247748819326236,-0.07005696877668009,-0.37533853020830793
20,20,20,01-21,0.5813703191649432,-1.268916478477637,-0.2219102354947117
21,21,21,01-22,0.734423338258335,-0.7345931545540451,-0.2849035629922681
22,22,22,01-23,0.9402173766285996,-0.01614568271056544,-0.4380033734161474
23,23,23,01-24,0.9452409259069884,0.0013920278437406714,-0.6284400674782404
24,24,24,01-25,0.7902490655768284,-0.5396999838216985,-0.417600280805188
25,25,25,01-26,0.5974796694570861,-1.212677133149238,-0.47796748244611353
26,26,26,01-27,0.9437314340609706,-0.0038777584393226328,-0.6139382886830477
27,27,27,01-28,0.6306728704982815,-1.0967963643995982,-0.3416108802100437
28,28,28,01-29,0.7065303021025257,-0.8319705201321699,-0.4272922414368742
29,29,29,01-30,1.4132781256602172,1.6353564786817645,-0.1614501817887677
30,30,30,01-31,0.6429922594972964,-1.0537881511826814,-0.305166388265439
31,31,31,02-01,1.0543707839872083,0.3823752247394012,-0.2519566922107965
32,32,32,02-02,0.6967326790856113,-0.8661749972993504,-0.2986707993070186
33,33,33,02-03,0.722122046623365,-0.7775381880717432,-0.684923229410434
34,34,34,02-04,0.6262448104699211,-1.1122551627095028,-0.6564526980570314
35,35,35,02-05,0.7494429766491209,-0.6821581019387281,-0.9715449824807433
36,36,36,02-06,0.6919233158490995,-0.882964963062266,-1.0051643873078893
37,37,37,02-07,0.5128354633507568,-1.5081784818028707,-0.8563102675182371
38,38,38,02-08,0.638952479211872,-1.0678914262622266,-0.7043546356703745
39,39,39,02-09,0.9779511083719804,0.1155865306661705,-0.5266148123973078
40,40,40,02-10,0.8874043052691987,-0.20052137162232653,-0.4902568694816414
41,41,41,02-11,1.0549166329212418,0.3842808376996721,-0.2834482151035809
42,42,42,02-12,0.7544101212957248,-0.6648173055682675,-0.1931622575503462
43,43,43,02-13,0.8682684475758318,-0.2673265555345079,-0.4567199661401267
44,44,44,02-14,0.7941230034980599,-0.5261756809428183,-0.5277732984383864
45,45,45,02-15,0.5249860080414103,-1.4657597208725128,-0.8257448962005695
46,46,46,02-16,0.765288052379032,-0.6268413654118842,-0.903987816597967
47,47,47,02-17,0.542805887239789,-1.4035487488734268,-0.9995857904030848
48,48,48,02-18,0.6199374379596918,-1.134274827952653,-1.0884566659965118
49,49,49,02-19,0.7039683934141322,-0.8409143983652143,-0.9731312563288083
50,50,50,02-20,0.6413845186514697,-1.0594009345033797,-1.043633237973366
51,51,51,02-21,0.7231907429372614,-0.7738072628662915,-0.8269820190386623
52,52,52,02-22,0.6441193817299907,-1.0498532552792306,-0.5257787062355541
53,53,53,02-23,0.9151548564526116,-0.10364143526520614,-0.3500563145473823
54,54,54,02-24,1.137602390860448,0.6729450488659956,0.02757638620645157
55,55,55,02-25,1.0059747783051518,0.2134199517638168,0.14074926279846905
56,56,56,02-26,1.2904053160332891,1.2063952700196234,0.18328903269935046
57,57,57,02-27,0.9176960134319,-0.09477000331418664,0.18975831860878764
58,58,58,02-28,0.7172306226961344,-0.7946146358739422,0.18903838048164176
59,59,59,02-29,0.9262733350458382,-0.06482571980858312,0.12286015771944168
60,60,60,03-01,1.13636506470619,0.6686254201031203,-0.2247101999983053
61,61,61,03-02,0.8922371628372768,-0.1836493848093836,-0.32899351568608287
62,62,62,03-03,0.6930513520837934,-0.8790268762868584,-0.2527628331446025
63,63,63,03-04,0.7384688422515603,-0.7204698974408524,-0.22744264277310047
64,64,64,03-05,0.8482449608857797,-0.3372305406250598,-0.5527696459738421
65,65,65,03-06,0.969790038212612,0.08709542242042903,-0.6364283081852514
66,66,66,03-07,0.5772397807842855,-1.2833365991013292,-0.5961430894278582
67,67,67,03-08,0.7484566810411865,-0.6856013580778386,-0.4617514417316202
68,68,68,03-09,0.762287794659957,-0.6373155637424989,-0.5111488730538744
69,69,69,03-10,0.9694418860985408,0.08587998873657557,-0.4297075146246528
