,unnamed: 0,unnamed: 0,unnamed: 0.1,mth_day,based on novel or book,based on novel or book_norm,based on novel or book_ravg
0,0,0,0,01-01,,,
1,1,1,1,01-02,7.551718987308372,-0.2898695696833528,
2,2,2,2,01-03,7.347456227618811,-0.5222951587430231,
3,3,3,3,01-04,6.4721786270069375,-1.5182520929494008,
4,4,4,4,01-05,5.878708407457105,-2.193547313565631,-1.4729621586438173
5,5,5,5,01-06,5.876683658497912,-2.19585122579248,-1.7898165130614567
6,6,6,6,01-07,5.9451389815240026,-2.117957591129016,-2.098237271986767
7,7,7,7,01-08,5.880950847323956,-2.1909956961891885,-1.7993374324728304
8,8,8,8,01-09,5.721158307019567,-2.372819712294886,-1.4313412301691681
9,9,9,9,01-10,8.04827288591083,0.2751469441342185,-1.235544760847397
10,10,10,10,01-11,7.819146725163843,0.014429900256341915,-0.8119861625700601
11,11,11,11,01-12,6.9091154313403536,-1.0210724098618535,-0.4335278076781575
12,12,12,12,01-13,8.17855695906415,0.4233939985350065,-0.07412570932818914
13,13,13,13,01-14,7.876555934798509,0.07975443316222654,0.007607928856823598
14,14,14,14,01-15,7.61628004669178,-0.2164071221950757,-0.166647950008638
15,15,15,15,01-16,8.479253103605863,0.7655487732442949,0.051839805959525344
16,16,16,16,01-17,6.900298154663688,-1.0311053729364277,0.04069894807126023
17,17,17,17,01-18,8.061198009846256,0.2898541259471266,-0.025073604447368437
18,18,18,18,01-19,8.119811386682738,0.3565488512054158,-0.05168028067731314
19,19,19,19,01-20,7.529738276459713,-0.3148808819495455,-0.1491843765046753
20,20,20,20,01-21,7.475983451943775,-0.3760471795747439,-0.4147501947091958
21,21,21,21,01-22,7.9651155051948885,0.1805241982801219,-0.6059958501118724
22,22,22,22,01-23,5.499973677695398,-2.6245002821635506,-0.816749433693515
23,23,23,23,01-24,7.0527626088415785,-0.8576198064689331,-1.1177656634908448
24,24,24,24,01-25,7.008510980276995,-0.9079726502844409,-1.3314155981113613
25,25,25,25,01-26,5.942484324125807,-2.1209782607335246,-1.591168484517907
26,26,26,26,01-27,6.349410631034358,-1.6579467872978435,-1.1271820842606173
27,27,27,27,01-28,6.5954425282377285,-1.3779931201591522,-1.0287416614384923
28,28,28,28,01-29,7.946566833597378,0.1594181193801882,-1.0555259527275982
29,29,29,29,01-30,7.571837445102199,-0.2669772695361845,-0.9001520850688512
